tool	tool_label	input_set_canon	cache	threads	n	wall_median_s	wall_min_s	wall_max_s	wall_mean_s	rss_median_gb	rss_min_gb	rss_max_gb	pct_cpu_median	load1_before_max	fs_inputs_max	busy_pct_before_max	rc_max	n_genomes	n_out_min	campaigns	wall_range_pct
magicc_v3code_nostats	MAGICC V3 code tree, 19 assembly statistics disabled	set_E_full	warm	1	3	49.8	49.59	50.04	49.81	0.6556	0.6555	0.6559	99.0	1.48	0	230.6	0	1000	1000	WS11.T	0.9036
magicc_v5code	MAGICC V5 code tree via code-root launcher	set_E_full	warm	1	3	49.4	48.91	50.52	49.61	0.6477	0.6468	0.6484	99.0	1.48	0	132.5	0	1000	1000	WS11.T	3.2591
magicc_v5code_coldjit	magicc_v5code_coldjit	set_E_full	warm	1	1	49.83	49.83	49.83	49.83	0.6599	0.6599	0.6599	99.0	1.22	0	106.3	0	1000	1000	WS11.T	0.0
deepcheck	DeepCheck (inference only)	set_E_full	warm	8	3	78.11	78.02	78.67	78.2667	1.2759	1.2269	1.2771	759.0	0.97	0	102.9	0	1000	1000	WS8	0.8322
magicc	MAGICC v0.3.0 (V5)	set_E_full	warm	8	3	10.27	10.27	10.27	10.27	0.4978	0.4976	0.4981	563.0	0.95	0	110.0	0	1000	1000	WS8	0.0
deepcheck	DeepCheck (inference only)	set_E_full	warm	16	3	43.54	42.71	43.81	43.3533	1.2492	1.2191	1.2756	1459.0	0.93	0	105.0	0	1000	1000	WS8	2.5264
magicc	MAGICC v0.3.0 (V5)	set_E_full	warm	16	3	6.94	6.94	7.28	7.0533	0.4977	0.4967	0.4979	965.0	0.94	0	102.8	0	1000	1000	WS8	4.8991
checkm2	CheckM2 1.0.1	set_E_full	warm	32	3	4286.0	4208.0	4288.0	4260.6667	18.861	18.7967	18.8767	2622.0	3.66	48	110.3	0	1000	1000	WS11.T+WS8	1.8665
cocopye	CoCoPyE 0.5.0	set_E_full	warm	32	3	2971.68	2924.29	3177.54	3024.5033	15.9	15.8996	15.9005	2186.0	3.5	0	7.2	0	1000	1000	WS11.T+WS8	8.5221
deepcheck	DeepCheck (inference only)	set_E_full	warm	32	5	29.48	29.16	39.84	31.478	1.2739	1.2054	1.2834	2603.0	3.33	2001888	105.6	0	1000	1000	WS11.T+WS8	36.228
magicc	MAGICC v0.3.0 (V5)	set_E_full	cold	32	3	5.86	5.81	6.09	5.92	0.4976	0.4973	0.4979	1744.0	0.99	0	101.6	0	1000	1000	WS8	4.7782
magicc	MAGICC v0.3.0 (V5)	set_E_full	warm	32	5	5.98	5.83	39.06	12.548	0.4975	0.4968	0.4983	1683.0	3.35	8570352	138.3	0	1000	1000	WS11.T+WS8	555.6856
