set	db	db_label	power_stratum	threshold_pct	detector	operating_point	n	n_true_contaminated	tp	fp	tn	fn	sensitivity_recall	sensitivity_ci_lo	sensitivity_ci_hi	specificity	specificity_ci_lo	specificity_ci_hi	precision	precision_ci_lo	precision_ci_hi	f1	f1_ci_lo	f1_ci_hi	balanced_accuracy	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi	mcc
set_D_clean	gtdb_95	GTDB r95	all	10.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	1000	887	887	91	22	0	1.0	1.0	1.0	0.1947	0.1215	0.2762	0.907	0.8881	0.9246	0.9512	0.9407	0.9608	0.5973	0.5607	0.6381	0.4202
set_D_clean	gtdb_95	GTDB r95	all	10.0	MAGICC V5 (pred contamination >= 10 %)	threshold-matched	1000	887	866	12	101	21	0.9763	0.9672	0.985	0.8938	0.8261	0.9546	0.9863	0.9773	0.9943	0.9813	0.9756	0.987	0.9351	0.9012	0.9657	0.8417
set_D_clean	gtdb_95	GTDB r95	all	10.0	CheckM2 (pred contamination >= 10 %)	threshold-matched	1000	887	380	0	113	507	0.4284	0.382	0.4738	1.0	1.0	1.0	1.0	1.0	1.0	0.5998	0.5528	0.6429	0.7142	0.691	0.7369	0.2794
set_D_clean	gtdb_95	GTDB r95	powered	5.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	974	915	915	40	19	0	1.0	1.0	1.0	0.322	0.2055	0.451	0.9581	0.9451	0.9693	0.9786	0.9718	0.9844	0.661	0.6027	0.7255	0.5555
set_D_clean	gtdb_95	GTDB r95	powered	5.0	MAGICC V5 (pred contamination >= 5 %)	threshold-matched	974	915	905	9	50	10	0.9891	0.9825	0.9946	0.8475	0.7333	0.9423	0.9902	0.9825	0.9967	0.9896	0.9849	0.9939	0.9183	0.8618	0.9651	0.83
set_D_clean	gtdb_95	GTDB r95	powered	5.0	CheckM2 (pred contamination >= 5 %)	threshold-matched	974	915	634	0	59	281	0.6929	0.6512	0.7343	1.0	1.0	1.0	1.0	1.0	1.0	0.8186	0.7887	0.8468	0.8464	0.8256	0.8672	0.3468
set_D_clean	gtdb_95	GTDB r95	powered	10.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	974	866	866	89	19	0	1.0	1.0	1.0	0.1759	0.1053	0.2593	0.9068	0.8869	0.9255	0.9511	0.9401	0.9613	0.588	0.5526	0.6296	0.3994
set_D_clean	gtdb_95	GTDB r95	powered	10.0	MAGICC V5 (pred contamination >= 10 %)	threshold-matched	974	866	848	12	96	18	0.9792	0.9706	0.9873	0.8889	0.821	0.9533	0.986	0.9771	0.9942	0.9826	0.977	0.9884	0.9341	0.9006	0.9661	0.8479
set_D_clean	gtdb_95	GTDB r95	powered	10.0	CheckM2 (pred contamination >= 10 %)	threshold-matched	974	866	377	0	108	489	0.4353	0.3891	0.4802	1.0	1.0	1.0	1.0	1.0	1.0	0.6066	0.5602	0.6488	0.7177	0.6945	0.7401	0.2806
set_D_clean	gtdb_95	GTDB r95	unpowered	5.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	26	23	23	0	3	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
set_D_clean	gtdb_95	GTDB r95	unpowered	5.0	MAGICC V5 (pred contamination >= 5 %)	threshold-matched	26	23	22	0	3	1	0.9565	0.8421	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9778	0.9143	1.0	0.9783	0.9211	1.0	0.847
set_D_clean	gtdb_95	GTDB r95	unpowered	5.0	CheckM2 (pred contamination >= 5 %)	threshold-matched	26	23	8	0	3	15	0.3478	0.1785	0.7274	1.0	1.0	1.0	1.0	1.0	1.0	0.5161	0.303	0.8422	0.6739	0.5927	0.8664	0.2408
set_D_clean	gtdb_95	GTDB r95	unpowered	10.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	26	21	21	2	3	0	1.0	1.0	1.0	0.6	0.1667	1.0	0.913	0.8421	1.0	0.9545	0.9143	1.0	0.8	0.5833	1.0	0.7402
set_D_clean	gtdb_95	GTDB r95	unpowered	10.0	MAGICC V5 (pred contamination >= 10 %)	threshold-matched	26	21	18	0	5	3	0.8571	0.7333	0.9524	1.0	1.0	1.0	1.0	1.0	1.0	0.9231	0.8462	0.9756	0.9286	0.8667	0.9762	0.7319
set_D_clean	gtdb_95	GTDB r95	unpowered	10.0	CheckM2 (pred contamination >= 10 %)	threshold-matched	26	21	3	0	5	18	0.1429	0.0286	0.4286	1.0	1.0	1.0	1.0	1.0	1.0	0.25	0.0645	0.6	0.5714	0.5143	0.7143	0.1762
set_E	progenomes_2.1	proGenomes 2.1	all	5.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	1000	748	718	43	209	30	0.9599	0.9453	0.974	0.8294	0.7783	0.8781	0.9435	0.9254	0.9604	0.9516	0.9401	0.9629	0.8946	0.868	0.9197	0.8035
set_E	progenomes_2.1	proGenomes 2.1	all	5.0	MAGICC V5 (pred contamination >= 5 %)	threshold-matched	1000	748	734	9	243	14	0.9813	0.9709	0.9902	0.9643	0.9405	0.9845	0.9879	0.9802	0.9947	0.9846	0.9779	0.9906	0.9728	0.9604	0.984	0.9395
set_E	progenomes_2.1	proGenomes 2.1	all	5.0	CheckM2 (pred contamination >= 5 %)	threshold-matched	1000	748	691	5	247	57	0.9238	0.9051	0.943	0.9802	0.9609	0.996	0.9928	0.9859	0.9986	0.9571	0.9462	0.968	0.952	0.939	0.9651	0.8532
set_E	progenomes_2.1	proGenomes 2.1	all	10.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	1000	719	690	71	210	29	0.9597	0.9441	0.9734	0.7473	0.6961	0.7972	0.9067	0.8849	0.9268	0.9324	0.9188	0.9454	0.8535	0.8272	0.8802	0.7452
set_E	progenomes_2.1	proGenomes 2.1	all	10.0	MAGICC V5 (pred contamination >= 10 %)	threshold-matched	1000	719	700	9	272	19	0.9736	0.9613	0.9844	0.968	0.945	0.9863	0.9873	0.9785	0.9944	0.9804	0.973	0.987	0.9708	0.9582	0.9815	0.9317
set_E	progenomes_2.1	proGenomes 2.1	all	10.0	CheckM2 (pred contamination >= 10 %)	threshold-matched	1000	719	609	1	280	110	0.847	0.8184	0.8747	0.9964	0.9886	1.0	0.9984	0.9949	1.0	0.9165	0.8994	0.9323	0.9217	0.9068	0.9357	0.7773
