set	db	db_label	power_stratum	true_contamination_band_pct	n	n_gunc_scored	n_fail	n_pass	gunc_fail_rate	gunc_css_median	gunc_css_mean	median_rrs	mean_true_contamination
set_C_clean	progenomes_2.1	proGenomes 2.1	unpowered	0-5	37	37	5	32	0.1351	0.1	0.1822	0.38	2.133
set_C_clean	progenomes_2.1	proGenomes 2.1	unpowered	5-10	31	31	9	22	0.2903	0.35	0.4042	0.38	7.657
set_C_clean	progenomes_2.1	proGenomes 2.1	unpowered	10-20	54	54	36	18	0.6667	0.56	0.593	0.4	14.28
set_C_clean	progenomes_2.1	proGenomes 2.1	unpowered	20-40	106	106	78	28	0.7358	0.625	0.6398	0.43	28.598
set_C_clean	progenomes_2.1	proGenomes 2.1	unpowered	40-70	71	71	64	7	0.9014	0.68	0.7072	0.45	52.08
set_C_clean	progenomes_2.1	proGenomes 2.1	unpowered	70-100	20	20	20	0	1.0	0.78	0.7755	0.445	83.868
set_C_clean	gtdb_95	GTDB r95	all	0-5	52	52	22	30	0.4231	0.285	0.4273	0.515	2.078
set_C_clean	gtdb_95	GTDB r95	all	5-10	48	48	47	1	0.9792	1.0	0.8869	0.535	7.707
set_C_clean	gtdb_95	GTDB r95	all	10-20	101	101	101	0	1.0	1.0	0.9627	0.58	14.927
set_C_clean	gtdb_95	GTDB r95	all	20-40	244	244	244	0	1.0	1.0	0.9766	0.61	29.752
set_C_clean	gtdb_95	GTDB r95	all	40-70	354	354	354	0	1.0	1.0	0.9815	0.66	55.111
set_C_clean	gtdb_95	GTDB r95	all	70-100	201	201	201	0	1.0	1.0	0.9886	0.68	81.481
set_C_clean	gtdb_95	GTDB r95	powered	0-5	31	31	14	17	0.4516	0.06	0.42	0.64	2.337
set_C_clean	gtdb_95	GTDB r95	powered	5-10	34	34	33	1	0.9706	1.0	0.9265	0.585	7.593
set_C_clean	gtdb_95	GTDB r95	powered	10-20	73	73	73	0	1.0	1.0	0.983	0.67	15.468
set_C_clean	gtdb_95	GTDB r95	powered	20-40	220	220	220	0	1.0	1.0	0.978	0.63	29.863
set_C_clean	gtdb_95	GTDB r95	powered	40-70	328	328	328	0	1.0	1.0	0.9844	0.67	55.464
set_C_clean	gtdb_95	GTDB r95	powered	70-100	194	194	194	0	1.0	1.0	0.9896	0.69	81.632
set_C_clean	gtdb_95	GTDB r95	unpowered	0-5	21	21	8	13	0.381	0.31	0.4381	0.45	1.696
set_C_clean	gtdb_95	GTDB r95	unpowered	5-10	14	14	14	0	1.0	0.82	0.7907	0.46	7.983
set_C_clean	gtdb_95	GTDB r95	unpowered	10-20	28	28	28	0	1.0	0.96	0.9096	0.445	13.518
set_C_clean	gtdb_95	GTDB r95	unpowered	20-40	24	24	24	0	1.0	0.995	0.9633	0.455	28.741
set_C_clean	gtdb_95	GTDB r95	unpowered	40-70	26	26	26	0	1.0	0.975	0.9454	0.44	50.656
set_C_clean	gtdb_95	GTDB r95	unpowered	70-100	7	7	7	0	1.0	0.97	0.9586	0.46	77.294
set_D_clean	progenomes_2.1	proGenomes 2.1	all	0-5	62	62	39	23	0.629	0.9	0.6332	0.825	2.396
set_D_clean	progenomes_2.1	proGenomes 2.1	all	5-10	51	51	48	3	0.9412	1.0	0.9273	0.89	7.595
set_D_clean	progenomes_2.1	proGenomes 2.1	all	10-20	104	104	101	3	0.9712	1.0	0.9189	0.79	15.006
set_D_clean	progenomes_2.1	proGenomes 2.1	all	20-40	195	195	195	0	1.0	1.0	0.9708	0.85	29.901
set_D_clean	progenomes_2.1	proGenomes 2.1	all	40-70	420	420	420	0	1.0	1.0	0.9684	0.84	56.016
set_D_clean	progenomes_2.1	proGenomes 2.1	all	70-100	168	168	168	0	1.0	1.0	0.9699	0.82	78.944
set_D_clean	progenomes_2.1	proGenomes 2.1	powered	0-5	57	57	39	18	0.6842	0.96	0.6779	0.86	2.488
set_D_clean	progenomes_2.1	proGenomes 2.1	powered	5-10	47	47	47	0	1.0	1.0	0.9791	0.9	7.554
set_D_clean	progenomes_2.1	proGenomes 2.1	powered	10-20	93	93	93	0	1.0	1.0	0.9666	0.8	15.052
set_D_clean	progenomes_2.1	proGenomes 2.1	powered	20-40	184	184	184	0	1.0	1.0	0.9867	0.86	29.93
set_D_clean	progenomes_2.1	proGenomes 2.1	powered	40-70	405	405	405	0	1.0	1.0	0.9758	0.85	56.063
set_D_clean	progenomes_2.1	proGenomes 2.1	powered	70-100	159	159	159	0	1.0	1.0	0.9767	0.83	78.79
set_D_clean	progenomes_2.1	proGenomes 2.1	unpowered	0-5	5	5	0	5	0.0	0.11	0.124	0.44	1.343
set_D_clean	progenomes_2.1	proGenomes 2.1	unpowered	5-10	4	4	1	3	0.25	0.27	0.3175	0.235	8.069
set_D_clean	progenomes_2.1	proGenomes 2.1	unpowered	10-20	11	11	8	3	0.7273	0.56	0.5164	0.31	14.618
set_D_clean	progenomes_2.1	proGenomes 2.1	unpowered	20-40	11	11	11	0	1.0	0.69	0.7045	0.41	29.414
set_D_clean	progenomes_2.1	proGenomes 2.1	unpowered	40-70	15	15	15	0	1.0	0.78	0.768	0.43	54.741
set_D_clean	progenomes_2.1	proGenomes 2.1	unpowered	70-100	9	9	9	0	1.0	0.87	0.85	0.45	81.67
set_D_clean	gtdb_95	GTDB r95	all	0-5	62	62	40	22	0.6452	0.99	0.6268	0.925	2.396
set_D_clean	gtdb_95	GTDB r95	all	5-10	51	51	51	0	1.0	1.0	0.9696	0.94	7.595
set_D_clean	gtdb_95	GTDB r95	all	10-20	104	104	104	0	1.0	1.0	0.9735	0.92	15.006
set_D_clean	gtdb_95	GTDB r95	all	20-40	195	195	195	0	1.0	1.0	0.9935	0.92	29.901
set_D_clean	gtdb_95	GTDB r95	all	40-70	420	420	420	0	1.0	1.0	0.9963	0.915	56.016
set_D_clean	gtdb_95	GTDB r95	all	70-100	168	168	168	0	1.0	1.0	0.997	0.9	78.944
set_D_clean	gtdb_95	GTDB r95	powered	0-5	59	59	40	19	0.678	1.0	0.6486	0.93	2.436
set_D_clean	gtdb_95	GTDB r95	powered	5-10	49	49	49	0	1.0	1.0	0.9837	0.95	7.591
set_D_clean	gtdb_95	GTDB r95	powered	10-20	97	97	97	0	1.0	1.0	0.9901	0.93	15.067
set_D_clean	gtdb_95	GTDB r95	powered	20-40	190	190	190	0	1.0	1.0	0.997	0.93	29.955
set_D_clean	gtdb_95	GTDB r95	powered	40-70	414	414	414	0	1.0	1.0	0.9971	0.92	56.051
set_D_clean	gtdb_95	GTDB r95	powered	70-100	165	165	165	0	1.0	1.0	0.997	0.9	78.868
set_D_clean	gtdb_95	GTDB r95	unpowered	0-5	3	3	0	3	0.0	0.19	0.1967	0.46	1.61
set_D_clean	gtdb_95	GTDB r95	unpowered	5-10	2	2	2	0	1.0	0.625	0.625	0.3	7.688
set_D_clean	gtdb_95	GTDB r95	unpowered	10-20	7	7	7	0	1.0	0.69	0.7429	0.36	14.166
set_D_clean	gtdb_95	GTDB r95	unpowered	20-40	5	5	5	0	1.0	0.88	0.86	0.45	27.862
set_D_clean	gtdb_95	GTDB r95	unpowered	40-70	6	6	6	0	1.0	0.985	0.9383	0.44	53.544
set_D_clean	gtdb_95	GTDB r95	unpowered	70-100	3	3	3	0	1.0	1.0	1.0	0.4	83.097
set_E	progenomes_2.1	proGenomes 2.1	all	0-5	252	252	43	209	0.1706	0.0	0.1758	0.93	0.537
set_E	progenomes_2.1	proGenomes 2.1	all	5-10	29	29	28	1	0.9655	1.0	0.9586	0.91	7.478
set_E	progenomes_2.1	proGenomes 2.1	all	10-20	87	87	79	8	0.908	1.0	0.8972	0.9	14.776
set_E	progenomes_2.1	proGenomes 2.1	all	20-40	153	153	149	4	0.9739	1.0	0.9445	0.89	30.437
set_E	progenomes_2.1	proGenomes 2.1	all	40-70	234	234	224	10	0.9573	1.0	0.9422	0.885	55.675
set_E	progenomes_2.1	proGenomes 2.1	all	70-100	245	245	238	7	0.9714	1.0	0.9529	0.88	84.808
set_E	progenomes_2.1	proGenomes 2.1	powered	0-5	244	244	42	202	0.1721	0.0	0.1769	0.93	0.527
set_E	progenomes_2.1	proGenomes 2.1	powered	5-10	29	29	28	1	0.9655	1.0	0.9586	0.91	7.478
set_E	progenomes_2.1	proGenomes 2.1	powered	10-20	85	85	79	6	0.9294	1.0	0.9092	0.91	14.819
set_E	progenomes_2.1	proGenomes 2.1	powered	20-40	153	153	149	4	0.9739	1.0	0.9445	0.89	30.437
set_E	progenomes_2.1	proGenomes 2.1	powered	40-70	231	231	221	10	0.9567	1.0	0.9437	0.89	55.681
set_E	progenomes_2.1	proGenomes 2.1	powered	70-100	244	244	237	7	0.9713	1.0	0.9529	0.88	84.857
set_E	progenomes_2.1	proGenomes 2.1	unpowered	0-5	8	8	1	7	0.125	0.05	0.1412	0.355	0.843
set_E	progenomes_2.1	proGenomes 2.1	unpowered	5-10	0	0	0	0					
set_E	progenomes_2.1	proGenomes 2.1	unpowered	10-20	2	2	0	2	0.0	0.39	0.39	0.44	12.924
set_E	progenomes_2.1	proGenomes 2.1	unpowered	20-40	0	0	0	0					
set_E	progenomes_2.1	proGenomes 2.1	unpowered	40-70	3	3	3	0	1.0	0.97	0.83	0.33	55.152
set_E	progenomes_2.1	proGenomes 2.1	unpowered	70-100	1	1	1	0	1.0	0.97	0.97	0.47	72.987
set_E	gtdb_95	GTDB r95	all	0-5	252	252	44	208	0.1746	0.0	0.1679	0.95	0.537
set_E	gtdb_95	GTDB r95	all	5-10	29	29	29	0	1.0	1.0	0.991	0.94	7.478
set_E	gtdb_95	GTDB r95	all	10-20	87	87	83	4	0.954	1.0	0.9444	0.94	14.776
set_E	gtdb_95	GTDB r95	all	20-40	153	153	150	3	0.9804	1.0	0.9671	0.93	30.437
set_E	gtdb_95	GTDB r95	all	40-70	234	234	226	8	0.9658	1.0	0.9615	0.92	55.675
set_E	gtdb_95	GTDB r95	all	70-100	245	245	240	5	0.9796	1.0	0.9741	0.92	84.808
set_E	gtdb_95	GTDB r95	powered	0-5	246	246	43	203	0.1748	0.0	0.1676	0.95	0.535
set_E	gtdb_95	GTDB r95	powered	5-10	29	29	29	0	1.0	1.0	0.991	0.94	7.478
set_E	gtdb_95	GTDB r95	powered	10-20	87	87	83	4	0.954	1.0	0.9444	0.94	14.776
set_E	gtdb_95	GTDB r95	powered	20-40	153	153	150	3	0.9804	1.0	0.9671	0.93	30.437
set_E	gtdb_95	GTDB r95	powered	40-70	232	232	224	8	0.9655	1.0	0.9634	0.92	55.697
set_E	gtdb_95	GTDB r95	powered	70-100	245	245	240	5	0.9796	1.0	0.9741	0.92	84.808
set_E	gtdb_95	GTDB r95	unpowered	0-5	6	6	1	5	0.1667	0.045	0.18	0.4	0.618
set_E	gtdb_95	GTDB r95	unpowered	5-10	0	0	0	0					
set_E	gtdb_95	GTDB r95	unpowered	10-20	0	0	0	0					
set_E	gtdb_95	GTDB r95	unpowered	20-40	0	0	0	0					
set_E	gtdb_95	GTDB r95	unpowered	40-70	2	2	2	0	1.0	0.745	0.745	0.425	53.018
set_E	gtdb_95	GTDB r95	unpowered	70-100	0	0	0	0					
