dataset	tool	distance_rank	quantity	absolute_difference	n	n_clusters
strain_madness	CoCoPyE	genus	cont_mae	0.0	360	160
strain_madness	CoCoPyE	genus	slope	0.0	360	160
strain_madness	CoCoPyE	family	cont_bias	1.7763568394002505e-15	370	177
strain_madness	CoCoPyE	family	cont_mae	0.0	370	177
strain_madness	CoCoPyE	family	slope	0.0	370	177
strain_madness	CoCoPyE	order	cont_bias	1.7763568394002505e-15	372	155
strain_madness	CoCoPyE	order	cont_mae	1.7763568394002505e-15	372	155
strain_madness	CoCoPyE	order	slope	0.0	372	155
strain_madness	CoCoPyE	class	cont_bias	0.0	369	151
strain_madness	CoCoPyE	class	cont_mae	1.7763568394002505e-15	369	151
strain_madness	CoCoPyE	class	slope	0.0	369	151
strain_madness	CoCoPyE	phylum	cont_bias	0.0	375	162
strain_madness	CoCoPyE	phylum	cont_mae	1.7763568394002505e-15	375	162
strain_madness	CoCoPyE	phylum	slope	0.0	375	162
strain_madness	DeepCheck	species	cont_bias	0.0	372	205
strain_madness	DeepCheck	species	cont_mae	0.0	372	205
strain_madness	DeepCheck	species	slope	5.551115123125783e-17	372	205
strain_madness	DeepCheck	genus	cont_bias	0.0	360	160
strain_madness	DeepCheck	genus	cont_mae	0.0	360	160
strain_madness	DeepCheck	genus	slope	0.0	360	160
strain_madness	DeepCheck	family	cont_bias	0.0	370	177
strain_madness	DeepCheck	family	cont_mae	0.0	370	177
strain_madness	DeepCheck	family	slope	5.551115123125783e-17	370	177
strain_madness	DeepCheck	order	cont_bias	0.0	372	155
strain_madness	DeepCheck	order	cont_mae	0.0	372	155
strain_madness	DeepCheck	order	slope	5.551115123125783e-17	372	155
strain_madness	DeepCheck	class	cont_bias	0.0	369	151
strain_madness	DeepCheck	class	cont_mae	0.0	369	151
strain_madness	DeepCheck	class	slope	2.7755575615628914e-17	369	151
strain_madness	DeepCheck	phylum	cont_bias	0.0	375	162
strain_madness	DeepCheck	phylum	cont_mae	0.0	375	162
strain_madness	DeepCheck	phylum	slope	2.7755575615628914e-17	375	162
