cohort	tool	tool_key	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_r2	comp_r2_pearson	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_r2	cont_r2_pearson	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd	r2_min_truth_sd_pp	comp_r2_interpretable	cont_r2_interpretable	denominator	note
zymo_8_isolates	MAGICC V5	magicc	8	8	code	1.7517	1.0462	2.8506	1.7517	1.0462	2.8506	2.2272	-1.7064	0.0874	0.4317	0.277	0.5801	0.4317	0.277	0.5801	0.4846	-154.0647	0.1285	98.142	0.015	1.447	0.0416	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	8 ZymoBIOMICS bacterial isolate SPAdes drafts vs their complete references (2 yeasts excluded as eukaryotes). Near-complete, near-clean: a precision / false-positive test.
zymo_8_isolates	CheckM2 1.0.1	checkm2	8	8	code	1.8506	1.1712	2.9119	1.8506	1.1712	2.9119	2.2864	-1.8521	0.7342	0.1669	0.0402	0.3747	0.1625	0.0327	0.3715	0.3172	-65.431	0.013	98.142	0.015	1.447	0.0416	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	8 ZymoBIOMICS bacterial isolate SPAdes drafts vs their complete references (2 yeasts excluded as eukaryotes). Near-complete, near-clean: a precision / false-positive test.
zymo_8_isolates	CoCoPyE 0.5.0	cocopye	8	8	code	1.7422	1.0765	2.8103	1.7422	1.0765	2.8103	2.21	-1.6646	0.0013	0.4713	0.0544	1.147	0.4412	-0.0005	1.1317	0.9861	-640.9059	0.0408	98.142	0.015	1.447	0.0416	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	8 ZymoBIOMICS bacterial isolate SPAdes drafts vs their complete references (2 yeasts excluded as eukaryotes). Near-complete, near-clean: a precision / false-positive test.
zymo_8_isolates	DeepCheck	deepcheck	8	8	code	0.9794	0.3292	1.9789	0.961	0.2909	1.9708	1.5957	-0.3892	0.2016	0.2836	0.2214	0.3528	-0.1272	-0.3016	0.077	0.299	-58.0273	0.0777	98.142	0.015	1.447	0.0416	5.0	False	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	8 ZymoBIOMICS bacterial isolate SPAdes drafts vs their complete references (2 yeasts excluded as eukaryotes). Near-complete, near-clean: a precision / false-positive test.
