dataset	track	cohort	tool	n	n_clusters	cluster_unit	true_comp_mean	true_cont_mean	comp_MAE	comp_MAE_95CI	comp_bias	comp_bias_95CI	comp_R2_CoD	cont_MAE	cont_MAE_95CI	cont_bias	cont_bias_95CI	cont_R2_CoD	true_comp_sd	true_cont_sd	true_HQ	pred_HQ	MIMAG_class_agreement_pct	false_fail_5pct_rate
Meslier MOCK1 (leakage-free, >=50 %, ORF-intact assemblies)	meslier	primary_leakage_free_comp>=50_ORF_intact	MAGICC V5	93	18	accession	92.542	0.2817	3.9552	[2.6956, 5.2865]	2.7746	[0.8074, 4.6314]	0.7331	0.866	[0.4418, 1.3409]	0.6919	[0.2245, 1.1898]	n/a (SS_tot~0)	10.503	0.4968	73	79	91.4	1.08
Meslier MOCK1 (leakage-free, >=50 %, ORF-intact assemblies)	meslier	primary_leakage_free_comp>=50_ORF_intact	CheckM2 1.0.1	93	18	accession	92.542	0.2817	4.5338	[3.1893, 6.138]	-2.1824	[-4.6007, -0.0177]	0.5797	2.4782	[1.7305, 3.2614]	2.4616	[1.7097, 3.2495]	n/a (SS_tot~0)	10.503	0.4968	73	61	78.49	19.35
Meslier MOCK1 (leakage-free, >=50 %, ORF-intact assemblies)	meslier	primary_leakage_free_comp>=50_ORF_intact	CoCoPyE 0.5.0	93	18	accession	92.542	0.2817	4.3671	[2.7546, 6.2845]	4.2588	[2.5904, 6.2367]	0.5605	9.2468	[5.486, 13.7215]	9.216	[5.4525, 13.6492]	n/a (SS_tot~0)	10.503	0.4968	73	55	58.06	40.86
Meslier MOCK1 (leakage-free, >=50 %, ORF-intact assemblies)	meslier	primary_leakage_free_comp>=50_ORF_intact	DeepCheck	93	18	accession	92.542	0.2817	5.6574	[3.5243, 8.2106]	-4.7725	[-7.6919, -2.2079]	0.255	1.6843	[1.1243, 2.3044]	1.5588	[0.9468, 2.226]	n/a (SS_tot~0)	10.503	0.4968	73	59	78.49	11.83
Meslier MOCK1 (leakage-free, >=50 %, all 7 assemblies)	meslier	primary_leakage_free_comp>=50	MAGICC V5	108	18	accession	93.207	0.2797	4.1955	[3.0508, 5.4291]	1.9603	[-0.2775, 3.8979]	0.6538	0.8793	[0.465, 1.3233]	0.6912	[0.2255, 1.181]	n/a (SS_tot~0)	10.143	0.5308	87	90	89.81	1.85
Meslier MOCK1 (leakage-free, >=50 %, all 7 assemblies)	meslier	primary_leakage_free_comp>=50	CheckM2 1.0.1	108	18	accession	93.207	0.2797	11.0068	[9.2807, 12.9716]	-8.9819	[-11.584, -6.5599]	-3.3367	2.6346	[1.9963, 3.3101]	2.6202	[1.978, 3.3005]	n/a (SS_tot~0)	10.143	0.5308	87	61	68.52	21.3
Meslier MOCK1 (leakage-free, >=50 %, all 7 assemblies)	meslier	primary_leakage_free_comp>=50	CoCoPyE 0.5.0	108	18	accession	93.207	0.2797	3.8557	[2.4613, 5.5376]	3.5866	[2.1474, 5.2991]	0.5933	23.6935	[18.2551, 29.8791]	23.667	[18.2262, 29.8475]	n/a (SS_tot~0)	10.143	0.5308	87	55	50.0	49.07
Meslier MOCK1 (leakage-free, >=50 %, all 7 assemblies)	meslier	primary_leakage_free_comp>=50	DeepCheck	108	18	accession	93.207	0.2797	13.2537	[10.7154, 16.0897]	-12.4917	[-15.6019, -9.6636]	-4.9558	1.8629	[1.4322, 2.3328]	1.7187	[1.2188, 2.2597]	n/a (SS_tot~0)	10.143	0.5308	87	59	67.59	13.89
Meslier MOCK1 (indel-dense MinION assembly only)	meslier	ORF_compromised_assembly_only	MAGICC V5	39	39	accession	93.688	0.3052	4.9048	[2.8494, 7.4549]	-2.9204	[-5.7781, -0.5916]	0.4043	1.5719	[0.7579, 2.5755]	1.3396	[0.4932, 2.3813]	n/a (SS_tot~0)	11.549	1.0547	31	28	87.18	13.16
Meslier MOCK1 (indel-dense MinION assembly only)	meslier	ORF_compromised_assembly_only	CheckM2 1.0.1	39	39	accession	93.688	0.3052	50.6879	[45.5215, 55.3439]	-50.6879	[-55.3439, -45.5215]	-20.6924	3.4504	[2.8736, 4.0496]	3.4122	[2.8092, 4.0299]	n/a (SS_tot~0)	11.549	1.0547	31	0	5.13	21.05
