dataset	track	cohort	tool	n	n_clusters	cluster_unit	true_comp_mean	true_cont_mean	comp_MAE	comp_MAE_95CI	comp_bias	comp_bias_95CI	comp_R2_CoD	cont_MAE	cont_MAE_95CI	cont_bias	cont_bias_95CI	cont_R2_CoD	true_HQ	pred_HQ	MIMAG_class_agreement_pct	false_fail_5pct_rate	procedural_independence	r2_omitted_reason
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	MAGICC V5	308	52	accession	92.209	0.2651	4.1354	[2.877, 5.9859]	1.2715	[-1.009, 2.857]	0.5903	1.3775	[0.7935, 2.2583]	1.221	[0.6112, 2.1138]		240	236	89.61	6.84		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	CheckM2 1.0.1	308	52	accession	92.209	0.2651	11.961	[10.563, 13.4025]	-10.2494	[-12.0166, -8.487]	-2.3595	1.8905	[1.5366, 2.2878]	1.8365	[1.4721, 2.2498]		240	161	64.61	12.05		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	CoCoPyE 0.5.0	308	52	accession	92.209	0.2651	4.6507	[3.5881, 5.7676]	2.3999	[0.9834, 3.7305]	0.626	10.2261	[8.5202, 12.0357]	10.2161	[8.5127, 12.0278]		240	145	47.73	51.47		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	DeepCheck	308	52	accession	92.209	0.2651	13.9752	[12.3291, 15.6535]	-13.1697	[-15.0433, -11.3016]	-3.2936	1.8504	[1.5451, 2.1565]	1.6941	[1.3475, 2.0339]		240	161	63.64	12.05		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	MAGICC V5	8	8	code	98.142	0.015	1.7517	[1.0462, 2.8506]	1.7517	[1.0462, 2.8506]	-1.7064	0.4317	[0.277, 0.5801]	0.4317	[0.277, 0.5801]		8	8	100.0	0.0		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	CheckM2 1.0.1	8	8	code	98.142	0.015	1.8506	[1.1712, 2.9119]	1.8506	[1.1712, 2.9119]	-1.8521	0.1669	[0.0402, 0.3747]	0.1625	[0.0327, 0.3715]		8	8	100.0	0.0		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	CoCoPyE 0.5.0	8	8	code	98.142	0.015	1.7422	[1.0765, 2.8103]	1.7422	[1.0765, 2.8103]	-1.6646	0.4713	[0.0544, 1.147]	0.4412	[-0.0005, 1.1317]		8	8	100.0	0.0		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	DeepCheck	8	8	code	98.142	0.015	0.9794	[0.3292, 1.9789]	0.961	[0.2909, 1.9708]	-0.3892	0.2836	[0.2214, 0.3528]	-0.1272	[-0.3016, 0.077]		8	8	100.0	0.0		contamination R2 omitted: true contamination is near-constant in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	409	231	CAMI II source genome (dominant)	82.7206	0.0	9.733	[7.7114, 11.8831]	-6.8558	[-9.2743, -4.6444]	-0.0596	1.0489	[0.6024, 1.6284]	1.0489	[0.6024, 1.6284]		183	118	79.22	4.4	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	409	231	CAMI II source genome (dominant)	82.6498	0.0	25.275	[21.1284, 29.6933]	-25.1701	[-29.5959, -21.0074]	-3.9241	2.1435	[1.8937, 2.4045]	2.1435	[1.8937, 2.4045]		183	93	78.0	10.76	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	409	231	CAMI II source genome (dominant)	81.4402	0.0	12.7551	[11.3572, 14.3558]	3.2825	[0.9071, 5.5493]	0.0629	14.735	[13.2093, 16.1826]	14.735	[13.2093, 16.1826]		183	79	74.57	63.57	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	409	231	CAMI II source genome (dominant)	82.6498	0.0	26.3239	[22.9916, 29.7023]	-26.3239	[-29.7023, -22.9916]	-3.1163	2.9464	[2.7350, 3.1793]	2.9132	[2.6936, 3.1545]		183	93	78.0	13.94	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	986	253	CAMI II source genome (dominant)	77.7922	12.2617	10.1697	[9.0734, 11.3014]	-0.1832	[-1.9660, 1.4292]	-0.1482	7.6128	[7.0111, 8.2377]	-5.6324	[-6.5366, -4.7425]	-0.1524	57	185	82.15	11.98	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	986	253	CAMI II source genome (dominant)	77.7922	12.2617	15.7381	[12.9854, 18.9870]	-12.5924	[-16.1682, -9.6068]	-3.3113	7.1316	[6.6198, 7.6868]	-6.2828	[-6.9033, -5.7204]	-0.0374	57	91	90.06	17.96	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	986	253	CAMI II source genome (dominant)	77.5074	11.9566	8.4182	[7.5051, 9.4888]	2.8772	[1.6627, 4.0052]	0.2611	11.8516	[11.1276, 12.6316]	6.7007	[5.4534, 7.9107]	-1.2103	57	30	94.83	69.46	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	986	253	CAMI II source genome (dominant)	77.7922	12.2617	15.6401	[13.4014, 18.3394]	-13.0335	[-16.0035, -10.5861]	-2.3093	7.1264	[6.6833, 7.6151]	-6.4518	[-7.0080, -5.9613]	0.003	57	117	87.42	10.78	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	700	330	CAMI II source genome (dominant)	80.7002	0.0	1.2955	[1.1615, 1.4628]	-0.0519	[-0.2022, 0.1102]	0.9847	0.5028	[0.4013, 0.6606]	0.5028	[0.4013, 0.6606]		277	252	95.86	0.29	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	700	330	CAMI II source genome (dominant)	80.686	0.0	13.958	[13.1869, 14.6878]	-13.8452	[-14.5910, -13.0591]	-0.0857	3.0153	[2.8520, 3.1842]	3.0153	[2.8520, 3.1842]		277	176	85.57	19.0	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	700	330	CAMI II source genome (dominant)	80.686	0.0	8.9417	[8.4288, 9.4296]	8.9277	[8.4162, 9.4152]	0.5498	20.0632	[19.2667, 20.9358]	20.0632	[19.2667, 20.9358]		277	144	81.0	79.43	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	700	330	CAMI II source genome (dominant)	80.686	0.0	17.4661	[16.6759, 18.2488]	-17.4661	[-18.2488, -16.6759]	-0.547	3.1791	[3.0357, 3.3172]	3.1502	[3.0046, 3.2891]		277	183	86.57	20.29	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)
CAMI II strain-madness, constructed mixed bins (leakage-free, in-domain)	cami2_strain_madness	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	2250	335	CAMI II source genome (dominant)	75.5232	10.6104	4.2178	[4.0029, 4.4469]	2.7003	[2.4071, 2.9896]	0.7402	4.4411	[4.2359, 4.6668]	-3.6539	[-3.9418, -3.3730]	0.0223	149	301	85.78	0.67	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II strain-madness, constructed mixed bins (leakage-free, in-domain)	cami2_strain_madness	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	2250	335	CAMI II source genome (dominant)	75.5232	10.6104	7.1556	[6.7495, 7.5768]	-4.1784	[-4.7754, -3.6091]	0.4067	5.9184	[5.7039, 6.1308]	-5.2468	[-5.5008, -4.9834]	-0.2745	149	196	89.64	12.33	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II strain-madness, constructed mixed bins (leakage-free, in-domain)	cami2_strain_madness	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	2250	335	CAMI II source genome (dominant)	75.5232	10.6104	6.0793	[5.7390, 6.4487]	5.7191	[5.3464, 6.1240]	0.569	11.8795	[11.4125, 12.3509]	11.6024	[11.0912, 12.1114]	-3.216	149	56	95.16	69.51	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
CAMI II strain-madness, constructed mixed bins (leakage-free, in-domain)	cami2_strain_madness	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	2250	335	CAMI II source genome (dominant)	75.5232	10.6104	8.5013	[8.0008, 9.0306]	-6.5444	[-7.2278, -5.9213]	0.1647	6.294	[6.0794, 6.4993]	-5.7904	[-6.0284, -5.5390]	-0.4202	149	204	89.11	13.45	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours	
