dataset	track	cohort	tool	n	n_clusters	cluster_unit	true_comp_mean	true_cont_mean	comp_MAE	comp_MAE_95CI	comp_bias	comp_bias_95CI	comp_R2_CoD	cont_MAE	cont_MAE_95CI	cont_bias	cont_bias_95CI	cont_R2_CoD	true_HQ	pred_HQ	MIMAG_class_agreement_pct	false_fail_5pct_rate
Meslier MOCK1 (indel-dense MinION assembly only)	meslier	ORF_compromised_assembly_only	CoCoPyE 0.5.0	39	39	accession	93.688	0.3052	3.1145	[2.2177, 4.1123]	-1.8336	[-3.0918, -0.597]	0.8591	22.172	[20.6778, 23.7017]	22.172	[20.6778, 23.7017]	-473.8425	31	0	0.0	100.0
Meslier MOCK1 (indel-dense MinION assembly only)	meslier	ORF_compromised_assembly_only	DeepCheck	39	39	accession	93.688	0.3052	56.8308	[51.7475, 61.7072]	-56.8308	[-61.7072, -51.7475]	-25.7578	4.1951	[3.24, 5.2562]	4.095	[3.0528, 5.169]	-24.704	31	0	0.0	36.84
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	MAGICC V5	308	52	accession	92.209	0.2651	4.1354	[2.877, 5.9859]	1.2715	[-1.009, 2.857]	0.5903	1.3775	[0.7935, 2.2583]	1.221	[0.6112, 2.1138]	-18.8029	240	236	89.61	6.84
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	CheckM2 1.0.1	308	52	accession	92.209	0.2651	11.961	[10.563, 13.4025]	-10.2494	[-12.0166, -8.487]	-2.3595	1.8905	[1.5366, 2.2878]	1.8365	[1.4721, 2.2498]	-15.8871	240	161	64.61	12.05
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	CoCoPyE 0.5.0	308	52	accession	92.209	0.2651	4.6507	[3.5881, 5.7676]	2.3999	[0.9834, 3.7305]	0.626	10.2261	[8.5202, 12.0357]	10.2161	[8.5127, 12.0278]	-454.9615	240	145	47.73	51.47
Meslier MOCK1 (all organisms, >=50 %, all 7 assemblies)	meslier	all_MOCK1_comp>=50	DeepCheck	308	52	accession	92.209	0.2651	13.9752	[12.3291, 15.6535]	-13.1697	[-15.0433, -11.3016]	-3.2936	1.8504	[1.5451, 2.1565]	1.6941	[1.3475, 2.0339]	-16.5417	240	161	63.64	12.05
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	MAGICC V5	8	8	code	98.142	0.015	1.7517	[1.0462, 2.8506]	1.7517	[1.0462, 2.8506]	-1.7064	0.4317	[0.277, 0.5801]	0.4317	[0.277, 0.5801]	-154.0647	8	8	100.0	0.0
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	CheckM2 1.0.1	8	8	code	98.142	0.015	1.8506	[1.1712, 2.9119]	1.8506	[1.1712, 2.9119]	-1.8521	0.1669	[0.0402, 0.3747]	0.1625	[0.0327, 0.3715]	-65.431	8	8	100.0	0.0
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	CoCoPyE 0.5.0	8	8	code	98.142	0.015	1.7422	[1.0765, 2.8103]	1.7422	[1.0765, 2.8103]	-1.6646	0.4713	[0.0544, 1.147]	0.4412	[-0.0005, 1.1317]	-640.9059	8	8	100.0	0.0
Zymo isolate drafts (n=8)	zymo	zymo_8_isolates	DeepCheck	8	8	code	98.142	0.015	0.9794	[0.3292, 1.9789]	0.961	[0.2909, 1.9708]	-0.3892	0.2836	[0.2214, 0.3528]	-0.1272	[-0.3016, 0.077]	-58.0273	8	8	100.0	0.0
