label	n	genome_size_median_bp	magicc_completeness_median	checkm2_completeness_median	magicc_contamination_median	checkm2_contamination_median	delta_completeness_MAGICC_minus_CheckM2_median	delta_completeness_ci95	delta_contamination_MAGICC_minus_CheckM2_median	delta_contamination_ci95	pct_magicc_cont_gt_5	pct_checkm2_cont_gt_5	pct_magicc_comp_ge_90	pct_checkm2_comp_ge_90	n_scg_detected_median	contig_count_median	log2_size_vs_phylum_median
CAG-557	60	981187	84.32	97.36	7.33	0.81	-6.52	[-12.17, -3.63]	6.25	[4.27, 8.95]	63.3	0.0	36.7	73.3	82	59	-1.386
UMGS1491	61	1095451	57.27	94.52	17.08	0.27	-33.19	[-36.7, -31.2]	16.68	[10.26, 27.69]	85.2	1.6	0.0	73.8	81	51	-1.244
Caccenecus	101	1286632	71.15	92.41	16.61	0.82	-17.17	[-20.99, -12.92]	15.79	[13.78, 20.53]	88.1	0.0	3.0	59.4	79	87	-0.922
HGM10766	15	1091647	66.81	89.05	21.01	1.27	-20.36	[-23.74, -8.41]	18.44	[4.26, 21.26]	80.0	6.7	13.3	33.3	77	85	-1.131
Faecimonas	61	1410926	97.92	92.84	11.71	2.54	3.31	[2.86, 5.65]	9.18	[6.83, 12.07]	75.4	13.1	73.8	60.7	81	70	-0.796
ALL five reviewer genera	298	1187415	71.32	93.14	14.55	0.95	-14.75	[-17.71, -12.06]	12.87	[10.76, 14.52]	79.5	3.4	24.2	64.1	81	72	-1.041
