set	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_rmse	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_r2	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_rmse	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_r2	note
set_C_clean	1000	100	ref_index	6.8216	5.8383	7.856	10.1215	-2.3197	-3.8987	-0.8547	0.6564	9.0801	8.1483	10.1046	12.3174	-3.5536	-5.0554	-2.102	0.7916	clean: dominants from held-out test split only, 100 refs x 10 sims
set_D_clean	1000	100	ref_index	5.633	5.0049	6.4004	8.3198	-0.2624	-1.4138	0.7134	0.7124	6.5229	5.9657	7.1373	9.439	-3.8341	-4.7234	-2.9563	0.8787	clean: dominants from held-out test split only, 100 refs x 10 sims
set_C (SUPERSEDED, leaked)	1000	1000	sample (no clustering)	3.1539	2.8941	3.4307	5.2458	0.9695	0.6481	1.2841	0.901	7.9741	7.4997	8.4529	11.1309	-6.9977	-7.5233	-6.4704	0.9293	dominants from train+val+test
set_C (SUPERSEDED, leaked, constraint-satisfying subset)	859	859	sample (no clustering)	2.3794	2.1726	2.5958	3.9451	-0.0735	-0.3266	0.2103	0.9348	6.0521	5.6925	6.4315	8.2276	-4.9154	-5.3586	-4.4759	0.9486	141 of 1000 samples removed because contamination% > completeness%, a state absent from V5 training data
set_D (SUPERSEDED, leaked)	1000	1000	sample (no clustering)	5.1759	4.7649	5.5986	8.4317	1.4318	0.9206	1.9535	0.7124	8.058	7.4615	8.6827	12.6995	-6.1109	-6.8369	-5.4258	0.8619	dominants from train+val+test
set_D (SUPERSEDED, leaked, constraint-satisfying subset)	787	787	sample (no clustering)	3.6871	3.3823	3.9979	5.7923	-0.5975	-0.9883	-0.1992	0.8572	4.8546	4.4859	5.249	7.4077	-2.5102	-2.995	-2.0279	0.9172	213 of 1000 samples removed because contamination% > completeness%, a state absent from V5 training data
