scope	size_bin	tool	tool_label	n	n_clusters	median_size_mbp	mae_completeness	mae_completeness_ci_lo	mae_completeness_ci_hi	bias_completeness	bias_completeness_ci_lo	bias_completeness_ci_hi	mae_contamination	mae_contamination_ci_lo	mae_contamination_ci_hi	bias_contamination	bias_contamination_ci_lo	bias_contamination_ci_hi	n_true_pass_cont5	n_false_fail_cont5	false_fail_rate_cont5	false_fail_rate_cont5_ci_lo	false_fail_rate_cont5_ci_hi
POOLED_leakage_free_5_sets	>=5 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	860	437	5.694719	3.7789585141163586	3.4029395666624223	4.1930440257106385	-0.07182785009053393	-0.557302154800406	0.4572330908692602	3.5668482269808206	3.154549803267495	4.033275429224714	0.017197929612048742	-0.5173711731059645	0.5563602637895689	414	7	0.016908212560386472	0.004830626855247076	0.03283110516934045
POOLED_leakage_free_5_sets	>=5 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	860	437	5.694719	4.250535224689275	3.862764242322975	4.6574966730061345	-0.043739873346347796	-0.5341493974324221	0.4640798519548797	4.517561712550534	4.024660416431678	5.097590056279547	1.6412736710934437	1.0101920607292092	2.3180368251068133	414	41	0.09903381642512077	0.07032786885245902	0.12935469710272168
POOLED_leakage_free_5_sets	>=5 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	860	437	5.694719	2.1026937247023803	1.8490798886989464	2.3663128971124925	0.63821868944435	0.34988127229160704	0.9350678765773683	2.7363715765074943	2.428837077904636	3.0648038105943907	0.49040893550402553	0.10545320671149815	0.8960669268121481	414	12	0.028985507246376812	0.014082044715847538	0.046875
POOLED_leakage_free_5_sets	>=5 Mbp	checkm2	CheckM2 1.0.1	860	437	5.694719	5.3308451359216	4.769591190898136	5.92473110341325	5.049440242932722	4.47167994457437	5.656340538028327	6.829126054173585	6.135368256580625	7.55410454878965	-2.4148900498367887	-3.3193059858696956	-1.4941315700805107	414	5	0.012077294685990338	0.0024154589371980675	0.02364066193853428
POOLED_leakage_free_5_sets	>=5 Mbp	cocopye	CoCoPyE 0.5.0	860	437	5.694719	3.9689138499626826	3.6558831216976384	4.323423958142987	0.662489441558497	0.216509454675742	1.102136723908972	13.089386900507904	11.88728237574772	14.280589416234253	-12.442066858515405	-13.669926208566878	-11.219666040857513	414	3	0.007246376811594203	0.0	0.016667661097852022
POOLED_leakage_free_5_sets	>=5 Mbp	deepcheck	DeepCheck	860	437	5.694719	10.666077836131702	9.955589416828316	11.418807202834513	9.462327970182223	8.684003436821707	10.273557749061085	14.755930416669177	13.253009986131255	16.450112500959044	-4.157995876487037	-6.098915510888298	-2.1117070038892423	414	1	0.0024154589371980675	0.0	0.00742620322826327
set_A_v2	1-2 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	130	107	1.6259995	2.373482545567824	1.5055459246837526	3.480075957274636	-1.134530449046757	-2.427045492135076	-0.18701662529857388	1.5528432615846153	0.6572012229252175	2.826656797540112	1.5528432615846153	0.6572012229252175	2.826656797540112	130	6	0.046153846153846156	0.007633587786259542	0.09559852941176464
set_A_v2	1-2 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	130	107	1.6259995	2.717532566723145	1.8083224689813397	3.932022002616168	-1.212283879815988	-2.6115970812888816	-0.1970556467617508	2.3272423076923077	1.2542320837031777	3.8797307032967008	2.3272423076923077	1.2542320837031777	3.8797307032967008	130	8	0.06153846153846154	0.015869891263592055	0.11383275261324034
set_A_v2	1-2 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	130	107	1.6259995	2.041597367756454	1.546586178262114	2.6468498483411436	-0.963852856739064	-1.5796653622487042	-0.3978537378244059	0.5181629854853846	0.2155620091745414	1.0079279467060056	0.5181629854853846	0.2155620091745414	1.0079279467060056	130	1	0.007692307692307693	0.0	0.024004838709677394
set_A_v2	1-2 Mbp	checkm2	CheckM2 1.0.1	130	107	1.6259995	2.325318897787448	1.7279580044234124	2.9534016668302527	-0.08963311058521872	-0.7936336145787087	0.6365976699015727	0.23476923076923079	0.17289826811211	0.2983510305697081	0.23476923076923079	0.17289826811211	0.2983510305697081	130	0	0.0	0.0	0.0
set_A_v2	1-2 Mbp	cocopye	CoCoPyE 0.5.0	130	107	1.6259995	3.4755987130781483	2.4726268084431893	4.661012741791037	0.2718420306411553	-1.0957349549939928	1.441199182066199	2.0245963555841704	1.2688979368017865	2.937393585718142	2.0245963555841704	1.2688979368017865	2.937393585718142	130	14	0.1076923076923077	0.047244094488188976	0.1797035092213114
set_A_v2	1-2 Mbp	deepcheck	DeepCheck	130	107	1.6259995	4.08038281737061	3.15140783458362	5.14369488470387	0.2642764763945749	-0.9117820014319011	1.50104019137258	0.334328268124507	0.2675274263034462	0.40952904913590754	0.1128684259377993	0.02322550607404413	0.20257664452044538	130	0	0.0	0.0	0.0
set_A_v2	2-3 Mbp	magicc_v5	MAGICC v5 (released, v0.3.0)	231	182	2.538293	1.5927845963162595	1.287330276030161	1.9286877901691957	0.16666797837352096	-0.23281398942616968	0.5686395508013196	0.5794774280844157	0.4380992177686669	0.7507263960925606	0.5794774280844157	0.4380992177686669	0.7507263960925606	231	0	0.0	0.0	0.0
set_A_v2	2-3 Mbp	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	231	182	2.538293	1.9017272412550652	1.5434233285344172	2.302348298972037	-0.14395080517626277	-0.6229462401440142	0.32321169709010367	1.0132917748917747	0.7588977075494885	1.2946457113650294	1.0132917748917747	0.7588977075494885	1.2946457113650294	231	11	0.047619047619047616	0.017241379310344827	0.0881089660533817
set_A_v2	2-3 Mbp	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	231	182	2.538293	1.583149428973416	1.311825778292353	1.8768743163947048	-0.07055101729747457	-0.4552546758600442	0.2852486728973331	0.2594258337805195	0.14025923569392712	0.43568461742739967	0.2594258337805195	0.14025923569392712	0.43568461742739967	231	2	0.008658008658008658	0.0	0.021932239740319947
set_A_v2	2-3 Mbp	checkm2	CheckM2 1.0.1	231	182	2.538293	2.4209042364942923	2.0807473414995723	2.782516859616139	1.1111903203648625	0.6626642939152174	1.5585021761157392	0.2997402597402598	0.24359666666666668	0.36891545630597916	0.2997402597402598	0.24359666666666668	0.36891545630597916	231	0	0.0	0.0	0.0
