set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	true_class	pred_class	row_frac
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	692	798	True	medium	medium	0.9558011049723757
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	6	798	True	medium	low	0.008287292817679558
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	0	798	True	low	high	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	0	798	True	low	medium	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	0	798	True	low	low	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	270	798	True	high	high	0.9782608695652174
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	6	798	True	high	medium	0.021739130434782608
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	0	798	True	high	low	0.0
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	31	798	True	medium	high	0.04281767955801105
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	666	798	True	medium	medium	0.919889502762431
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	27	798	True	medium	low	0.03729281767955801
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	0	798	True	low	high	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	0	798	True	low	medium	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	0	798	True	low	low	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	190	803	True	high	high	0.95
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	6	803	True	high	medium	0.03
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	4	803	True	high	low	0.02
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	0	803	True	medium	high	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	2	803	True	medium	medium	1.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	0	803	True	medium	low	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	0	803	True	low	high	0.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1	803	True	low	medium	0.0012531328320802004
