set	set_label	status	tier	subset	tool	tool_label	n	n_clusters	n_true_high	n_true_medium	n_true_low	macro_f1	macro_f1_ci_lo	macro_f1_ci_hi	accuracy	accuracy_ci_lo	accuracy_ci_hi	high_precision	high_recall	high_f1
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	checkm2	CheckM2 1.0.1	1000	803	200	2	798	0.5983669477860973	0.5798048788803277	0.6189014197975395	0.852	0.8287042957042957	0.8743973172114112	0.7782101167315175	1.0	0.8752735229759301
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	1000	803	200	2	798	0.7348654044633944	0.6589540251147904	0.8208332569469181	0.985	0.9771138580008324	0.9919761287871631	0.9949494949494949	0.985	0.9899497487437187
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	in_domain	deepcheck	DeepCheck	1000	803	200	2	798	0.4990316551340173	0.48037135017499627	0.5172412346269134	0.671	0.6421968199355134	0.6986055144418793	0.6067073170731707	0.995	0.7537878787878788
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v5	MAGICC v5 (released, v0.3.0)	1000	1000	34	83	883	0.8520944180112303	0.8019914324175488	0.8953131222881964	0.958	0.945	0.97	0.6875	0.9705882352941176	0.8048780487804877
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	1000	1000	34	83	883	0.8723289373778749	0.8257009623809742	0.9153530483912106	0.964	0.952	0.975	0.7560975609756098	0.9117647058823529	0.8266666666666665
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	1000	1000	34	83	883	0.8922116095705634	0.8455792711358725	0.9318505708422377	0.971	0.96	0.9800249999999998	0.8285714285714286	0.8529411764705882	0.8405797101449276
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	checkm2	CheckM2 1.0.1	1000	1000	34	83	883	0.2816479245329417	0.24586559725502785	0.3147907717798661	0.287	0.258	0.316	0.19753086419753085	0.9411764705882353	0.326530612244898
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	cocopye	CoCoPyE 0.5.0	1000	1000	34	83	883	0.4204806603010196	0.39456648834134117	0.44684744399840487	0.798	0.773	0.823	0.0	0.0	0.0
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	all	deepcheck	DeepCheck	1000	1000	34	83	883	0.2666916983956254	0.217158715719782	0.3170282290135394	0.262	0.235	0.29	0.28205128205128205	0.3235294117647059	0.3013698630136986
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	859	859	34	83	742	0.8510647420618316	0.8029841865568038	0.8942876955760848	0.9511059371362048	0.9359720605355064	0.9650756693830035	0.6875	0.9705882352941176	0.8048780487804877
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	859	859	34	83	742	0.8714153293219512	0.8257662165510342	0.9124540718320147	0.9580908032596042	0.9441210710128056	0.9708963911525029	0.7560975609756098	0.9117647058823529	0.8266666666666665
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	859	859	34	83	742	0.8914834602472776	0.8482343534537492	0.9309744390657629	0.9662398137369034	0.9534342258440046	0.9778812572759022	0.8285714285714286	0.8529411764705882	0.8405797101449276
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	checkm2	CheckM2 1.0.1	859	859	34	83	742	0.28223433491817285	0.24880751621932262	0.31855616463123776	0.2828870779976717	0.25378346915017463	0.31431897555296856	0.19753086419753085	0.9411764705882353	0.326530612244898
set_C	Set C (Patescibacteriota) - SUPERSEDED (training leakage)	superseded_leaky	reported	in_domain	cocopye	CoCoPyE 0.5.0	859	859	34	83	742	0.4258726731275009	0.39865985952380595	0.45254620097898435	0.7857974388824214	0.7590221187427241	0.8125727590221188	0.0	0.0	0.0
