set	set_label	status	tier	subset	tool	tool_label	n	n_clusters	n_true_high	n_true_medium	n_true_low	macro_f1	macro_f1_ci_lo	macro_f1_ci_hi	accuracy	accuracy_ci_lo	accuracy_ci_hi	high_precision	high_recall	high_f1
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	checkm2	CheckM2 1.0.1	1000	100	13	100	887	0.38240339829634906	0.3324555362470399	0.43110552417024595	0.48	0.438	0.523	0.16901408450704225	0.9230769230769231	0.2857142857142857
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	cocopye	CoCoPyE 0.5.0	1000	100	13	100	887	0.7561898339311796	0.6755382263372421	0.8276041426725302	0.93	0.907	0.948	0.4583333333333333	0.8461538461538461	0.5945945945945945
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	deepcheck	DeepCheck	1000	100	13	100	887	0.2206705817033967	0.18417460314443118	0.25720235433906985	0.24	0.209	0.275	0.1016949152542373	0.9230769230769231	0.18320610687022904
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	1000	100	13	100	887	0.7881086301581437	0.6926499078961132	0.8642827729015259	0.958	0.946	0.969	0.5333333333333333	0.6153846153846154	0.5714285714285715
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	checkm2	CheckM2 1.0.1	1000	100	13	100	887	0.38240339829634906	0.33179689470213997	0.4321416687627965	0.48	0.436	0.523	0.16901408450704225	0.9230769230769231	0.2857142857142857
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	1000	100	13	100	887	0.7561898339311796	0.6757482419497722	0.8286121499366359	0.93	0.908	0.949	0.4583333333333333	0.8461538461538461	0.5945945945945945
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	deepcheck	DeepCheck	1000	100	13	100	887	0.2206705817033967	0.1835203541929263	0.2575593046536755	0.24	0.205	0.274	0.1016949152542373	0.9230769230769231	0.18320610687022904
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	all	magicc_v5	MAGICC v5 (released, v0.3.0)	5000	2586	585	1111	3304	0.9338646102642486	0.9232536483917785	0.9429877921064728	0.9572	0.9510166624002393	0.9627182299075412	0.925	0.8854700854700854	0.9048034934497817
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	all	checkm2	CheckM2 1.0.1	5000	2586	585	1111	3304	0.6952177089531345	0.6740877896325538	0.7175692707805758	0.6822	0.6614992572624452	0.7052492294423979	0.6525229357798165	0.9726495726495726	0.7810569663692519
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	all	cocopye	CoCoPyE 0.5.0	5000	2586	585	1111	3304	0.8971470585582889	0.8837748457862913	0.9096367894625411	0.921	0.911278651588624	0.9298070605669742	0.9107142857142857	0.8717948717948718	0.8908296943231441
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	all	deepcheck	DeepCheck	5000	2586	585	1111	3304	0.6030539900865814	0.5819487282116933	0.6239056999670446	0.5668	0.5448565260418269	0.5893781905797444	0.6125419932810751	0.935042735042735	0.7401894451962111
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	E_in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	4868	2515	585	1111	3172	0.9335861941786878	0.9243409749797951	0.9430612709794752	0.9560394412489729	0.950268169679024	0.9617622610141313	0.925	0.8854700854700854	0.9048034934497817
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	E_in_domain	checkm2	CheckM2 1.0.1	4868	2515	585	1111	3172	0.6908250359673005	0.6695696360921116	0.7144244255607146	0.6746096959737058	0.6523711123769015	0.6989729009839436	0.6525229357798165	0.9726495726495726	0.7810569663692519
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	E_in_domain	cocopye	CoCoPyE 0.5.0	4868	2515	585	1111	3172	0.8964969866815261	0.8833419963908765	0.9091531277736058	0.9188578471651603	0.9089795561707611	0.9280761930246962	0.9107142857142857	0.8717948717948718	0.8908296943231441
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	E_in_domain	deepcheck	DeepCheck	4868	2515	585	1111	3172	0.5969959511093427	0.5770133236258689	0.6179462450806085	0.5587510271158587	0.5367095746940953	0.5817688768502506	0.6125419932810751	0.935042735042735	0.7401894451962111
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	all_in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	4868	2515	585	1111	3172	0.9335861941786878	0.923367730798071	0.9427289605455413	0.9560394412489729	0.9499381803931357	0.9617531572394166	0.925	0.8854700854700854	0.9048034934497817
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	all_in_domain	checkm2	CheckM2 1.0.1	4868	2515	585	1111	3172	0.6908250359673005	0.6698659094247043	0.7134942480440263	0.6746096959737058	0.6525107505614536	0.6981524104241873	0.6525229357798165	0.9726495726495726	0.7810569663692519
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	all_in_domain	cocopye	CoCoPyE 0.5.0	4868	2515	585	1111	3172	0.8964969866815261	0.8832673133671951	0.9089414199139688	0.9188578471651603	0.9091255558589484	0.9283087126611631	0.9107142857142857	0.8717948717948718	0.8908296943231441
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	all_in_domain	deepcheck	DeepCheck	4868	2515	585	1111	3172	0.5969959511093427	0.5771489040707525	0.6190394157409088	0.5587510271158587	0.5373702534344759	0.5831066022919751	0.6125419932810751	0.935042735042735	0.7401894451962111
