set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	mimag_class	support_true	support_true_frac	n_predicted	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	f1	f1_ci_lo	f1_ci_hi
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	803	True	high	200	0.2	190	1.0	1.0	1.0	0.95	0.917865680561781	0.9767441860465116	0.9743589743589743	0.9571741014598737	0.988235294117647
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	803	True	low	798	0.798	801	0.9950062421972534	0.9898212338370463	0.9987700254766676	0.9987468671679198	0.9960884014622798	1.0	0.9968730456535334	0.9937260797171784	0.9993667078059236
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	803	True	medium	2	0.002	9	0.2222222222222222	0.0	0.5555555555555556	1.0	0.0	1.0	0.3636363636363636	0.0	0.7142857142857143
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	803	True	high	200	0.2	151	1.0	1.0	1.0	0.755	0.6958651682453294	0.8118880258191565	0.8603988603988605	0.8206609577198187	0.8961790283886445
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	803	True	low	798	0.798	812	0.9827586206896551	0.9730392156862745	0.9912609238451935	1.0	1.0	1.0	0.9913043478260869	0.986335403726708	0.9956112852664577
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	803	True	medium	2	0.002	37	0.02702702702702703	0.0	0.08823529411764706	0.5	0.0	1.0	0.05128205128205129	0.0	0.15789473684210525
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	803	True	high	200	0.2	192	1.0	1.0	1.0	0.96	0.9314271708683473	0.9845380650277558	0.9795918367346939	0.9644962905115189	0.992208798952985
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	803	True	low	798	0.798	797	0.998745294855709	0.9961340206185567	1.0	0.9974937343358395	0.9936708860759493	1.0	0.9981191222570533	0.9956384932457251	1.0
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	803	True	medium	2	0.002	11	0.18181818181818182	0.0	0.45454545454545453	1.0	0.0	1.0	0.3076923076923077	0.0	0.625
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	803	True	high	200	0.2	257	0.7782101167315175	0.7297297297297297	0.8269266917293232	1.0	1.0	1.0	0.8752735229759301	0.8437499999999999	0.9052653238033355
