set	set_label	status	tier	subset	tool	tool_label	tool_role	metric	n	n_clusters	clustered_bootstrap	true_value_variance	true_value_constant	mae	mae_ci_lo	mae_ci_hi	bias	bias_ci_lo	bias_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_omitted_reason
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	798	True	288.16837015258153	False	2.1766318366134065	1.9226652813792866	2.440739538878147	0.09221869013727485	-0.20652810994463552	0.3693224599086236	4.265459274526059	3.612153821257144	4.893917798646191	0.9368628041550612	0.9162165456450629	0.9550319500729383	0.9369097873360442	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	798	True	0.0	True	0.8285294344272	0.6338994980339268	1.0543609073270737	0.8285294344272	0.6338994980339268	1.0543609073270737	3.01249322423102	1.792194200731423	4.067382501049166					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	1000	798	True	288.16837015258153	False	2.591358171535378	2.3287163161641833	2.8613257315590825	-0.3558517728627252	-0.6774482448906495	-0.06971373680190332	4.653794186738778	3.9933353929443416	5.32717406291993	0.924843242438245	0.9015056288264741	0.9450392466230838	0.925951506879619	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	1000	798	True	0.0	True	1.4780225	1.2211455293961662	1.7791205418184648	1.4780225	1.2211455293961662	1.7791205418184648	4.212589272168604	2.9215235948850578	5.462322106261796					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	1000	798	True	288.16837015258153	False	1.9928675263079683	1.8011801321018566	2.1780060317239527	-0.002137164862725115	-0.22884894364726474	0.2139794050340523	3.4664167383890567	3.0427891026357052	3.872448765727129	0.9583019989396425	0.9476139831048449	0.9676585010312929	0.9585290917646682	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	1000	798	True	0.0	True	0.4568896125832999	0.34286751700166457	0.5922620117692146	0.4568896125832999	0.34286751700166457	0.5922620117692146	2.0572538951470056	1.1908707961398346	2.8751301071507767					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	checkm2	CheckM2 1.0.1	competitor	completeness	1000	798	True	288.16837015258153	False	2.5423106509718054	2.3638604606887923	2.716184293983591	1.2338306271372748	0.9855125841842689	1.4645323605118912	3.836799863069146	3.5619717220681566	4.112122223762957	0.9489151665692774	0.9406258375459654	0.9566499394685575	0.9542042212077979	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	checkm2	CheckM2 1.0.1	competitor	contamination	1000	798	True	0.0	True	0.27387	0.24930697791164658	0.29868548436796316	0.27387	0.24930697791164658	0.29868548436796316	0.4403654164441163	0.4006670925019201	0.48213216017521027					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	798	True	288.16837015258153	False	3.626543119935133	3.3408707121837593	3.9013897186304023	1.5985225375141008	1.2670963245763214	1.91879776640499	5.476054680966631	5.031757992830724	5.94011591467038	0.8959387012077047	0.8772461632446922	0.9122448972519998	0.9085106847176115	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	798	True	0.0	True	0.7744793874790756	0.5982736821341545	0.9697508785632916	0.7744793874790756	0.5982736821341545	0.9697508785632916	2.8670595482195016	2.2171511661005465	3.4468901142307242					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	deepcheck	DeepCheck	competitor	completeness	1000	798	True	288.16837015258153	False	4.255472477276518	3.9732607460456095	4.548460711363844	1.4648283920298533	1.085754004017448	1.8462991130421869	6.229719890580933	5.768829672995225	6.699745356115274	0.8653238386483895	0.8436202611532347	0.8850239469273306	0.8735672962805364	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	deepcheck	DeepCheck	competitor	contamination	1000	798	True	0.0	True	0.404035914644599	0.37189274651896137	0.43704314534055033	0.2865536159723997	0.2482140746352187	0.3254145874184058	0.6315151025352045	0.5836207499160528	0.675744306942002					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	798	True	288.16837015258153	False	2.1766318366134065	1.9375371832491701	2.4483044195231742	0.09221869013727485	-0.2092009130868488	0.3902763659227453	4.265459274526059	3.62908155664016	4.939280963580978	0.9368628041550612	0.9151692786058414	0.9544990062146115	0.9369097873360442	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	798	True	0.0	True	0.8285294344272	0.6436673595249625	1.0624061280812813	0.8285294344272	0.6436673595249625	1.0624061280812813	3.01249322423102	1.8593781990095781	4.080710509801605					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	1000	798	True	288.16837015258153	False	2.591358171535378	2.3511761918295715	2.8708388938059732	-0.3558517728627252	-0.6733568154240526	-0.049343598095474256	4.653794186738778	4.024600679931178	5.355939228637312	0.924843242438245	0.9003657137807488	0.9437466276997312	0.925951506879619	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	1000	798	True	0.0	True	1.4780225	1.2232293558386014	1.786115443843812	1.4780225	1.2232293558386014	1.786115443843812	4.212589272168604	2.9859002263446413	5.451848687476991					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	1000	798	True	288.16837015258153	False	1.9928675263079683	1.822688493159931	2.1919794324493314	-0.002137164862725115	-0.22251894064864985	0.23181033687682778	3.4664167383890567	3.0869212640200385	3.8631235626020564	0.9583019989396425	0.9479207254501668	0.9670364076715389	0.9585290917646682	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	1000	798	True	0.0	True	0.4568896125832999	0.34484435100830885	0.6052877791819246	0.4568896125832999	0.34484435100830885	0.6052877791819246	2.0572538951470056	1.2004234237331608	2.9262446963068163					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	checkm2	CheckM2 1.0.1	competitor	completeness	1000	798	True	288.16837015258153	False	2.5423106509718054	2.3673715375702775	2.7306030423203875	1.2338306271372748	1.0224105583617156	1.4565943982528808	3.836799863069146	3.567803798981113	4.119271948068806	0.9489151665692774	0.9404437070373303	0.9564009425049456	0.9542042212077979	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	checkm2	CheckM2 1.0.1	competitor	contamination	1000	798	True	0.0	True	0.27387	0.24783528914539474	0.3002263032935946	0.27387	0.24783528914539474	0.3002263032935946	0.4403654164441163	0.3962401890005329	0.4850744971519749					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
