set	set_label	status	tier	tool	tool_label	tool_role	metric	n	n_clusters	true_value_variance	true_value_constant	true_value_min	true_value_max	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	bias	bias_ci_lo	bias_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_pearson_sq_ci_lo	r2_pearson_sq_ci_hi	r2_omitted_reason
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	803	0.0	True	100.0	100.0	2.972426611	2.6474062363997954	3.3182404214419767	6.014786910832875	5.3811897431688145	6.589604916586322	-2.972426611	-3.318240421441977	-2.6474062363997954							R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	1000	803	0.0	True	100.0	100.0	3.1238226	2.7744222138535073	3.4590567742551848	5.8482909374021395	5.261669729884048	6.416101081222105	-3.1238226	-3.459056774255185	-2.7744222138535073							R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	1000	803	0.0	True	100.0	100.0	0.7727145449999998	0.57808676173181	0.9860229440792727	3.2782157809863457	2.475862599904699	4.025357052295423	-0.7727145449999998	-0.9860229440792727	-0.57808676173181							R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	completeness	1000	803	0.0	True	100.0	100.0	0.45112000000000024	0.3190901682152185	0.6001370518252777	2.249215374302781	1.604649331559399	2.8786889436984024	-0.45112000000000024	-0.6001370518252777	-0.3190901682152185							R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	803	0.0	True	100.0	100.0	2.6084536472310864	2.2952356974016053	2.9452929737110622	5.632382684609849	5.014345418517646	6.241895806621802	-2.6084536472310864	-2.9452929737110622	-2.2952356974016053							R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	completeness	1000	803	0.0	True	100.0	100.0	6.6112978515625	6.063183851459312	7.165332125251908	11.124742303672994	10.332623636596598	11.934503552774936	4.400948608398438	3.76484709078012	5.054528200063339							R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	803	772.4672959754683	False	0.0	80.0	4.453452160275677	4.121883812189373	4.792029895134867	6.772518352675309	6.132658715921999	7.43248934992398	-0.13556211729051568	-0.5949579560188135	0.30051961127251664	0.9406227227012851	0.9283067332847375	0.9513593721607386	0.9408855023396409	0.9287581833579539	0.9516782128068355	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	1000	803	772.4672959754683	False	0.0	80.0	5.109657326062996	4.741421495878926	5.50406543930061	7.702473366904932	6.899186837533228	8.511519031677347	1.7674096368514842	1.2666306865420756	2.2721519005703397	0.9231966242752575	0.9067870205912647	0.9385108024225474	0.9276074728380337	0.9127223112703688	0.9416050953614593	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	1000	803	772.4672959754683	False	0.0	80.0	2.783629888936638	2.579950361203287	3.0031050587219044	4.30382439859824	3.924774164043202	4.733705595807183	-0.04897599531531569	-0.3295784596263371	0.23142284029950932	0.9760211150032199	0.9709925614587326	0.9801181740532652	0.9763162929485565	0.971519756542672	0.9803600147680497	
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	contamination	1000	803	772.4672959754683	False	0.0	80.0	17.661892481683402	16.510105631285878	18.778819690336313	25.23848722734899	23.90581170607492	26.542919848593968	-14.261714663148517	-15.593799180511477	-12.96018867102942	0.17539390878589745	0.0863532979672487	0.2594772099937376	0.47565440392885955	0.435750415603258	0.5171062251233254	
