dataset	binset	tool	domain	n	comp_mae	cont_mae	comp_bias	cont_bias
marine	gold	MAGICC_V5	in_domain	2632	3.2216356568846156	1.010083971065722	-0.02876625055621939	1.010083971065722
marine	gold	CheckM2	in_domain	552	15.0539300415297	2.6602717391304354	-14.959773165312129	2.6602717391304354
marine	gold	CoCoPyE	in_domain	552	11.86559146832586	22.143119454989098	11.567961068291904	22.143119454989098
marine	gold	DeepCheck	in_domain	552	19.121956969202188	3.070952769395882	-19.121956969202188	3.0383048812062414
marine	mixed	MAGICC_V5	in_domain	1995	6.968023417794388	6.6122810379357055	4.609782550169276	-4.437965060729794
marine	mixed	CheckM2	in_domain	1995	7.561273292029195	6.0592346414856815	-3.868474885920949	-4.9578580020535545
marine	mixed	CoCoPyE	in_domain	1995	8.597100283682533	18.01258134559107	8.106017082188055	17.66939431542168
marine	mixed	DeepCheck	in_domain	1995	9.313622507635529	6.624822212587494	-6.360518968409581	-5.251125844845286
strain_madness	gold	MAGICC_V5	in_domain	1107	1.3129824479198968	0.5163943836440831	-0.07761309986657841	0.5163943836440831
strain_madness	gold	CheckM2	in_domain	700	13.957983064916997	3.0152571428571426	-13.845170344856712	3.0152571428571426
strain_madness	gold	CoCoPyE	in_domain	700	11.561965504174545	23.565089334471704	11.547986284362715	23.565089334471704
strain_madness	gold	DeepCheck	in_domain	700	17.466134753657744	3.17913627573422	-17.466133951118916	3.1501687398127145
strain_madness	mixed	MAGICC_V5	in_domain	2250	4.217788726608258	4.441146184320198	2.700268280365734	-3.6539228857935435
strain_madness	mixed	CheckM2	in_domain	2250	7.1555775222682	5.918412188996866	-4.178436528967599	-5.246805094007322
strain_madness	mixed	CoCoPyE	in_domain	2250	7.78198703071348	16.753105732838364	7.427818117082429	16.496943527801168
strain_madness	mixed	DeepCheck	in_domain	2250	8.501316763895293	6.29397106783677	-6.544399422339182	-5.790376394776969
