tool	tool_label	metric	unit	n_clusters	spearman_rho_depth_vs_error	spearman_rho_ci_lo	spearman_rho_ci_hi	p_spearman_two_sided	monotone_nondecreasing_all_classes	monotone_nondecreasing_powered_classes	powered_classes	min_clusters_for_powered	ordered_class_means	seed	q_bh_spearman
magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	cluster-mean absolute error (pp)	2586	0.2965651020293311	0.2601168570643522	0.330975726690493	1.1627094059083042e-53	False	True	lineage_represented;species_novel;genus_novel	20	lineage_represented=2.850(k=1995);species_novel=5.786(k=469);genus_novel=10.359(k=93);family_novel=9.667(k=18);order_novel=10.494(k=10);class_novel=2.366(k=1)	20307020	9.301675247266434e-53
magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	cluster-mean absolute error (pp)	2586	0.2076798966875689	0.16800939109294152	0.24768477629062588	1.3682141181997812e-26	False	True	lineage_represented;species_novel;genus_novel	20	lineage_represented=3.231(k=1995);species_novel=5.640(k=469);genus_novel=8.345(k=93);family_novel=13.044(k=18);order_novel=8.061(k=10);class_novel=0.162(k=1)	20344476	3.648570981866083e-26
checkm2	CheckM2 1.0.1	completeness	cluster-mean absolute error (pp)	2586	0.08179424117873037	0.04421512957846293	0.12130543028670385	3.121334055786283e-05	False	True	lineage_represented;species_novel;genus_novel	20	lineage_represented=4.204(k=1995);species_novel=4.390(k=469);genus_novel=5.823(k=93);family_novel=5.824(k=18);order_novel=6.026(k=10);class_novel=3.071(k=1)	20341101	3.121334055786283e-05
checkm2	CheckM2 1.0.1	contamination	cluster-mean absolute error (pp)	2586	0.10327753530450146	0.06727311271710773	0.14195586170736596	1.4135001464277328e-07	False	True	lineage_represented;species_novel;genus_novel	20	lineage_represented=13.173(k=1995);species_novel=15.426(k=469);genus_novel=22.009(k=93);family_novel=25.236(k=18);order_novel=24.118(k=10);class_novel=0.070(k=1)	20277491	1.8846668619036437e-07
cocopye	CoCoPyE 0.5.0	completeness	cluster-mean absolute error (pp)	2586	0.23149993818642067	0.19365077985027235	0.2669102091459534	8.345439524183762e-33	False	True	lineage_represented;species_novel;genus_novel	20	lineage_represented=3.667(k=1995);species_novel=5.811(k=469);genus_novel=9.448(k=93);family_novel=11.869(k=18);order_novel=6.418(k=10);class_novel=10.871(k=1)	20290666	3.338175809673505e-32
cocopye	CoCoPyE 0.5.0	contamination	cluster-mean absolute error (pp)	2586	0.10838720510899727	0.06903211135141249	0.14570942800480594	3.287271965248418e-08	False	True	lineage_represented;species_novel;genus_novel	20	lineage_represented=13.914(k=1995);species_novel=16.866(k=469);genus_novel=20.969(k=93);family_novel=20.923(k=18);order_novel=19.075(k=10);class_novel=4.281(k=1)	20337007	5.2596351443974694e-08
deepcheck	DeepCheck	completeness	cluster-mean absolute error (pp)	2586	0.12136393957497942	0.08247491569137316	0.15814911444780133	5.955562679111307e-10	False	True	lineage_represented;species_novel;genus_novel	20	lineage_represented=7.498(k=1995);species_novel=8.860(k=469);genus_novel=11.716(k=93);family_novel=13.690(k=18);order_novel=10.441(k=10);class_novel=4.239(k=1)	20333416	1.1911125358222614e-09
deepcheck	DeepCheck	contamination	cluster-mean absolute error (pp)	2586	0.09154624329477512	0.05329169690359784	0.12854876207560953	3.1175482609004993e-06	False	True	lineage_represented;species_novel;genus_novel	20	lineage_represented=17.796(k=1995);species_novel=21.275(k=469);genus_novel=25.050(k=93);family_novel=28.104(k=18);order_novel=27.699(k=10);class_novel=0.068(k=1)	20339611	3.562912298171999e-06
