protocol	stratum	n	n_reference_clusters	comp_MAE_raw	comp_MAE_recal	comp_dMAE	comp_dMAE_ci95	comp_dMAE_p	comp_bias_raw	comp_bias_recal	comp_dbias	comp_dbias_ci95	cont_MAE_raw	cont_MAE_recal	cont_dMAE	cont_dMAE_ci95	cont_dMAE_p	cont_bias_raw	cont_bias_recal	cont_dbias	cont_dbias_ci95
CV-A reference-disjoint [gbm]	phylum:Thermoproteota	358	38	6.742	6.619	-0.123	[-0.511, 0.240]	0.5311	-1.029	0.034	1.063	[0.732, 1.428]	6.803	6.185	-0.617	[-1.166, -0.045]	0.0340	-4.093	-0.67	3.423	[3.116, 3.728]
CV-A reference-disjoint [gbm]	ANCHOR set_C_clean clean+HQ (WS3.10 -8.68/+5.09)	30	25	9.382	6.307	-3.074	[-5.190, -1.077]	0.0004	-8.677	-5.659	3.018	[1.000, 5.099]	5.954	6.235	0.281	[-0.111, 0.673]	0.1468	5.091	5.535	0.444	[0.059, 0.854]
CV-B phylum-disjoint [gbm]	ALL	4888	1592	4.544	4.565	0.021	[-0.065, 0.110]	0.6547	-0.805	-0.229	0.576	[0.490, 0.665]	5.253	4.954	-0.299	[-0.439, -0.154]	0.0008	-2.059	0.152	2.211	[2.062, 2.354]
CV-B phylum-disjoint [gbm]	normal (>=2 Mbp)	2990	1245	3.788	3.798	0.01	[-0.086, 0.102]	0.8158	-0.104	0.411	0.515	[0.427, 0.604]	3.798	3.664	-0.133	[-0.245, -0.021]	0.0180	-1.176	0.121	1.297	[1.140, 1.450]
CV-B phylum-disjoint [gbm]	reduced (<2 Mbp)	1898	347	5.734	5.773	0.039	[-0.137, 0.209]	0.6571	-1.909	-1.236	0.672	[0.499, 0.850]	7.546	6.986	-0.561	[-0.870, -0.243]	0.0008	-3.451	0.2	3.651	[3.443, 3.851]
CV-B phylum-disjoint [gbm]	ref <1 Mbp	789	95	6.405	6.342	-0.063	[-0.361, 0.222]	0.6751	-3.289	-2.694	0.595	[0.293, 0.907]	9.125	8.17	-0.954	[-1.568, -0.349]	0.0024	-4.945	-0.206	4.739	[4.482, 4.985]
CV-B phylum-disjoint [gbm]	ref 1-1.5 Mbp	535	101	6.322	6.356	0.034	[-0.257, 0.315]	0.8110	-1.572	-0.843	0.729	[0.409, 1.057]	7.123	7.055	-0.068	[-0.596, 0.469]	0.7978	-2.596	0.645	3.24	[2.847, 3.611]
CV-B phylum-disjoint [gbm]	ref 1.5-2 Mbp	574	151	4.265	4.447	0.183	[-0.108, 0.455]	0.2212	-0.325	0.402	0.727	[0.457, 1.003]	5.771	5.293	-0.478	[-0.820, -0.146]	0.0052	-2.194	0.343	2.537	[2.244, 2.802]
CV-B phylum-disjoint [gbm]	ref 2-3 Mbp	975	336	3.443	3.715	0.272	[0.145, 0.401]	0.0008	-0.018	0.158	0.176	[0.041, 0.310]	3.977	3.649	-0.329	[-0.531, -0.136]	0.0012	-2.067	-0.294	1.773	[1.512, 2.016]
CV-B phylum-disjoint [gbm]	ref 3-5 Mbp	1187	487	4.168	4.096	-0.072	[-0.214, 0.073]	0.3311	-0.193	0.377	0.57	[0.437, 0.705]	3.991	3.861	-0.13	[-0.325, 0.061]	0.1992	-1.122	0.43	1.551	[1.296, 1.811]
CV-B phylum-disjoint [gbm]	ref >5 Mbp	828	422	3.649	3.47	-0.179	[-0.398, 0.039]	0.1004	-0.079	0.758	0.837	[0.636, 1.033]	3.309	3.401	0.092	[-0.064, 0.259]	0.2639	-0.205	0.168	0.373	[0.196, 0.556]
CV-B phylum-disjoint [gbm]	set:set_A_v2	964	768	2.072	2.14	0.068	[-0.045, 0.167]	0.2052	0.136	0.158	0.022	[-0.082, 0.137]	0.723	0.714	-0.009	[-0.056, 0.038]	0.7235	0.723	0.714	-0.009	[-0.057, 0.038]
CV-B phylum-disjoint [gbm]	set:set_B_v2	963	770	2.766	2.222	-0.544	[-0.719, -0.382]	0.0004	-2.766	-2.222	0.544	[0.379, 0.715]	4.207	3.84	-0.367	[-0.505, -0.229]	0.0004	-0.337	0.226	0.563	[0.414, 0.719]
CV-B phylum-disjoint [gbm]	set:set_C_clean	1000	100	6.822	6.737	-0.085	[-0.329, 0.150]	0.4891	-2.32	-1.901	0.418	[0.160, 0.686]	9.08	8.658	-0.422	[-0.951, 0.119]	0.1296	-3.554	1.193	4.747	[4.522, 4.975]
CV-B phylum-disjoint [gbm]	set:set_D_clean	1000	100	5.633	5.97	0.337	[0.140, 0.532]	0.0024	-0.262	0.809	1.071	[0.907, 1.245]	6.523	5.969	-0.554	[-0.900, -0.215]	0.0016	-3.834	-0.236	3.598	[3.383, 3.825]
CV-B phylum-disjoint [gbm]	set:set_E	961	757	5.301	5.624	0.323	[0.132, 0.510]	0.0004	1.228	2.042	0.814	[0.622, 1.015]	5.543	5.414	-0.129	[-0.342, 0.086]	0.2515	-3.175	-1.168	2.008	[1.803, 2.205]
CV-B phylum-disjoint [gbm]	phylum:Actinomycetota	343	173	4.071	3.781	-0.29	[-0.585, 0.005]	0.0572	-1.057	-0.561	0.496	[0.199, 0.805]	3.793	3.53	-0.263	[-0.545, 0.016]	0.0692	-0.886	-0.019	0.867	[0.584, 1.178]
CV-B phylum-disjoint [gbm]	phylum:Bacillota	618	297	2.494	2.791	0.297	[0.150, 0.444]	0.0004	0.271	0.299	0.027	[-0.110, 0.171]	2.992	2.744	-0.248	[-0.417, -0.080]	0.0044	-1.43	-0.363	1.066	[0.896, 1.243]
CV-B phylum-disjoint [gbm]	phylum:Bacteroidota	179	82	4.663	3.566	-1.097	[-1.525, -0.710]	0.0004	-1.758	-0.818	0.94	[0.520, 1.404]	4.556	4.391	-0.165	[-0.479, 0.154]	0.3043	0.658	1.545	0.887	[0.539, 1.254]
CV-B phylum-disjoint [gbm]	phylum:Campylobacterota	160	77	2.13	2.462	0.332	[0.143, 0.520]	0.0016	-0.63	-0.964	-0.334	[-0.532, -0.137]	3.092	2.866	-0.226	[-0.555, 0.116]	0.1880	-1.166	0.286	1.452	[1.100, 1.823]
CV-B phylum-disjoint [gbm]	phylum:Cyanobacteriota	86	39	6.315	5.494	-0.821	[-1.339, -0.344]	0.0016	-1.826	-1.119	0.707	[0.244, 1.229]	4.518	5.233	0.714	[0.019, 1.470]	0.0452	0.411	1.823	1.412	[0.695, 2.195]
CV-B phylum-disjoint [gbm]	phylum:Halobacteriota	379	42	5.739	6.089	0.35	[-0.010, 0.688]	0.0576	-0.212	0.916	1.128	[0.870, 1.402]	6.536	6.177	-0.359	[-0.966, 0.229]	0.2308	-3.064	0.734	3.798	[3.406, 4.199]
CV-B phylum-disjoint [gbm]	phylum:Methanobacteriota	197	21	4.569	4.949	0.379	[-0.092, 0.782]	0.0964	-0.485	0.494	0.978	[0.585, 1.449]	6.35	5.559	-0.791	[-1.353, -0.234]	0.0056	-4.591	-1.697	2.895	[2.438, 3.333]
CV-B phylum-disjoint [gbm]	phylum:Patescibacteriota	1009	102	6.813	6.735	-0.077	[-0.326, 0.154]	0.5223	-2.33	-1.914	0.416	[0.165, 0.681]	9.069	8.652	-0.417	[-0.949, 0.129]	0.1228	-3.512	1.207	4.719	[4.484, 4.955]
CV-B phylum-disjoint [gbm]	phylum:Pseudomonadota	1188	605	3.315	3.358	0.043	[-0.121, 0.202]	0.5915	0.017	0.631	0.614	[0.458, 0.778]	3.282	3.145	-0.136	[-0.272, 0.002]	0.0520	-1.103	-0.473	0.63	[0.492, 0.771]
CV-B phylum-disjoint [gbm]	phylum:Spirochaetota	60	23	2.319	2.395	0.075	[-0.372, 0.656]	0.8382	-1.12	-1.018	0.101	[-0.252, 0.462]	2.722	2.581	-0.141	[-0.630, 0.389]	0.6027	-0.609	-0.186	0.422	[-0.123, 0.994]
CV-B phylum-disjoint [gbm]	phylum:Thermoplasmatota	78	10	3.483	4.331	0.848	[0.386, 1.250]	0.0008	-0.045	1.176	1.221	[0.817, 1.530]	5.097	4.477	-0.62	[-1.880, 0.350]	0.2619	-3.106	0.329	3.435	[2.688, 4.016]
CV-B phylum-disjoint [gbm]	phylum:Thermoproteota	358	38	6.742	6.565	-0.177	[-0.525, 0.148]	0.2983	-1.029	0.031	1.06	[0.761, 1.371]	6.803	6.152	-0.65	[-1.211, -0.112]	0.0184	-4.093	-0.842	3.251	[2.991, 3.501]
CV-B phylum-disjoint [gbm]	ANCHOR set_C_clean clean+HQ (WS3.10 -8.68/+5.09)	30	25	9.382	7.173	-2.209	[-3.771, -0.754]	0.0004	-8.677	-6.442	2.235	[0.838, 3.822]	5.954	6.559	0.605	[0.172, 1.054]	0.0072	5.091	6.166	1.075	[0.797, 1.348]
CV-C set-disjoint [gbm]	ALL	5000	1648	4.618	5.06	0.442	[0.334, 0.549]	0.0004	-0.867	0.164	1.031	[0.919, 1.141]	5.309	5.288	-0.021	[-0.165, 0.129]	0.7962	-1.963	0.482	2.445	[2.289, 2.599]
CV-C set-disjoint [gbm]	normal (>=2 Mbp)	3089	1294	3.901	4.609	0.708	[0.582, 0.839]	0.0004	-0.194	0.805	0.999	[0.876, 1.128]	3.901	4.113	0.212	[0.095, 0.321]	0.0008	-1.053	0.512	1.566	[1.415, 1.722]
CV-C set-disjoint [gbm]	reduced (<2 Mbp)	1911	354	5.777	5.789	0.012	[-0.171, 0.202]	0.8882	-1.955	-0.874	1.082	[0.888, 1.281]	7.584	7.188	-0.396	[-0.736, -0.056]	0.0240	-3.432	0.433	3.866	[3.628, 4.099]
CV-C set-disjoint [gbm]	ref <1 Mbp	789	95	6.405	6.171	-0.234	[-0.558, 0.080]	0.1472	-3.289	-2.258	1.031	[0.727, 1.344]	9.125	8.364	-0.761	[-1.436, -0.044]	0.0380	-4.945	0.31	5.255	[4.974, 5.544]
CV-C set-disjoint [gbm]	ref 1-1.5 Mbp	540	104	6.355	6.348	-0.006	[-0.328, 0.303]	0.9846	-1.604	-0.515	1.089	[0.731, 1.436]	7.137	7.309	0.172	[-0.344, 0.692]	0.5131	-2.615	0.558	3.173	[2.752, 3.584]
CV-C set-disjoint [gbm]	ref 1.5-2 Mbp	582	155	4.39	4.754	0.364	[0.032, 0.683]	0.0340	-0.473	0.67	1.143	[0.807, 1.474]	5.91	5.481	-0.429	[-0.776, -0.087]	0.0136	-2.139	0.485	2.624	[2.293, 2.909]
CV-C set-disjoint [gbm]	ref 2-3 Mbp	995	346	3.534	4.172	0.638	[0.477, 0.796]	0.0004	-0.118	0.251	0.369	[0.182, 0.549]	4.036	3.998	-0.037	[-0.246, 0.168]	0.7518	-2.02	0.081	2.101	[1.837, 2.348]
CV-C set-disjoint [gbm]	ref 3-5 Mbp	1234	511	4.281	4.833	0.552	[0.371, 0.726]	0.0004	-0.34	0.488	0.828	[0.663, 0.999]	4.025	4.251	0.226	[0.028, 0.423]	0.0272	-1.02	0.858	1.878	[1.635, 2.116]
CV-C set-disjoint [gbm]	ref >5 Mbp	860	437	3.779	4.793	1.014	[0.698, 1.344]	0.0004	-0.072	1.902	1.974	[1.662, 2.299]	3.567	4.046	0.479	[0.336, 0.618]	0.0004	0.017	0.517	0.5	[0.331, 0.664]
CV-C set-disjoint [gbm]	set:set_A_v2	1000	798	2.177	2.457	0.281	[0.154, 0.390]	0.0004	0.092	0.551	0.458	[0.338, 0.587]	0.829	1.279	0.45	[0.388, 0.515]	0.0004	0.829	1.279	0.45	[0.386, 0.514]
CV-C set-disjoint [gbm]	set:set_B_v2	1000	803	2.972	3.622	0.649	[0.482, 0.812]	0.0004	-2.972	-3.622	-0.649	[-0.809, -0.484]	4.453	4.422	-0.031	[-0.200, 0.131]	0.7087	-0.136	1.448	1.584	[1.421, 1.745]
CV-C set-disjoint [gbm]	set:set_C_clean	1000	100	6.822	6.592	-0.229	[-0.499, 0.015]	0.0668	-2.32	-1.484	0.835	[0.570, 1.122]	9.08	8.872	-0.208	[-0.785, 0.379]	0.5003	-3.554	1.636	5.189	[4.924, 5.456]
CV-C set-disjoint [gbm]	set:set_D_clean	1000	100	5.633	6.129	0.496	[0.253, 0.733]	0.0004	-0.262	1.295	1.557	[1.352, 1.760]	6.523	6.133	-0.39	[-0.730, -0.059]	0.0200	-3.834	-0.097	3.737	[3.505, 3.996]
CV-C set-disjoint [gbm]	set:set_E	1000	785	5.486	6.501	1.015	[0.697, 1.331]	0.0004	1.128	4.08	2.952	[2.674, 3.223]	5.658	5.734	0.076	[-0.123, 0.272]	0.4335	-3.118	-1.854	1.265	[1.056, 1.460]
CV-C set-disjoint [gbm]	phylum:Actinomycetota	343	173	4.071	4.823	0.752	[0.358, 1.156]	0.0008	-1.057	0.294	1.351	[0.914, 1.804]	3.793	4.161	0.368	[0.072, 0.653]	0.0184	-0.886	0.047	0.933	[0.613, 1.235]
CV-C set-disjoint [gbm]	phylum:Bacillota	618	297	2.494	3.457	0.963	[0.778, 1.163]	0.0004	0.271	0.456	0.185	[-0.017, 0.409]	2.992	2.949	-0.043	[-0.227, 0.144]	0.6215	-1.43	-0.044	1.386	[1.208, 1.564]
CV-C set-disjoint [gbm]	phylum:Bacteroidota	179	82	4.663	3.956	-0.707	[-1.436, -0.103]	0.0184	-1.758	-0.339	1.419	[0.797, 2.110]	4.556	4.616	0.061	[-0.256, 0.396]	0.7307	0.658	1.728	1.07	[0.743, 1.420]
CV-C set-disjoint [gbm]	phylum:Campylobacterota	160	77	2.13	2.756	0.626	[0.385, 0.874]	0.0004	-0.63	-0.915	-0.285	[-0.537, -0.019]	3.092	3.045	-0.047	[-0.384, 0.311]	0.7746	-1.166	0.352	1.517	[1.163, 1.906]
CV-C set-disjoint [gbm]	phylum:Cyanobacteriota	86	39	6.315	6.355	0.04	[-0.735, 0.827]	0.9286	-1.826	-0.05	1.775	[1.015, 2.565]	4.518	5.065	0.547	[-0.044, 1.136]	0.0644	0.411	1.287	0.876	[0.274, 1.521]
CV-C set-disjoint [gbm]	phylum:Halobacteriota	379	42	5.739	6.269	0.53	[0.145, 0.900]	0.0100	-0.212	1.086	1.298	[0.994, 1.613]	6.536	6.319	-0.216	[-0.837, 0.398]	0.5079	-3.064	0.892	3.956	[3.525, 4.393]
CV-C set-disjoint [gbm]	phylum:Methanobacteriota	197	21	4.569	5.179	0.61	[0.069, 1.088]	0.0268	-0.485	0.906	1.39	[0.954, 1.879]	6.35	5.758	-0.592	[-1.183, -0.015]	0.0448	-4.591	-1.394	3.197	[2.642, 3.754]
CV-C set-disjoint [gbm]	phylum:Patescibacteriota	1009	102	6.813	6.586	-0.226	[-0.487, 0.022]	0.0748	-2.33	-1.493	0.837	[0.576, 1.115]	9.069	8.871	-0.199	[-0.786, 0.404]	0.5123	-3.512	1.644	5.156	[4.885, 5.422]
CV-C set-disjoint [gbm]	phylum:Pseudomonadota	1188	605	3.315	4.284	0.969	[0.740, 1.192]	0.0004	0.017	1.185	1.168	[0.951, 1.396]	3.282	3.543	0.261	[0.127, 0.397]	0.0008	-1.103	-0.093	1.01	[0.867, 1.154]
CV-C set-disjoint [gbm]	phylum:Spirochaetota	60	23	2.319	2.996	0.677	[0.097, 1.356]	0.0220	-1.12	-1.206	-0.086	[-0.649, 0.512]	2.722	3.058	0.337	[-0.235, 0.952]	0.2368	-0.609	0.235	0.844	[0.414, 1.310]
CV-C set-disjoint [gbm]	phylum:Thermoplasmatota	78	10	3.483	4.323	0.84	[0.394, 1.251]	0.0028	-0.045	2.161	2.206	[1.833, 2.486]	5.097	4.727	-0.371	[-1.350, 0.382]	0.4443	-3.106	0.298	3.405	[2.685, 3.999]
CV-C set-disjoint [gbm]	phylum:Thermoproteota	358	38	6.742	6.772	0.03	[-0.412, 0.457]	0.8898	-1.029	0.64	1.669	[1.268, 2.070]	6.803	6.351	-0.452	[-0.998, 0.080]	0.1028	-4.093	-0.648	3.445	[3.132, 3.750]
CV-C set-disjoint [gbm]	ANCHOR set_C_clean clean+HQ (WS3.10 -8.68/+5.09)	30	25	9.382	7.196	-2.186	[-3.793, -0.738]	0.0004	-8.677	-6.501	2.176	[0.714, 3.767]	5.954	6.601	0.647	[0.154, 1.166]	0.0072	5.091	5.971	0.88	[0.453, 1.326]
