competitor	distance	arm	n_reference_pairs	mean_advantage_redundant	mean_advantage_arm	hl_diff_arm_minus_redundant	diff_ci_lo	diff_ci_hi	rank_biserial	p_wilcoxon_paired_by_reference	q_bh	verdict
cocopye	order	replaced	100	2.5231	4.4418	1.5228	0.4765	2.7226	0.3402	0.0031417119072237707	0.0038063048106749533	MAGICC advantage LARGER on this non-redundant arm
cocopye	order	single	100	2.5231	0.8795	-1.5029	-2.416	-0.5273	-0.364	0.001578663478814218	0.0020297101870468516	MAGICC advantage LARGER on redundant
cocopye	class	NON_REDUNDANT(replaced+single)	100	3.9193	3.6772	-0.2119	-1.1882	0.6494	-0.0618	0.5916968660875195	0.6318119078561649	uniform (no type specificity)
cocopye	class	replaced	100	3.9193	5.8874	1.6848	0.5166	2.999	0.3224	0.0051293465137661285	0.005984237599393817	MAGICC advantage LARGER on this non-redundant arm
cocopye	class	single	100	3.9193	1.4671	-2.318	-3.3311	-1.4934	-0.5034	1.2418346489695e-05	1.86275197345425e-05	MAGICC advantage LARGER on redundant
cocopye	phylum	NON_REDUNDANT(replaced+single)	100	5.0366	3.4629	-1.4962	-2.5235	-0.6555	-0.3505	0.002342965676631893	0.0029521367525561855	MAGICC advantage LARGER on redundant
cocopye	phylum	replaced	100	5.0366	5.5124	0.2788	-0.855	1.4816	0.0491	0.6698511676891292	0.7033437260735856	uniform (no type specificity)
cocopye	phylum	single	100	5.0366	1.4134	-3.3884	-4.4129	-2.4735	-0.7477	8.495358469771918e-11	2.1408303343825235e-10	MAGICC advantage LARGER on redundant
deepcheck	ALL	NON_REDUNDANT(replaced+single)	100	-2.0254	3.0482	4.6961	3.617	6.0398	0.8745	3.154399659417182e-14	1.8066107140298405e-13	MAGICC advantage LARGER on this non-redundant arm
deepcheck	ALL	replaced	100	-2.0254	3.2776	4.9421	3.8665	6.2056	0.8919	9.701591089505214e-15	6.791113762653649e-14	MAGICC advantage LARGER on this non-redundant arm
deepcheck	ALL	single	100	-2.0254	2.8187	4.394	3.377	5.7279	0.8459	2.0689769896103186e-13	9.310396453246433e-13	MAGICC advantage LARGER on this non-redundant arm
deepcheck	species	NON_REDUNDANT(replaced+single)	100	-6.2535	0.1011	5.9417	4.9801	6.9787	0.9564	1.0104199612316775e-16	3.4653789963881145e-15	MAGICC advantage LARGER on this non-redundant arm
deepcheck	species	replaced	100	-6.2535	-0.132	5.8243	4.9418	6.8824	0.9497	1.6501804744705308e-16	3.4653789963881145e-15	MAGICC advantage LARGER on this non-redundant arm
deepcheck	species	single	100	-6.2535	0.3342	6.0267	5.0283	7.1877	0.9533	1.273307953842098e-16	3.4653789963881145e-15	MAGICC advantage LARGER on this non-redundant arm
deepcheck	genus	NON_REDUNDANT(replaced+single)	100	-5.7116	0.6116	5.9475	4.6235	7.3852	0.9362	4.3571215496604904e-16	6.862466440715272e-15	MAGICC advantage LARGER on this non-redundant arm
deepcheck	genus	replaced	100	-5.7116	0.4791	5.9185	4.5055	7.2004	0.9259	9.071993454725491e-16	1.143071175295412e-14	MAGICC advantage LARGER on this non-redundant arm
deepcheck	genus	single	100	-5.7116	0.7441	6.0622	4.7133	7.406	0.9232	1.1037454355187327e-15	1.1589327072946693e-14	MAGICC advantage LARGER on this non-redundant arm
deepcheck	family	NON_REDUNDANT(replaced+single)	100	-3.4522	2.2168	5.3286	3.9806	7.1113	0.8471	1.9153290110443258e-13	9.281979053522502e-13	MAGICC advantage LARGER on this non-redundant arm
deepcheck	family	replaced	100	-3.4522	2.5992	5.8453	4.1698	7.4629	0.8539	1.2344747158137792e-13	6.48099225802234e-13	MAGICC advantage LARGER on this non-redundant arm
deepcheck	family	single	100	-3.4522	1.8344	4.9953	3.3442	6.4426	0.8166	1.342808921407084e-12	4.229848102432315e-12	MAGICC advantage LARGER on this non-redundant arm
deepcheck	order	NON_REDUNDANT(replaced+single)	100	-0.7457	4.2496	4.4595	3.2477	5.8118	0.817	1.309850946596449e-12	4.229848102432315e-12	MAGICC advantage LARGER on this non-redundant arm
deepcheck	order	replaced	100	-0.7457	4.7471	5.0247	3.5224	6.3291	0.8345	4.338759045761872e-13	1.607893058135282e-12	MAGICC advantage LARGER on this non-redundant arm
deepcheck	order	single	100	-0.7457	3.752	3.9292	2.7318	5.1839	0.7798	1.287275601175499e-11	3.526015777132889e-11	MAGICC advantage LARGER on this non-redundant arm
deepcheck	class	NON_REDUNDANT(replaced+single)	100	1.3861	5.5696	3.7231	2.3218	5.1436	0.699	1.289952484451443e-09	2.8023105696703762e-09	MAGICC advantage LARGER on this non-redundant arm
deepcheck	class	replaced	100	1.3861	6.097	4.1197	2.8794	5.7444	0.7378	1.4977997686776422e-10	3.6292840548727487e-10	MAGICC advantage LARGER on this non-redundant arm
deepcheck	class	single	100	1.3861	5.0423	3.1397	2.0267	4.3785	0.6356	3.418833474830966e-08	5.821256997685158e-08	MAGICC advantage LARGER on this non-redundant arm
deepcheck	phylum	NON_REDUNDANT(replaced+single)	100	2.6248	5.5403	2.8906	1.6839	4.5953	0.5889	3.174367354586667e-07	5.127824188178462e-07	MAGICC advantage LARGER on this non-redundant arm
deepcheck	phylum	replaced	100	2.6248	5.8756	3.2418	2.1355	4.6606	0.6558	1.2419461244164134e-08	2.370988055704062e-08	MAGICC advantage LARGER on this non-redundant arm
deepcheck	phylum	single	100	2.6248	5.205	2.5826	1.2302	4.059	0.4947	1.7511294892273265e-05	2.5656083214260826e-05	MAGICC advantage LARGER on this non-redundant arm
