stratum	level	tool_a	tool_b	n_pairs	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	mae_a	mae_b	bias_a	bias_b	q_bh	winner
cell	redundant|genus	magicc_v5	checkm2	100	5.1525	3.828	6.5222	0.5708	0.4622	0.6766	3.9197457473169017e-13	7.881	2.4671	-7.2619	1.3718	9.47271888934918e-13	checkm2
cell	redundant|genus	magicc_v5	cocopye	100	3.3505	2.2298	4.5354	0.3284	0.209	0.4492	3.1170728913876416e-07	7.881	4.4927	-7.2619	3.5751	5.423706831014496e-07	cocopye
cell	redundant|genus	magicc_v5	deepcheck	100	5.3711	4.093	6.8229	0.6202	0.524	0.7176	1.080934894775585e-14	7.881	2.1694	-7.2619	0.5798	3.242804684326755e-14	deepcheck
cell	redundant|family	magicc_v5	checkm2	100	2.3162	1.1995	3.3888	0.2296	0.104	0.3574	1.7511294892273265e-05	6.2675	3.8445	-5.649	3.3875	2.720504742192454e-05	checkm2
cell	redundant|family	magicc_v5	cocopye	100	0.4006	-0.8137	1.3452	0.004	-0.1238	0.1274	0.4618514981768562	6.2675	6.0427	-5.649	5.9854	0.5086212701441328	tie
cell	redundant|family	magicc_v5	deepcheck	100	3.2178	2.1103	4.3794	0.4346	0.3204	0.5454	8.032375048416746e-10	6.2675	2.8153	-5.649	2.2891	1.5191665852440365e-09	deepcheck
cell	redundant|order	magicc_v5	checkm2	100	-0.8487	-1.6095	-0.1607	-0.1792	-0.315	-0.0488	0.02497509022605292	4.1321	5.0696	-3.3102	4.7981	0.03195342425980301	magicc_v5
cell	redundant|order	magicc_v5	cocopye	100	-2.4004	-3.4984	-1.4182	-0.353	-0.476	-0.2376	2.388992454991287e-06	4.1321	6.6552	-3.3102	6.6169	3.996968145850807e-06	magicc_v5
cell	redundant|order	magicc_v5	deepcheck	100	0.5191	-0.1923	1.3845	0.0776	-0.0506	0.2116	0.16690827813258957	4.1321	3.3864	-3.3102	2.6616	0.19891808489774374	tie
cell	redundant|class	magicc_v5	checkm2	100	-2.473	-3.5035	-1.5725	-0.4244	-0.549	-0.2888	2.3254496223335132e-07	2.7932	5.5843	-1.8346	4.081	4.128859533530931e-07	magicc_v5
cell	redundant|class	magicc_v5	cocopye	100	-3.6257	-4.8016	-2.4994	-0.5508	-0.6624	-0.4384	5.753368264474777e-11	2.7932	6.7124	-1.8346	6.6475	1.1917691404983467e-10	magicc_v5
cell	redundant|class	magicc_v5	deepcheck	100	-0.8825	-1.488	-0.3054	-0.2224	-0.3672	-0.0722	0.004047452166708363	2.7932	4.1792	-1.8346	2.265	0.005502005289119182	magicc_v5
cell	redundant|phylum	magicc_v5	checkm2	100	-4.1203	-5.1812	-3.2094	-0.5316	-0.6346	-0.4274	2.1228354031947738e-13	2.7316	8.0085	-0.6026	6.6013	5.276762287941295e-13	magicc_v5
cell	redundant|phylum	magicc_v5	cocopye	100	-4.9612	-5.8322	-4.0487	-0.6462	-0.745	-0.548	2.843748309192805e-16	2.7316	7.7682	-0.6026	7.7271	1.1781242995227335e-15	magicc_v5
cell	redundant|phylum	magicc_v5	deepcheck	100	-1.3671	-2.3219	-0.5926	-0.244	-0.364	-0.1136	0.00023100689423620604	2.7316	5.3564	-0.6026	3.5788	0.0003406372847211852	magicc_v5
cell	replaced|species	magicc_v5	checkm2	100	0.1774	0.016	0.3587	0.0198	-0.0102	0.053	0.03109696724673547	8.9635	8.683	-8.9034	-8.6002	0.03920921957197081	checkm2
cell	replaced|species	magicc_v5	cocopye	100	0.2126	-0.1913	0.6268	-0.0094	-0.084	0.0626	0.5611886274899517	8.9635	8.643	-8.9034	-6.8994	0.6027581554521703	tie
cell	replaced|species	magicc_v5	deepcheck	100	0.0334	-0.1229	0.2122	0.0002	-0.0246	0.025	0.6773827047880141	8.9635	8.8315	-8.9034	-8.7814	0.7100276544163522	tie
cell	replaced|genus	magicc_v5	checkm2	100	0.0175	-0.176	0.2144	-0.0224	-0.0774	0.0256	0.8500082762349129	8.3174	8.601	-8.2568	-8.5368	0.8700084709698521	tie
cell	replaced|genus	magicc_v5	cocopye	100	-0.0549	-0.3799	0.3923	-0.0536	-0.1304	0.0182	0.8044753358016482	8.3174	8.5959	-8.2568	-6.9181	0.8332065977945643	tie
