set	tool	metric	n	n_clusters	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	bias	bias_ci_lo	bias_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_pearson_sq_ci_lo	r2_pearson_sq_ci_hi
POOLED_leakage_free_5_sets	magicc_v5	completeness	5000	1648	4.617909554275892	4.338081551006194	4.89195357916331	7.814488489280356	7.339595478696156	8.293860588291336	-0.8669096883584343	-1.2715353800780973	-0.44700529112408627	0.785268420102997	0.7583219125151082	0.8109477097328083	0.7894428968838552	0.7656693656445349	0.8130843524157568
POOLED_leakage_free_5_sets	magicc_v5	contamination	5000	1648	5.308570202842226	5.062282784118801	5.575498764831318	8.830245837665668	8.387291973173857	9.325382157931498	-1.9625995291228135	-2.3330965464745055	-1.5563066084252033	0.9149285732132786	0.9049521367325201	0.9232926810168537	0.9213301871676328	0.9115013118697246	0.9298896462300232
POOLED_leakage_free_5_sets	checkm2	completeness	5000	1648	5.803057473478257	5.601586717688657	6.014405463871044	9.74679663456105	9.413437016149969	10.086068979174415	2.528057042641566	2.2636830321183337	2.7968686326643852	0.6659445071646384	0.6433701469080144	0.6876363426591284	0.6929184872736133	0.674040401517891	0.7110208665027489
POOLED_leakage_free_5_sets	checkm2	contamination	5000	1648	22.14472900462183	21.617375353115584	22.68200775559889	32.01807480000995	31.418346805567694	32.63286990576653	-21.02968472038515	-21.608344725964383	-20.45712575815643	-0.11848086115522527	-0.15316721395620395	-0.08525213624457195	0.3642839834477489	0.34726207066067033	0.3821937766497003
POOLED_leakage_free_5_sets	cocopye	completeness	5000	1648	6.808784353809474	6.565048366298918	7.065742296573184	11.26026059063218	10.862411964544973	11.694243879231934	-2.6412714485121023	-2.9752915078418036	-2.3288966446665893	0.5541470028396178	0.5186966557917089	0.5858566048875077	0.6272062371923863	0.6057995692345559	0.6472367823036229
POOLED_leakage_free_5_sets	cocopye	contamination	5000	1648	15.986878102291428	15.511034743334024	16.46778683988256	24.74476065779341	24.141696913006907	25.386438807089572	-12.52145598680747	-13.105981879832653	-11.987138008783013	0.3319566544657715	0.3034025322584014	0.3589771636058679	0.508429810457746	0.4873654472957031	0.5296025108728659
POOLED_leakage_free_5_sets	deepcheck	completeness	5000	1648	9.830998329796966	9.522262499945901	10.17129217256155	14.06245719194417	13.671530734053658	14.47761675735887	0.7487216601342412	0.3426060151434892	1.1613606503959293	0.30462794337037513	0.260819683767825	0.3459117520068342	0.49889668693090855	0.47708991872392176	0.521024941087787
POOLED_leakage_free_5_sets	deepcheck	contamination	5000	1648	26.43310835772811	25.822807523601746	27.052463832483113	37.119997500463185	36.34147720844352	37.98601375479991	-23.736158835021335	-24.46562893008288	-23.046015461670283	-0.5033288913929055	-0.5617093713490076	-0.45437851607458396	0.2058558761340292	0.18882930117601054	0.2239056298759466
