accession	n_sets	n_samples
RS_GCF_011600855.2	2	3
RS_GCF_011694695.1	1	1
RS_GCF_012113595.1	2	3
RS_GCF_012149945.1	2	2
RS_GCF_012151035.1	3	3
RS_GCF_012220205.1	1	1
RS_GCF_012225445.1	3	3
RS_GCF_012272715.1	1	2
RS_GCF_012273215.1	2	4
RS_GCF_012273375.1	2	4
RS_GCF_012275165.1	3	4
RS_GCF_012317045.1	1	2
RS_GCF_012317585.1	1	1
RS_GCF_012563325.1	1	1
RS_GCF_012726095.1	1	10
RS_GCF_012889735.1	1	1
RS_GCF_012974125.1	2	2
RS_GCF_013003965.1	1	2
RS_GCF_013008635.1	1	1
RS_GCF_013127315.1	1	2
RS_GCF_013177455.1	2	2
RS_GCF_013177915.1	1	10
RS_GCF_013267195.1	1	10
RS_GCF_013318355.2	1	1
RS_GCF_013328835.1	1	3
RS_GCF_013340845.1	2	3
RS_GCF_013341055.1	1	1
RS_GCF_013341395.1	2	2
RS_GCF_013342985.1	2	4
RS_GCF_013343215.1	2	2
RS_GCF_013372185.1	3	5
RS_GCF_013374155.1	2	3
RS_GCF_013374175.1	1	1
RS_GCF_013374215.1	1	1
RS_GCF_013374315.1	2	2
RS_GCF_013375795.1	2	2
RS_GCF_013375895.1	2	3
RS_GCF_013376575.1	1	1
RS_GCF_013394675.1	3	3
RS_GCF_013415885.1	2	2
RS_GCF_013423865.1	2	3
RS_GCF_013425975.1	3	3
RS_GCF_013426135.1	1	1
RS_GCF_013752535.1	1	1
RS_GCF_013761165.1	1	10
RS_GCF_013786205.1	2	2
RS_GCF_013800985.1	2	2
RS_GCF_013820465.1	2	2
RS_GCF_013821695.1	2	2
RS_GCF_013890155.1	1	1
RS_GCF_014055005.1	1	2
RS_GCF_014078535.1	1	10
RS_GCF_014109745.1	2	2
RS_GCF_014109785.1	2	4
RS_GCF_014168815.1	2	3
RS_GCF_014169295.1	1	1
RS_GCF_014169755.1	2	2
RS_GCF_014171015.1	2	3
RS_GCF_014192695.1	1	1
RS_GCF_014217645.1	1	1
RS_GCF_014217995.1	1	2
RS_GCF_014218035.1	1	2
RS_GCF_014236815.1	1	1
RS_GCF_014236835.1	2	2
RS_GCF_014251695.1	2	2
RS_GCF_014269225.2	1	2
RS_GCF_014279535.1	2	2
RS_GCF_014279775.1	1	1
RS_GCF_014279875.1	2	2
RS_GCF_014279955.1	1	1
RS_GCF_014279995.1	1	1
RS_GCF_014302295.1	2	3
RS_GCF_014304755.1	1	1
RS_GCF_014304775.1	1	1
RS_GCF_014323565.1	1	1
RS_GCF_014338485.1	2	2
RS_GCF_014395425.1	2	3
RS_GCF_014495805.1	1	2
RS_GCF_014522205.1	2	3
RS_GCF_014621655.1	2	3
RS_GCF_014701115.1	2	2
RS_GCF_014770435.1	2	2
RS_GCF_014775655.1	1	1
RS_GCF_014826015.1	2	2
RS_GCF_014843175.1	2	3
RS_GCF_014843515.1	1	1
RS_GCF_014844035.1	2	3
RS_GCF_014844095.1	1	1
RS_GCF_014844395.1	1	1
RS_GCF_014844495.1	3	3
RS_GCF_014854675.1	1	1
RS_GCF_014858545.1	1	1
RS_GCF_014858895.1	1	2
RS_GCF_014884745.1	3	3
RS_GCF_014889545.1	1	10
RS_GCF_014899345.1	3	3
RS_GCF_014899825.1	3	3
RS_GCF_014900095.1	1	1
RS_GCF_014900295.1	2	3
RS_GCF_014900595.1	1	1
RS_GCF_014905015.1	2	2
RS_GCF_014905055.1	1	1
RS_GCF_014926385.1	3	3
RS_GCF_015074805.1	1	1
RS_GCF_015136315.1	2	2
RS_GCF_015140235.1	2	2
RS_GCF_015244315.1	1	1
RS_GCF_015245165.1	3	3
RS_GCF_015265495.1	1	1
RS_GCF_015277815.1	1	1
RS_GCF_015277975.1	3	3
RS_GCF_015475955.1	2	4
RS_GCF_015535055.1	1	1
RS_GCF_015571655.1	1	2
RS_GCF_015601545.1	1	1
RS_GCF_015678935.1	1	1
RS_GCF_015767915.1	1	1
RS_GCF_015840915.1	2	2
RS_GCF_016027035.1	1	2
RS_GCF_016105505.1	2	4
RS_GCF_016117655.1	2	6
RS_GCF_016127235.1	2	2
RS_GCF_016406445.1	2	3
RS_GCF_016452125.1	1	1
RS_GCF_016454265.1	1	1
RS_GCF_016454325.1	1	2
RS_GCF_016454585.1	2	2
RS_GCF_016455265.1	2	4
RS_GCF_016584425.1	3	3
RS_GCF_016618175.1	3	3
RS_GCF_016629465.1	2	5
RS_GCF_016629505.1	1	2
RS_GCF_016635065.1	1	10
RS_GCF_016697045.1	2	2
RS_GCF_016757595.1	2	3
RS_GCF_016766735.1	2	2
RS_GCF_016776265.1	3	4
RS_GCF_016776365.1	1	2
RS_GCF_016798345.1	2	3
RS_GCF_016802405.1	1	1
RS_GCF_016803555.1	1	1
RS_GCF_016803835.1	2	3
RS_GCF_016807785.1	1	1
RS_GCF_016889685.1	2	2
RS_GCF_016894165.1	1	1
RS_GCF_016904115.1	3	3
RS_GCF_016904275.1	1	1
RS_GCF_016904595.1	1	1
RS_GCF_016919485.1	2	3
RS_GCF_017086385.1	1	1
RS_GCF_017086505.1	1	1
RS_GCF_017161155.1	2	2
RS_GCF_017164855.1	1	1
RS_GCF_017165075.1	1	1
RS_GCF_017183815.1	2	2
RS_GCF_017280215.1	3	4
RS_GCF_017301855.1	1	1
RS_GCF_017347585.1	2	3
RS_GCF_017352095.1	3	12
RS_GCF_017357145.1	1	1
RS_GCF_017358165.1	1	2
RS_GCF_017409525.1	1	10
RS_GCF_017498485.1	2	2
RS_GCF_017504145.1	2	2
RS_GCF_017570425.1	1	3
RS_GCF_017570645.1	1	1
RS_GCF_017742995.1	1	1
RS_GCF_017743035.1	3	3
RS_GCF_017751165.1	2	3
RS_GCF_017753665.1	1	1
RS_GCF_017874455.1	1	10
RS_GCF_017948265.1	1	1
RS_GCF_018075245.1	2	2
RS_GCF_018118585.1	2	3
RS_GCF_018127785.1	1	1
RS_GCF_018128145.1	1	1
RS_GCF_018128345.1	1	1
RS_GCF_018128925.1	2	2
RS_GCF_018138125.1	1	1
RS_GCF_018223785.1	3	3
RS_GCF_018243215.1	3	7
RS_GCF_018292125.1	2	2
RS_GCF_018310575.1	2	3
RS_GCF_018336555.1	2	2
RS_GCF_018409365.1	2	2
RS_GCF_018438165.1	1	1
RS_GCF_018516925.1	2	2
RS_GCF_018688235.1	1	2
RS_GCF_018771565.1	1	1
RS_GCF_018798845.1	1	2
RS_GCF_018798905.1	1	1
RS_GCF_018808925.1	1	1
RS_GCF_018846995.1	1	1
RS_GCF_018847155.1	3	5
RS_GCF_018847335.1	1	1
RS_GCF_018847415.1	1	1
RS_GCF_018866305.1	3	4
RS_GCF_018885205.1	1	1
RS_GCF_018987365.1	1	1
RS_GCF_019047185.1	2	2
RS_GCF_019047925.1	3	6
RS_GCF_019056455.1	1	1
RS_GCF_019056515.1	1	1
RS_GCF_019056535.1	3	5
RS_GCF_019139835.1	2	4
RS_GCF_019175445.1	3	5
RS_GCF_019175505.1	1	2
RS_GCF_019222765.1	1	1
RS_GCF_019243695.1	1	1
RS_GCF_019252525.1	1	1
RS_GCF_019265005.1	2	2
RS_GCF_019278425.1	2	3
RS_GCF_019285675.1	2	2
RS_GCF_019286635.1	2	3
RS_GCF_019329805.1	1	1
RS_GCF_019458445.1	2	2
RS_GCF_019668465.1	1	1
RS_GCF_019693215.1	1	1
RS_GCF_019774595.1	1	1
RS_GCF_019802745.1	1	1
RS_GCF_019857565.1	1	2
RS_GCF_019904315.1	2	2
RS_GCF_019968725.1	1	1
RS_GCF_019968845.1	1	1
RS_GCF_019973615.1	1	2
RS_GCF_019974355.1	3	3
RS_GCF_019976755.1	2	2
RS_GCF_020091465.1	1	1
RS_GCF_020096995.1	3	3
RS_GCF_020097095.1	1	1
RS_GCF_020097215.1	2	2
RS_GCF_020097755.1	2	2
RS_GCF_020149995.1	1	1
RS_GCF_020309925.1	1	1
RS_GCF_020309985.1	1	1
RS_GCF_020388215.1	2	3
RS_GCF_020388235.1	2	3
RS_GCF_020388845.1	1	1
RS_GCF_020546685.1	1	1
RS_GCF_020616155.1	2	2
RS_GCF_020618415.1	2	2
RS_GCF_020628735.1	1	1
RS_GCF_020736185.1	3	3
RS_GCF_020736405.1	1	2
RS_GCF_020790155.1	1	2
RS_GCF_020843905.1	2	2
RS_GCF_020906075.1	2	2
RS_GCF_020906585.1	1	1
RS_GCF_020911805.1	1	1
RS_GCF_020978285.1	1	1
RS_GCF_020990405.1	1	1
RS_GCF_020990505.1	1	1
RS_GCF_020995405.1	2	2
RS_GCF_021029445.1	2	2
RS_GCF_021117095.1	2	2
RS_GCF_021137955.1	1	2
RS_GCF_021165815.1	1	1
RS_GCF_021166075.1	1	1
RS_GCF_021166135.1	1	2
RS_GCF_021166435.1	1	1
RS_GCF_021228795.1	3	3
RS_GCF_021379005.1	2	3
RS_GCF_021389955.1	1	2
RS_GCF_021398465.1	3	5
RS_GCF_021398615.1	2	2
RS_GCF_021399135.1	2	2
RS_GCF_021432125.1	1	2
RS_GCF_021441925.1	1	1
RS_GCF_021496075.1	1	1
RS_GCF_021496425.1	1	2
RS_GCF_021497545.1	2	2
RS_GCF_021654975.1	2	2
RS_GCF_021655515.1	2	3
RS_GCF_021729945.1	2	2
RS_GCF_021800405.1	2	3
RS_GCF_022024095.1	1	2
RS_GCF_022024155.1	1	1
RS_GCF_022029835.1	2	3
RS_GCF_022068525.1	2	2
RS_GCF_022117515.1	1	1
RS_GCF_022226975.1	1	1
RS_GCF_022376295.1	1	3
RS_GCF_022385175.1	2	4
RS_GCF_022404675.1	1	1
RS_GCF_022405555.1	1	1
RS_GCF_022407135.1	3	3
RS_GCF_022427045.1	1	10
RS_GCF_022430525.1	2	2
RS_GCF_022430545.2	2	2
RS_GCF_022453725.1	1	2
RS_GCF_022468295.1	2	3
RS_GCF_022493175.1	2	2
RS_GCF_022493655.1	2	3
RS_GCF_022569795.1	1	1
RS_GCF_022637495.1	1	3
RS_GCF_022695635.1	2	2
RS_GCF_022702425.1	2	2
RS_GCF_022759785.1	1	1
RS_GCF_022811005.1	2	2
RS_GCF_022811865.1	3	3
RS_GCF_022846375.1	1	1
RS_GCF_022869865.1	1	1
RS_GCF_022869945.1	1	2
RS_GCF_022870185.1	3	4
RS_GCF_022870925.1	3	4
RS_GCF_022918835.1	1	1
RS_GCF_022919455.1	3	4
RS_GCF_022923915.1	2	3
RS_GCF_022925255.1	1	1
RS_GCF_022925295.1	2	2
RS_GCF_022925835.1	2	3
RS_GCF_023066275.1	1	1
RS_GCF_023158855.1	2	2
RS_GCF_023169625.1	1	1
RS_GCF_023273895.1	2	2
RS_GCF_023277385.1	1	1
RS_GCF_023330725.1	1	1
RS_GCF_023330865.1	2	2
RS_GCF_023347255.1	2	3
RS_GCF_023361275.1	1	1
RS_GCF_023361855.1	2	3
RS_GCF_023383465.1	1	1
RS_GCF_023497585.1	2	2
RS_GCF_023509015.1	2	2
RS_GCF_023516155.1	1	1
RS_GCF_023517235.1	3	4
RS_GCF_023573285.1	1	1
RS_GCF_023587725.1	1	1
RS_GCF_023612755.1	1	1
RS_GCF_023650835.1	1	1
RS_GCF_023657935.1	2	3
RS_GCF_023703775.1	1	1
RS_GCF_023735495.1	2	2
RS_GCF_023756145.1	1	3
RS_GCF_023822205.1	3	4
RS_GCF_023896075.1	1	1
RS_GCF_023921525.1	2	2
RS_GCF_024137905.1	3	5
RS_GCF_024138915.1	2	2
RS_GCF_024170265.1	1	10
RS_GCF_024181125.1	3	5
RS_GCF_024204965.1	2	2
RS_GCF_024205445.1	2	2
RS_GCF_024205865.1	1	1
RS_GCF_024298785.1	2	4
RS_GCF_024330025.2	1	1
RS_GCF_024347495.1	1	1
RS_GCF_024362345.1	2	2
RS_GCF_024363365.1	2	4
RS_GCF_024442175.1	3	3
RS_GCF_024496285.1	2	2
RS_GCF_024498335.1	2	11
RS_GCF_024498615.1	1	1
RS_GCF_024584435.1	1	1
RS_GCF_024584515.1	1	2
RS_GCF_024585005.1	1	1
RS_GCF_024585025.1	1	1
RS_GCF_024585365.1	1	2
RS_GCF_024585865.1	1	1
RS_GCF_024606005.1	2	2
RS_GCF_024628865.1	1	1
RS_GCF_024663255.1	2	4
RS_GCF_024665675.1	1	1
RS_GCF_024722315.1	2	4
RS_GCF_024723375.2	1	2
RS_GCF_024734295.1	2	4
RS_GCF_024749145.1	2	2
RS_GCF_024758165.1	1	1
RS_GCF_024759765.1	2	2
RS_GCF_024760065.1	2	3
RS_GCF_024800105.1	1	1
RS_GCF_024800585.1	2	4
RS_GCF_024917315.1	2	3
RS_GCF_024918055.1	1	2
RS_GCF_024930265.1	1	1
RS_GCF_024971975.1	1	2
RS_GCF_024972775.1	1	1
RS_GCF_025142715.1	2	2
RS_GCF_025142835.1	2	2
RS_GCF_025144995.1	1	1
RS_GCF_025147085.1	3	3
RS_GCF_025148285.1	1	1
RS_GCF_025232515.1	1	1
RS_GCF_025369795.1	1	1
RS_GCF_025398035.1	1	1
RS_GCF_025398135.1	1	1
RS_GCF_025490575.1	1	1
RS_GCF_025558055.1	1	3
RS_GCF_025559945.1	2	2
RS_GCF_025560205.1	1	1
RS_GCF_025561465.1	2	3
RS_GCF_025665255.1	1	2
RS_GCF_025665355.1	2	2
RS_GCF_025758145.1	1	1
RS_GCF_025758285.1	1	1
RS_GCF_025837095.1	2	3
RS_GCF_025905525.1	2	3
RS_GCF_025914055.1	1	1
RS_GCF_025914135.1	1	2
RS_GCF_025916255.1	2	2
RS_GCF_025958885.1	1	2
RS_GCF_026016765.1	3	3
RS_GCF_026153095.1	3	6
RS_GCF_026153295.1	1	2
RS_GCF_026210475.1	2	3
RS_GCF_026240835.1	1	1
RS_GCF_026625765.1	2	3
RS_GCF_026651325.1	3	3
RS_GCF_026683915.1	1	1
RS_GCF_026723845.1	2	2
RS_GCF_026743145.1	1	1
RS_GCF_026810225.1	1	1
RS_GCF_026965535.1	2	2
RS_GCF_026967595.1	2	4
RS_GCF_027116575.1	2	2
RS_GCF_027118995.1	1	1
RS_GCF_027186305.1	2	4
RS_GCF_027239755.1	2	2
RS_GCF_027474965.1	2	2
RS_GCF_027558275.1	1	1
RS_GCF_027570475.1	1	1
RS_GCF_027570615.1	1	1
RS_GCF_027594765.1	3	3
RS_GCF_027626975.1	2	2
RS_GCF_027920345.1	1	2
RS_GCF_027941935.1	2	4
RS_GCF_027943965.1	2	2
RS_GCF_027945195.1	2	2
RS_GCF_027945845.1	1	1
RS_GCF_028211275.1	1	10
RS_GCF_028221515.1	2	2
RS_GCF_028335185.1	2	2
RS_GCF_028335705.1	2	2
RS_GCF_028471865.1	2	11
RS_GCF_028472845.1	3	5
RS_GCF_028473645.1	1	1
RS_GCF_028532485.1	3	6
RS_GCF_028553745.1	2	2
RS_GCF_028583545.1	1	1
RS_GCF_028623165.1	2	2
RS_GCF_028634015.1	1	1
RS_GCF_028743715.1	1	1
RS_GCF_028748185.1	1	1
RS_GCF_028750275.1	1	1
RS_GCF_028750915.1	1	4
RS_GCF_028891545.1	1	3
RS_GCF_028994155.1	2	2
RS_GCF_029011455.1	2	2
RS_GCF_029012245.1	1	10
RS_GCF_029028125.1	2	4
RS_GCF_029201365.1	2	2
RS_GCF_029223725.1	2	3
RS_GCF_029226365.1	1	1
RS_GCF_029277625.1	2	2
RS_GCF_029338415.1	1	1
RS_GCF_029339095.1	2	2
RS_GCF_029371965.1	2	3
RS_GCF_029371985.1	1	3
RS_GCF_029537135.1	1	1
RS_GCF_029633965.1	2	12
RS_GCF_029634765.1	1	1
RS_GCF_029713965.1	2	4
RS_GCF_029767905.1	1	1
RS_GCF_029774195.1	1	1
RS_GCF_029854335.1	2	2
RS_GCF_029855505.1	3	3
RS_GCF_029867245.1	1	1
RS_GCF_029873335.1	1	1
RS_GCF_029909715.1	1	1
RS_GCF_029910115.1	2	2
RS_GCF_029910515.1	1	2
RS_GCF_029925445.1	1	1
RS_GCF_029958565.3	2	3
RS_GCF_029962225.1	1	2
RS_GCF_029987435.1	3	5
RS_GCF_029990455.1	2	2
RS_GCF_030017545.1	1	10
RS_GCF_030028005.1	1	2
RS_GCF_030037445.1	1	1
RS_GCF_030053875.1	2	2
RS_GCF_030055635.1	1	10
RS_GCF_030060635.1	3	3
RS_GCF_030062395.1	2	3
RS_GCF_030062915.1	1	1
RS_GCF_030064615.2	1	1
RS_GCF_030127065.1	2	3
RS_GCF_030144585.1	3	3
RS_GCF_030162075.2	1	1
RS_GCF_030166515.1	1	1
RS_GCF_030168165.1	2	2
RS_GCF_030169005.1	1	1
RS_GCF_030177875.1	2	3
RS_GCF_030246865.1	2	2
RS_GCF_030285645.1	2	3
RS_GCF_030295805.1	2	4
RS_GCF_030297495.1	1	2
RS_GCF_030316195.1	3	3
RS_GCF_030323145.1	1	2
RS_GCF_030323385.1	1	1
RS_GCF_030323665.1	3	4
RS_GCF_030323745.1	2	6
RS_GCF_030323845.1	2	3
RS_GCF_030370155.1	2	3
RS_GCF_030378165.1	2	2
RS_GCF_030388345.1	2	2
RS_GCF_030388365.1	2	2
RS_GCF_030408595.1	1	1
RS_GCF_030435915.1	1	2
RS_GCF_030436115.1	1	1
RS_GCF_030480505.1	2	2
RS_GCF_030490165.1	3	3
RS_GCF_030490205.1	2	3
RS_GCF_030515755.1	3	3
RS_GCF_030517775.1	1	1
RS_GCF_030533745.1	3	6
RS_GCF_030534135.1	1	1
RS_GCF_030574935.1	1	1
RS_GCF_030585205.1	2	2
RS_GCF_030717765.1	1	1
RS_GCF_030718995.1	2	3
RS_GCF_030721705.1	2	2
RS_GCF_030730745.2	3	4
RS_GCF_030734165.1	3	3
RS_GCF_030845215.1	1	1
RS_GCF_030908425.1	3	5
RS_GCF_031203395.1	1	1
RS_GCF_031221745.1	1	1
RS_GCF_031326265.1	1	1
RS_GCF_031326285.1	1	1
RS_GCF_031582925.1	3	3
RS_GCF_031583475.1	1	1
RS_GCF_031599035.1	2	2
RS_GCF_031623015.1	1	1
RS_GCF_031757735.1	2	4
RS_GCF_031767055.1	2	3
RS_GCF_031882575.1	2	2
RS_GCF_032202365.1	2	4
RS_GCF_032346775.2	1	1
RS_GCF_032450655.1	2	2
RS_GCF_032452555.1	1	1
RS_GCF_032701645.1	2	2
RS_GCF_032921125.1	2	2
RS_GCF_032921865.1	3	3
RS_GCF_032929295.1	2	2
RS_GCF_033096325.1	1	2
RS_GCF_033097225.1	1	2
RS_GCF_033128585.1	1	1
RS_GCF_033130065.1	2	2
RS_GCF_033142835.1	2	3
RS_GCF_033191195.1	2	2
RS_GCF_033304595.1	1	1
RS_GCF_033344055.1	1	1
RS_GCF_033392255.1	2	3
RS_GCF_033441455.1	2	2
RS_GCF_033675065.1	3	4
RS_GCF_033783015.1	2	2
RS_GCF_033802585.1	2	2
RS_GCF_033802665.1	2	2
RS_GCF_033807455.1	1	1
RS_GCF_034017875.1	2	2
RS_GCF_034030455.1	1	1
RS_GCF_034043215.1	3	5
RS_GCF_034043455.1	1	1
RS_GCF_034093315.1	3	4
RS_GCF_034258555.1	1	1
RS_GCF_034353045.1	1	1
RS_GCF_034371605.1	1	1
RS_GCF_034554595.1	1	1
RS_GCF_034642355.1	3	4
RS_GCF_035190385.1	2	2
RS_GCF_035321765.1	2	2
RS_GCF_035621175.1	1	1
RS_GCF_035621415.1	2	2
RS_GCF_035621735.1	2	3
RS_GCF_035666175.1	2	3
RS_GCF_035917375.1	1	2
RS_GCF_035920425.1	2	2
RS_GCF_035928085.1	3	5
RS_GCF_035972075.1	1	2
RS_GCF_036010345.1	1	1
RS_GCF_036013545.1	1	1
RS_GCF_036013915.1	1	1
RS_GCF_036014155.1	1	1
RS_GCF_036014235.1	2	3
RS_GCF_036035005.1	2	3
RS_GCF_036086475.1	1	1
RS_GCF_036106915.1	1	2
RS_GCF_036163995.1	1	1
RS_GCF_036173085.1	1	1
RS_GCF_036178565.1	2	3
RS_GCF_036195325.1	2	2
RS_GCF_036226545.1	1	1
RS_GCF_036227005.1	2	2
RS_GCF_036227265.1	2	2
RS_GCF_036232405.1	2	2
RS_GCF_036236015.1	1	1
RS_GCF_036236995.1	1	1
RS_GCF_036322645.1	2	2
RS_GCF_036322935.1	2	2
RS_GCF_036324545.1	1	1
RS_GCF_036327415.1	2	2
RS_GCF_036346895.1	1	2
RS_GCF_036346935.1	1	2
RS_GCF_036418185.1	1	1
RS_GCF_036419755.1	1	1
RS_GCF_036429475.1	3	12
RS_GCF_036497485.1	1	1
RS_GCF_036630095.1	2	2
RS_GCF_036670055.1	3	4
RS_GCF_036704625.1	1	1
RS_GCF_036772935.1	1	1
RS_GCF_036820215.1	2	3
RS_GCF_036865205.1	1	1
RS_GCF_036866155.1	2	2
RS_GCF_037043765.2	1	1
RS_GCF_037099745.1	1	1
RS_GCF_037099855.1	2	4
RS_GCF_037100415.1	2	2
RS_GCF_037113475.1	1	1
RS_GCF_037222485.1	1	1
RS_GCF_037242635.1	2	2
RS_GCF_037270985.1	1	1
RS_GCF_037477845.1	1	1
RS_GCF_037494685.1	2	2
RS_GCF_037541525.1	1	1
RS_GCF_037555585.1	1	1
RS_GCF_037590645.1	3	4
RS_GCF_037623895.1	2	3
RS_GCF_037651215.1	2	3
RS_GCF_037692175.1	3	3
RS_GCF_037694895.1	1	1
RS_GCF_037782195.1	1	1
RS_GCF_037797495.1	1	2
RS_GCF_037888985.1	1	2
RS_GCF_037889195.1	2	2
RS_GCF_037893165.1	2	3
RS_GCF_037893335.1	3	3
RS_GCF_037893695.1	2	3
RS_GCF_037897535.1	1	1
RS_GCF_037904615.1	3	3
RS_GCF_037911025.1	2	2
RS_GCF_037911885.1	1	1
RS_GCF_037911915.1	2	3
RS_GCF_037914905.1	1	2
RS_GCF_037917855.1	1	1
RS_GCF_037929465.1	1	1
RS_GCF_037938425.1	2	2
RS_GCF_037951045.1	3	4
RS_GCF_037955985.1	1	2
RS_GCF_037963895.1	2	2
RS_GCF_037969915.1	2	2
RS_GCF_037975365.1	2	2
RS_GCF_038024175.1	2	3
RS_GCF_038049065.1	1	2
RS_GCF_038069355.1	1	1
RS_GCF_038086915.1	1	1
RS_GCF_038096205.1	1	1
RS_GCF_038129635.1	1	1
RS_GCF_038150945.1	1	2
RS_GCF_038366275.1	1	1
RS_GCF_038368285.1	1	2
RS_GCF_038396715.1	1	1
RS_GCF_038442385.1	1	1
RS_GCF_038443385.1	1	1
RS_GCF_038562025.1	2	3
RS_GCF_038593175.1	2	3
RS_GCF_038788575.1	1	1
RS_GCF_039555275.1	2	2
RS_GCF_039621855.1	1	2
RS_GCF_039634365.2	2	2
RS_GCF_039641995.1	2	11
RS_GCF_039719025.1	1	1
RS_GCF_039729015.1	1	1
RS_GCF_039784265.1	1	1
RS_GCF_039862785.1	1	1
RS_GCF_039912305.1	1	1
RS_GCF_040114435.1	1	1
RS_GCF_040194315.2	1	1
RS_GCF_040223965.2	2	3
RS_GCF_040267745.1	2	3
RS_GCF_040271445.1	2	3
RS_GCF_040358985.1	2	2
RS_GCF_040361795.1	1	1
RS_GCF_040369795.1	1	1
RS_GCF_040370075.1	1	1
RS_GCF_040404775.1	2	4
RS_GCF_040409895.1	3	5
RS_GCF_040436415.1	2	2
RS_GCF_040436705.1	2	3
RS_GCF_040543505.1	1	1
RS_GCF_040581375.1	1	1
RS_GCF_040581435.1	3	3
RS_GCF_040616535.1	2	2
RS_GCF_040711995.2	1	1
RS_GCF_040712065.1	1	2
RS_GCF_040735115.1	2	2
RS_GCF_040735165.1	1	1
RS_GCF_040735515.1	1	1
RS_GCF_040743285.1	1	10
RS_GCF_040746155.1	2	4
RS_GCF_040746335.1	2	3
RS_GCF_040760075.1	3	3
RS_GCF_040790655.1	1	1
RS_GCF_040790845.2	2	2
RS_GCF_040790885.1	3	3
RS_GCF_040822125.1	1	1
RS_GCF_040931885.1	3	3
RS_GCF_040931905.1	3	4
RS_GCF_040931975.1	1	1
RS_GCF_041003495.1	2	3
RS_GCF_041080695.1	2	3
RS_GCF_041080815.1	2	2
RS_GCF_041080845.2	3	4
RS_GCF_041154675.1	2	11
RS_GCF_041221385.1	2	2
RS_GCF_041222695.1	2	2
RS_GCF_041222745.1	1	1
RS_GCF_041297935.1	1	1
RS_GCF_041320575.1	1	2
RS_GCF_041320635.1	2	2
RS_GCF_041320665.1	2	3
RS_GCF_041411215.1	2	2
RS_GCF_041432505.1	1	1
RS_GCF_041435495.1	2	2
RS_GCF_041438725.1	1	1
RS_GCF_041514365.1	1	1
RS_GCF_041647945.1	1	10
RS_GCF_041695455.1	2	2
RS_GCF_041734105.1	1	1
RS_GCF_041764985.1	3	5
RS_GCF_041765085.1	2	3
RS_GCF_041860165.1	1	1
RS_GCF_041860435.1	2	4
RS_GCF_041861015.1	1	1
RS_GCF_041861315.1	1	2
RS_GCF_900002505.1	3	3
RS_GCF_900086925.1	2	3
RS_GCF_900090055.1	4	13
RS_GCF_900091495.1	2	2
RS_GCF_900094135.1	1	1
RS_GCF_900096785.1	2	3
RS_GCF_900096795.1	2	2
RS_GCF_900102305.1	1	10
RS_GCF_900104765.1	2	3
RS_GCF_900104925.1	3	4
RS_GCF_900104945.1	2	3
RS_GCF_900105065.1	1	2
RS_GCF_900105485.1	2	2
RS_GCF_900105785.1	1	2
RS_GCF_900113245.1	1	10
RS_GCF_900114585.1	1	10
RS_GCF_900120275.1	1	1
RS_GCF_900128595.1	1	1
RS_GCF_900142435.1	2	2
RS_GCF_900142975.1	1	1
RS_GCF_900149535.2	2	2
RS_GCF_900174485.1	2	2
RS_GCF_900177405.1	1	1
RS_GCF_900187345.1	1	1
RS_GCF_900198195.1	1	1
RS_GCF_900217235.1	1	3
RS_GCF_900249855.1	1	2
RS_GCF_900324335.1	2	3
RS_GCF_900327245.1	1	1
RS_GCF_900416705.2	1	1
RS_GCF_900474605.1	2	3
RS_GCF_900489665.1	3	3
RS_GCF_900489825.1	1	1
RS_GCF_900497475.1	1	1
RS_GCF_900564155.1	3	4
RS_GCF_900631605.1	2	2
RS_GCF_900631615.1	2	3
RS_GCF_900635745.1	2	3
RS_GCF_900635815.1	1	2
RS_GCF_900636625.1	3	3
RS_GCF_900636705.1	2	2
RS_GCF_900636925.1	2	2
RS_GCF_900638255.1	1	1
RS_GCF_900639355.1	1	2
RS_GCF_900683625.1	1	3
RS_GCF_900699035.1	1	1
RS_GCF_901472495.1	1	1
RS_GCF_901544215.1	1	2
RS_GCF_902164635.1	1	1
RS_GCF_902166465.1	2	2
RS_GCF_902166715.1	1	1
RS_GCF_902381645.1	1	1
RS_GCF_902386715.1	1	1
RS_GCF_902387285.1	1	1
RS_GCF_902496735.1	1	10
RS_GCF_902810365.1	1	1
RS_GCF_903064525.1	1	1
RS_GCF_903891135.1	3	4
RS_GCF_903989465.1	1	1
RS_GCF_904830965.1	1	1
RS_GCF_904848675.1	3	3
RS_GCF_904866475.1	1	1
RS_GCF_905335825.2	1	1
RS_GCF_907163195.1	1	1
RS_GCF_910664815.1	1	3
RS_GCF_916098155.1	2	2
RS_GCF_918419245.1	2	3
RS_GCF_932527465.1	1	1
RS_GCF_939576165.1	1	1
RS_GCF_945873965.1	1	10
RS_GCF_946151045.1	1	1
RS_GCF_946404965.1	1	1
RS_GCF_947250595.1	2	2
RS_GCF_947250645.1	2	2
RS_GCF_949152215.1	2	4
RS_GCF_949769285.1	1	1
RS_GCF_949786325.1	1	1
RS_GCF_949793775.1	2	2
RS_GCF_963556565.1	3	4
RS_GCF_963664505.1	1	1
RS_GCF_963675585.1	2	2
RS_GCF_963678535.1	1	1
RS_GCF_963692685.1	1	1
RS_GCF_963853645.1	2	2
RS_GCF_963920465.1	2	3
RS_GCF_963920475.1	3	3
RS_GCF_963931005.1	1	1
