set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	mimag_class	support_true	support_true_frac	n_predicted	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	f1	f1_ci_lo	f1_ci_hi	macro_f1	macro_f1_ci_lo	macro_f1_ci_hi	accuracy	balanced_accuracy	cohen_kappa	class_balance_true
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	803	True	medium	2	0.002	9	0.2222222222222222	0.0	0.5555555555555556	1.0	0.0	1.0	0.3636363636363636	0.0	0.7142857142857143	0.7782894612162905	0.6544876115339425	0.8968269266672735	0.989	0.9829156223893064	0.9659214830970556	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	803	True	high	200	0.2	257	0.7782101167315175	0.7297297297297297	0.8269266917293232	1.0	1.0	1.0	0.8752735229759301	0.8437499999999999	0.9052653238033356	0.5983669477860973	0.5801115296969159	0.6186411260014377	0.852	0.7719298245614036	0.6549457005768002	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	803	True	low	798	0.798	651	1.0	1.0	1.0	0.8157894736842105	0.7890615472560976	0.8435603322975743	0.898550724637681	0.8820954745299053	0.9151426369088028	0.5983669477860973	0.5801115296969159	0.6186411260014377	0.852	0.7719298245614036	0.6549457005768002	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	803	True	medium	2	0.002	92	0.0108695652173913	0.0	0.0348837209302325	0.5	0.0	1.0	0.0212765957446808	0.0	0.0666666666666666	0.5983669477860973	0.5801115296969159	0.6186411260014377	0.852	0.7719298245614036	0.6549457005768002	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	803	True	high	200	0.2	198	0.9949494949494948	0.983331005586592	1.0	0.985	0.9658536585365852	1.0	0.9899497487437188	0.978412040343512	0.9976798143851509	0.7348654044633944	0.6590102538803926	0.8211090324589406	0.985	0.9899874686716792	0.9549738848532148	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	803	True	low	798	0.798	786	1.0	1.0	1.0	0.9849624060150376	0.9763077462593516	0.9926742160278744	0.9924242424242424	0.9880118600813684	0.9963236419108648	0.7348654044633944	0.6590102538803926	0.8211090324589406	0.985	0.9899874686716792	0.9549738848532148	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	803	True	medium	2	0.002	16	0.125	0.0	0.3125	1.0	0.0	1.0	0.2222222222222222	0.0	0.4761904761904761	0.7348654044633944	0.6590102538803926	0.8211090324589406	0.985	0.9899874686716792	0.9549738848532148	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	1000	803	True	high	200	0.2	328	0.6067073170731707	0.5555555555555556	0.658703298923625	0.995	0.9832354890635356	1.0	0.7537878787878788	0.7125463659147869	0.7934230386384484	0.4990316551340173	0.4804185525681625	0.51745051977773	0.671	0.5288262322472849	0.4097002928173623	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	1000	803	True	low	798	0.798	472	1.0	1.0	1.0	0.5914786967418546	0.5578114309451666	0.6248500922509225	0.7433070866141732	0.7161475640948181	0.7691172188901181	0.4990316551340173	0.4804185525681625	0.51745051977773	0.671	0.5288262322472849	0.4097002928173623	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	deepcheck	DeepCheck	competitor	1000	803	True	medium	2	0.002	200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4990316551340173	0.4804185525681625	0.51745051977773	0.671	0.5288262322472849	0.4097002928173623	"{""high"": 200, ""medium"": 2, ""low"": 798}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	100	True	high	30	0.03	23	0.6521739130434783	0.4583333333333333	0.8421052631578947	0.5	0.3103448275862069	0.700092592592592	0.5660377358490566	0.3829787234042553	0.7170253537735846	0.6921733720000319	0.621496971189545	0.7556123933384992	0.93	0.6636507936507936	0.5937318630295998	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	100	True	low	900	0.9	914	0.9617067833698032	0.947198186952316	0.9746703001797976	0.9766666666666668	0.9650254071427288	0.986637713437268	0.9691289966923924	0.9601769911504424	0.976998904709748	0.6921733720000319	0.621496971189545	0.7556123933384992	0.93	0.6636507936507936	0.5937318630295998	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	100	True	medium	70	0.07	63	0.5714285714285714	0.4426229508196721	0.7031698258196719	0.5142857142857142	0.4025324675324677	0.6323529411764706	0.5413533834586466	0.4339465408805031	0.6424653312788904	0.6921733720000319	0.621496971189545	0.7556123933384992	0.93	0.6636507936507936	0.5937318630295998	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	100	True	high	30	0.03	161	0.186335403726708	0.1271529962683837	0.2576735347455338	1.0	1.0	1.0	0.3141361256544502	0.2256179775280899	0.4097621951219511	0.263456491102284	0.2259792803827899	0.3031863815501598	0.271	0.5938624338624339	0.0476314895618321	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	100	True	low	900	0.9	206	0.9805825242718448	0.9597989949748744	0.9954954954954957	0.2244444444444444	0.192863739698778	0.2559044944450049	0.3652802893309222	0.3223360723317764	0.4059356891315284	0.263456491102284	0.2259792803827899	0.3031863815501598	0.271	0.5938624338624339	0.0476314895618321	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	100	True	medium	70	0.07	633	0.0616113744075829	0.0432098765432098	0.0809534935469514	0.5571428571428572	0.4358974358974359	0.6764705882352942	0.1109530583214793	0.0789427418757865	0.1442447920242787	0.263456491102284	0.2259792803827899	0.3031863815501598	0.271	0.5938624338624339	0.0476314895618321	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	100	True	high	30	0.03	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4153741583978249	0.3902614061544698	0.440244997459827	0.802	0.5253968253968254	0.3154473793389573	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	100	True	low	900	0.9	772	0.9715025906735753	0.9597394272394272	0.9823958769640536	0.8333333333333334	0.8085538456959162	0.8573009157861504	0.8971291866028708	0.8814579447239541	0.9117647058823528	0.4153741583978249	0.3902614061544698	0.440244997459827	0.802	0.5253968253968254	0.3154473793389573	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	100	True	medium	70	0.07	228	0.2280701754385964	0.1787196048632219	0.2815136248674227	0.7428571428571429	0.64	0.8387419354838708	0.348993288590604	0.2835074886799024	0.414013297575148	0.4153741583978249	0.3902614061544698	0.440244997459827	0.802	0.5253968253968254	0.3154473793389573	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	deepcheck	DeepCheck	competitor	1000	100	True	high	30	0.03	39	0.2307692307692307	0.1052631578947368	0.4	0.3	0.1428571428571428	0.472321428571428	0.2608695652173913	0.1230303030303031	0.3947449642625081	0.2430781999547576	0.1946436158893258	0.289023169511912	0.25	0.4132275132275131	0.0213859784182987	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	deepcheck	DeepCheck	competitor	1000	100	True	low	900	0.9	199	0.9547738693467336	0.9259173126614988	0.9793840867036744	0.2111111111111111	0.1800214050493962	0.2425292097502706	0.3457688808007279	0.3025155868799132	0.3870431722874725	0.2430781999547576	0.1946436158893258	0.289023169511912	0.25	0.4132275132275131	0.0213859784182987	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	deepcheck	DeepCheck	competitor	1000	100	True	medium	70	0.07	762	0.0669291338582677	0.0500625802310654	0.084338890087203	0.7285714285714285	0.6031746031746031	0.8472281073446327	0.1225961538461538	0.0932916379078391	0.1525474293111119	0.2430781999547576	0.1946436158893258	0.289023169511912	0.25	0.4132275132275131	0.0213859784182987	"{""high"": 30, ""medium"": 70, ""low"": 900}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	100	True	high	13	0.013	15	0.5333333333333333	0.2665789473684212	0.7857142857142857	0.6153846153846154	0.3333333333333333	0.875	0.5714285714285715	0.3	0.7741935483870969	0.7881086301581437	0.6918071596964399	0.8643865982774709	0.958	0.8105697684502644	0.8003033487226545	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	100	True	low	887	0.887	878	0.9863325740318908	0.9771923706376916	0.994279176201373	0.9763246899661782	0.9671574178935448	0.9852113057997234	0.9813031161473088	0.975414522584334	0.9870572011427008	0.7881086301581437	0.6918071596964399	0.8643865982774709	0.958	0.8105697684502644	0.8003033487226545	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	100	True	medium	100	0.1	107	0.7850467289719626	0.7052631578947368	0.8585159051925775	0.84	0.7662220662220662	0.9056824193263974	0.8115942028985507	0.75	0.868421052631579	0.7881086301581437	0.6918071596964399	0.8643865982774709	0.958	0.8105697684502644	0.8003033487226545	"{""high"": 13, ""medium"": 100, ""low"": 887}"
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	100	True	high	13	0.013	71	0.1690140845070422	0.0909090909090909	0.2533333333333333	0.9230769230769232	0.75	1.0	0.2857142857142857	0.1643835616438356	0.4	0.382403398296349	0.3300593885696784	0.4319222787900409	0.48	0.7260838898042957	0.1367790237302765	"{""high"": 13, ""medium"": 100, ""low"": 887}"
