set	set_label	tool	tool_label	criterion	threshold	n	n_clusters	n_true_pass	n_true_fail	n_false_pass	n_false_fail	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi	sensitivity	sensitivity_ci_lo	sensitivity_ci_hi	specificity	specificity_ci_lo	specificity_ci_hi	balanced_accuracy	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi
set_B_v2	Set B (contamination gradient, 100% completeness)	cocopye	CoCoPyE 0.5.0	completeness	90.0	1000	803	1000	0	0	14				0.014	0.0069860279441117	0.0213593220673784				0.986	0.9786406779326215	0.9930139720558884	0.986	0.9786406779326215	0.9930139720558884
set_B_v2	Set B (contamination gradient, 100% completeness)	deepcheck	DeepCheck	completeness	90.0	1000	803	1000	0	0	14				0.014	0.0077218215598157	0.0218687872763419				0.986	0.978131212723658	0.9922781784401844	0.986	0.978131212723658	0.9922781784401844
set_B_v2	Set B (contamination gradient, 100% completeness)	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	5.0	1000	803	200	800	0	6	0.0	0.0	0.0	0.03	0.0099490172897886	0.0563398338750451	1.0	1.0	1.0	0.97	0.9436601661249548	0.9900509827102112	0.985	0.9718300830624774	0.9950254913551057
set_B_v2	Set B (contamination gradient, 100% completeness)	checkm2	CheckM2 1.0.1	contamination	5.0	1000	803	200	800	59	0	0.07375	0.0563199792274002	0.0934393088185222	0.0	0.0	0.0	0.92625	0.9065606911814778	0.9436800207725996	1.0	1.0	1.0	0.963125	0.9532803455907388	0.9718400103863
set_B_v2	Set B (contamination gradient, 100% completeness)	cocopye	CoCoPyE 0.5.0	contamination	5.0	1000	803	200	800	1	3	0.00125	0.0	0.0038363171355498	0.015	0.0	0.0341463414634146	0.99875	0.99616368286445	1.0	0.985	0.9658536585365852	1.0	0.991875	0.9820133367279638	0.9993858431358432
set_B_v2	Set B (contamination gradient, 100% completeness)	deepcheck	DeepCheck	contamination	5.0	1000	803	200	800	132	0	0.165	0.1400777025265762	0.1908399441201417	0.0	0.0	0.0	0.835	0.8091600558798583	0.8599222974734239	1.0	1.0	1.0	0.9175	0.9045800279399292	0.929961148736712
set_B_v2	Set B (contamination gradient, 100% completeness)	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	10.0	1000	803	202	798	1	4	0.0012531328320802	0.0	0.0039115985377201	0.0198019801980198	0.0046290962621607	0.0421108326371484	0.9987468671679198	0.9960884014622798	1.0	0.9801980198019802	0.9578891673628516	0.9953709037378392	0.98947244348495	0.9781581441300196	0.9975009236453204
set_B_v2	Set B (contamination gradient, 100% completeness)	checkm2	CheckM2 1.0.1	contamination	10.0	1000	803	202	798	147	0	0.1842105263157894	0.1564396677024257	0.2109384527439024	0.0	0.0	0.0	0.8157894736842105	0.7890615472560976	0.8435603322975743	1.0	1.0	1.0	0.9078947368421052	0.8945307736280488	0.9217801661487872
set_B_v2	Set B (contamination gradient, 100% completeness)	cocopye	CoCoPyE 0.5.0	contamination	10.0	1000	803	202	798	12	0	0.0150375939849624	0.0073257839721254	0.0236922537406483	0.0	0.0	0.0	0.9849624060150376	0.9763077462593516	0.9926742160278744	1.0	1.0	1.0	0.9924812030075189	0.9881538731296758	0.9963371080139372
set_B_v2	Set B (contamination gradient, 100% completeness)	deepcheck	DeepCheck	contamination	10.0	1000	803	202	798	326	0	0.4085213032581453	0.3751499077490775	0.4421885690548333	0.0	0.0	0.0	0.5914786967418546	0.5578114309451666	0.6248500922509225	1.0	1.0	1.0	0.7957393483709273	0.7789057154725832	0.8124250461254612
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	50.0	1000	100	1000	0	0	0				0.0	0.0	0.0				1.0	1.0	1.0	1.0	1.0	1.0
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	checkm2	CheckM2 1.0.1	completeness	50.0	1000	100	1000	0	0	45				0.045	0.033	0.059				0.955	0.941	0.967	0.955	0.941	0.967
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	cocopye	CoCoPyE 0.5.0	completeness	50.0	1000	100	1000	0	0	112				0.112	0.092	0.134				0.888	0.866	0.908	0.888	0.866	0.908
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	deepcheck	DeepCheck	completeness	50.0	1000	100	1000	0	0	139				0.139	0.115975	0.1620249999999998				0.861	0.837975	0.8840249999999998	0.861	0.837975	0.8840249999999998
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	90.0	1000	100	445	555	63	118	0.1135135135135135	0.0764749941359187	0.1566484517304189	0.2651685393258427	0.1883368821815113	0.3410425631478824	0.8864864864864865	0.843351548269581	0.9235250058640811	0.7348314606741573	0.6589574368521176	0.8116631178184887	0.8106589735803219	0.7712095941339048	0.8508658638348675
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	checkm2	CheckM2 1.0.1	completeness	90.0	1000	100	445	555	21	158	0.0378378378378378	0.0204434188141894	0.0576593401550956	0.3550561797752809	0.3063401509400258	0.4045534995977473	0.9621621621621622	0.9423406598449044	0.9795565811858106	0.6449438202247191	0.5954465004022527	0.693659849059974	0.8035529911934407	0.7762621643473894	0.8290435919933101
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	cocopye	CoCoPyE 0.5.0	completeness	90.0	1000	100	445	555	0	439	0.0	0.0	0.0	0.9865168539325844	0.9748283752860412	0.9954957485575464	1.0	1.0	1.0	0.0134831460674157	0.0045042514424536	0.0251716247139588	0.5067415730337078	0.5022521257212268	0.5125858123569794
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	deepcheck	DeepCheck	completeness	90.0	1000	100	445	555	1	394	0.0018018018018018	0.0	0.005607476635514	0.8853932584269663	0.8474927565527929	0.9198137494063297	0.9981981981981982	0.994392523364486	1.0	0.1146067415730337	0.0801862505936703	0.152507243447207	0.5564024698856159	0.5399048275158196	0.5748962737166788
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	5.0	1000	100	52	948	19	23	0.020042194092827	0.0126050420168067	0.0283919143284077	0.4423076923076923	0.2726887519260401	0.6166666666666667	0.979957805907173	0.9716080856715922	0.9873949579831932	0.5576923076923077	0.3833333333333333	0.7273112480739597	0.7688250567997403	0.6824309238848413	0.8535913849743637
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	checkm2	CheckM2 1.0.1	contamination	5.0	1000	100	52	948	493	0	0.520042194092827	0.4852000618124485	0.5569620253164557	0.0	0.0	0.0	0.479957805907173	0.4430379746835443	0.5147999381875514	1.0	1.0	1.0	0.7399789029535865	0.7215189873417721	0.7573999690937757
