set	tool	criterion	threshold	n_true_pass	n_true_fail	balanced_accuracy	source
set_A	checkm2	completeness	50.0	600	0	0.9616666666666668	ws5.2_threshold_analysis.tsv
set_A	cocopye	completeness	50.0	600	0	0.9716666666666668	ws5.2_threshold_analysis.tsv
set_A	deepcheck	completeness	50.0	600	0	0.985	ws5.2_threshold_analysis.tsv
set_A	magicc_v5	contamination	5.0	600	0	0.9833333333333332	ws5.2_threshold_analysis.tsv
set_A	magicc_v3	contamination	5.0	600	0	0.9816666666666668	ws5.2_threshold_analysis.tsv
set_A	checkm2	contamination	5.0	600	0	1.0	ws5.2_threshold_analysis.tsv
set_A	cocopye	contamination	5.0	600	0	0.9433333333333334	ws5.2_threshold_analysis.tsv
set_A	deepcheck	contamination	5.0	600	0	1.0	ws5.2_threshold_analysis.tsv
set_A	magicc_v5	contamination	10.0	600	0	0.9933333333333332	ws5.2_threshold_analysis.tsv
set_A	magicc_v3	contamination	10.0	600	0	0.9966666666666668	ws5.2_threshold_analysis.tsv
set_A	checkm2	contamination	10.0	600	0	1.0	ws5.2_threshold_analysis.tsv
set_A	cocopye	contamination	10.0	600	0	0.9883333333333332	ws5.2_threshold_analysis.tsv
set_A	deepcheck	contamination	10.0	600	0	1.0	ws5.2_threshold_analysis.tsv
set_B	magicc_v5	completeness	50.0	600	0	1.0	ws5.2_threshold_analysis.tsv
set_B	magicc_v3	completeness	50.0	600	0	1.0	ws5.2_threshold_analysis.tsv
set_B	checkm2	completeness	50.0	600	0	1.0	ws5.2_threshold_analysis.tsv
set_B	cocopye	completeness	50.0	600	0	1.0	ws5.2_threshold_analysis.tsv
set_B	deepcheck	completeness	50.0	600	0	1.0	ws5.2_threshold_analysis.tsv
set_B	magicc_v5	completeness	90.0	600	0	0.9266666666666666	ws5.2_threshold_analysis.tsv
set_B	magicc_v3	completeness	90.0	600	0	0.95	ws5.2_threshold_analysis.tsv
set_B	checkm2	completeness	90.0	600	0	0.9933333333333332	ws5.2_threshold_analysis.tsv
set_B	cocopye	completeness	90.0	600	0	0.9633333333333334	ws5.2_threshold_analysis.tsv
set_B	deepcheck	completeness	90.0	600	0	0.9816666666666668	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	magicc_v5	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	checkm2	completeness	50.0	1000	0	0.978	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	cocopye	completeness	50.0	1000	0	0.961	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	deepcheck	completeness	50.0	1000	0	0.977	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	magicc_v5	contamination	5.0	1000	0	0.977	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	checkm2	contamination	5.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	cocopye	contamination	5.0	1000	0	0.978	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	deepcheck	contamination	5.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	magicc_v5	contamination	10.0	1000	0	0.99	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	checkm2	contamination	10.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	cocopye	contamination	10.0	1000	0	0.984	ws5.2_threshold_analysis.tsv
motivating_v2_set_A	deepcheck	contamination	10.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
motivating_v2_set_B	magicc_v5	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
motivating_v2_set_B	checkm2	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
motivating_v2_set_B	cocopye	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
motivating_v2_set_B	deepcheck	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
motivating_v2_set_B	magicc_v5	completeness	90.0	1000	0	0.924	ws5.2_threshold_analysis.tsv
motivating_v2_set_B	checkm2	completeness	90.0	1000	0	0.99	ws5.2_threshold_analysis.tsv
motivating_v2_set_B	cocopye	completeness	90.0	1000	0	0.979	ws5.2_threshold_analysis.tsv
motivating_v2_set_B	deepcheck	completeness	90.0	1000	0	0.986	ws5.2_threshold_analysis.tsv
motivating_v2_set_C	magicc_v5	completeness	50.0	1000	0	1.0	ws5.2_threshold_analysis.tsv
motivating_v2_set_C	checkm2	completeness	50.0	1000	0	0.996	ws5.2_threshold_analysis.tsv
motivating_v2_set_C	cocopye	completeness	50.0	1000	0	0.987	ws5.2_threshold_analysis.tsv
motivating_v2_set_C	deepcheck	completeness	50.0	1000	0	0.996	ws5.2_threshold_analysis.tsv
motivating_set_A	magicc_v5	completeness	50.0	600	0	1.0	ws5.2_threshold_analysis.tsv
motivating_set_A	checkm2	completeness	50.0	600	0	0.9783333333333334	ws5.2_threshold_analysis.tsv
motivating_set_A	cocopye	completeness	50.0	600	0	0.9616666666666668	ws5.2_threshold_analysis.tsv
motivating_set_A	deepcheck	completeness	50.0	600	0	0.9766666666666668	ws5.2_threshold_analysis.tsv
motivating_set_A	magicc_v5	contamination	5.0	600	0	0.97	ws5.2_threshold_analysis.tsv
motivating_set_A	checkm2	contamination	5.0	600	0	1.0	ws5.2_threshold_analysis.tsv
motivating_set_A	cocopye	contamination	5.0	600	0	0.96	ws5.2_threshold_analysis.tsv
motivating_set_A	deepcheck	contamination	5.0	600	0	1.0	ws5.2_threshold_analysis.tsv
motivating_set_A	magicc_v5	contamination	10.0	600	0	0.9866666666666668	ws5.2_threshold_analysis.tsv
motivating_set_A	checkm2	contamination	10.0	600	0	1.0	ws5.2_threshold_analysis.tsv
motivating_set_A	cocopye	contamination	10.0	600	0	0.9816666666666668	ws5.2_threshold_analysis.tsv
