dataset	arm	true_class	predicted_class	n
set_E	kmer_minmax_training_only	low	high	2
set_E	kmer_minmax_training_only	low	medium	17
set_E	kmer_minmax_training_only	low	low	700
set_E	all_summary_exact_training	high	high	55
set_E	all_summary_exact_training	high	medium	8
set_E	all_summary_exact_training	high	low	3
set_E	all_summary_exact_training	medium	high	9
set_E	all_summary_exact_training	medium	medium	200
set_E	all_summary_exact_training	medium	low	6
set_E	all_summary_exact_training	low	high	2
set_E	all_summary_exact_training	low	medium	17
set_E	all_summary_exact_training	low	low	700
