tool	threshold_pct	n_flagged	n_unflagged	TP	FP	FN	TN	recall_pct	precision_pct	specificity_pct	note
MAGICC V5	5.0	7	1089	4	23	3	1066	57.14	14.81	97.89	BINARY DETECTION ONLY. NCBI's Foreign Contamination Screen uses a different operational definition from the bp-based contamination quantified elsewhere here, so this table must not be read as a quantification benchmark.
MAGICC V5	10.0	7	1089	3	10	4	1079	42.86	23.08	99.08	BINARY DETECTION ONLY. NCBI's Foreign Contamination Screen uses a different operational definition from the bp-based contamination quantified elsewhere here, so this table must not be read as a quantification benchmark.
