accession	bytes	status
GCA_001462925.1	1644797	ok
GCA_003813145.1	1650423	ok
GCA_006337025.1	1546384	ok
GCA_001521815.1	1165037	ok
GCA_002022025.1	1169819	ok
GCA_002887275.1	1137324	ok
GCA_001521755.1	1133536	ok
GCA_001542055.1	1476173	ok
GCA_002113865.1	1796622	ok
GCA_018340485.1	1414301	ok
GCA_001640565.1	3135283	ok
GCA_001672355.1	1984688	ok
GCA_001650215.1	3117844	ok
GCA_001651825.1	1005424	ok
GCA_001673755.1	1243137	cached
GCA_001913155.1	1248752	cached
GCA_001672365.1	1910621	ok
GCA_001672385.1	2083478	ok
GCA_001685215.1	888963	ok
GCA_013170725.1	1912623	ok
GCA_001659785.1	1044595	ok
GCA_001913195.1	887327	ok
GCA_001707555.1	1365182	ok
GCA_018338395.1	1373727	ok
GCA_001707605.1	1396158	ok
GCA_006517135.1	1402374	ok
GCA_001707615.1	1400000	ok
GCA_001723445.1	740034	ok
GCA_018339995.1	1405531	ok
GCA_001754005.1	928864	cached
GCA_042134675.1	883092	cached
GCA_001865315.1	1984358	cached
GCA_001704195.1	1953343	cached
GCA_004758745.1	748245	ok
GCA_013170705.1	1989175	ok
GCA_001728785.1	1670094	ok
GCA_001651925.2	1706675	ok
GCA_001747495.1	792378	ok
GCA_013170865.1	2085046	ok
GCA_001884505.1	1501785	ok
GCA_003860565.1	794718	ok
GCA_002023065.1	1230849	cached
GCA_002022125.1	1237208	cached
GCA_013207105.1	1533281	ok
GCA_001935945.1	830435	ok
GCA_004771215.1	862778	ok
GCA_002006845.1	1200116	ok
GCA_002012285.1	1186873	ok
GCA_002023055.1	1134787	ok
GCA_002022105.1	1137478	ok
GCA_002023095.1	1171196	ok
GCA_002023105.1	1149365	ok
GCA_002022145.1	1175826	ok
GCA_001596175.2	1153591	ok
GCA_002023135.1	1219938	ok
GCA_002023205.1	1288944	cached
GCA_002022045.1	1225843	ok
GCA_002024805.1	1300315	cached
GCA_002023145.1	1170378	ok
GCA_002022065.1	1175713	ok
GCA_002023175.1	1161278	ok
GCA_002024825.1	1166088	ok
GCA_002023195.1	1245188	ok
GCA_002022085.1	1254687	ok
GCA_014680125.1	1128261	ok
GCA_002077755.1	1059794	ok
GCA_013162165.1	1342410	ok
GCA_002077835.1	1057440	cached
GCA_014678925.1	1043916	cached
GCA_014679505.1	1050071	ok
GCA_002077775.1	998774	ok
GCA_002034545.1	1343518	ok
GCA_014679705.1	1074350	ok
GCA_002077815.1	1006645	ok
GCA_014679145.1	1115433	ok
GCA_002077855.1	1017141	ok
GCA_014679335.1	1043351	ok
GCA_002077865.1	959153	ok
GCA_014679925.1	981821	ok
GCA_002077765.1	1026476	ok
GCA_002131925.1	861777	ok
GCA_002532205.1	1308626	ok
GCA_049942895.1	1315897	ok
GCA_002532235.1	1325019	ok
GCA_049942855.1	1330417	ok
GCA_002532415.1	1309553	ok
GCA_049942885.1	1316988	ok
GCA_002738605.1	1240170	cached
GCA_009938095.1	1245120	cached
GCA_049942865.1	1317860	ok
GCA_049942915.1	1361074	ok
GCA_002532275.1	1310914	ok
GCA_002811135.1	1657744	ok
GCA_027941975.1	1668902	ok
GCA_003112595.1	2361893	cached
GCA_002532435.1	1348617	ok
GCA_003289475.1	520558	cached
GCA_013372165.1	521684	cached
GCA_003414715.1	571280	cached
GCA_030556675.1	1664708	ok
GCA_047496975.1	577126	cached
GCA_027947575.1	2345536	cached
GCA_002890695.1	2677243	ok
GCA_002849735.1	2688122	ok
GCA_003008295.1	1455542	ok
GCA_003415105.1	537534	ok
GCA_005671355.1	1459649	ok
GCA_047496995.1	543770	ok
GCA_003415475.1	544582	ok
GCA_003415195.1	527079	ok
GCA_047497005.1	535046	ok
GCA_002736505.2	1659732	ok
GCA_047497085.1	549680	ok
GCA_003572325.1	1297430	ok
GCA_002949895.1	1418427	ok
GCA_009189185.2	780469	ok
GCA_003596325.1	745730	ok
GCA_003606955.1	850522	ok
GCA_002105695.1	855653	ok
GCA_003607115.1	854286	ok
GCA_013282705.1	857971	ok
GCA_003607295.1	853649	ok
GCA_002105675.1	859597	ok
GCA_003668005.1	886470	ok
GCA_002105635.1	891906	ok
GCA_003668015.1	897204	ok
GCA_002105615.1	875902	ok
GCA_003698065.1	1960128	cached
GCA_000148745.1	1919177	cached
