cohort	clustering_unit	checkm2_class	magicc_class	n_genomes	weighted_proportion_of_cohort	ci95_lo	ci95_hi	row_conditional_rate	row_ci95_lo	row_ci95_hi	row_denominator_n
S3_srs_unweighted	family	LQ	MQ	6	3.09639e-05	1.10713e-05	5.53584e-05	nan	nan	nan	14
S3_srs_unweighted	family	LQ	LQ	5	2.58033e-05	6.21324e-06	5.70626e-05	nan	nan	nan	14
S3_srs_unweighted	spire_cluster	HQ	HQ	47119	0.243165	0.22747	0.25908	nan	nan	nan	61997
S3_srs_unweighted	spire_cluster	HQ	MQ	13197	0.0681051	0.0624764	0.0741721	0.212865	0.19391	0.233952	61997
S3_srs_unweighted	spire_cluster	HQ	LQ	1681	0.00867505	0.00731203	0.010312	0.0271142	0.0228213	0.0323275	61997
S3_srs_unweighted	spire_cluster	MQ	HQ	23682	0.122215	0.11489	0.129036	0.179732	0.169824	0.189598	131763
S3_srs_unweighted	spire_cluster	MQ	MQ	105576	0.544841	0.529799	0.559694	nan	nan	nan	131763
S3_srs_unweighted	spire_cluster	MQ	LQ	2505	0.0129274	0.0115554	0.0144914	0.0190114	0.0170291	0.0212681	131763
S3_srs_unweighted	spire_cluster	LQ	HQ	3	1.5482e-05	0	3.35608e-05	nan	nan	nan	14
S3_srs_unweighted	spire_cluster	LQ	MQ	6	3.09639e-05	5.56589e-06	5.93062e-05	nan	nan	nan	14
S3_srs_unweighted	spire_cluster	LQ	LQ	5	2.58033e-05	5.29077e-06	5.1695e-05	nan	nan	nan	14
S1_small_census	family	HQ	HQ	3458	0.0599806	0.0359326	0.0854522	nan	nan	nan	9267
S1_small_census	family	HQ	MQ	4733	0.082096	0.0661037	0.100919	0.510737	0.44582	0.586056	9267
S1_small_census	family	HQ	LQ	1076	0.0186637	0.014171	0.0248243	0.116111	0.0873542	0.15444	9267
S1_small_census	family	MQ	HQ	902	0.0156456	0.00949134	0.0226557	0.0186437	0.0108914	0.0280203	48381
S1_small_census	family	MQ	MQ	45123	0.782679	0.737863	0.827014	nan	nan	nan	48381
S1_small_census	family	MQ	LQ	2356	0.0408659	0.0301168	0.0548671	0.0486968	0.0356865	0.0658722	48381
S1_small_census	family	LQ	HQ	1	1.73455e-05	0	5.64208e-05	nan	nan	nan	4
S1_small_census	family	LQ	MQ	3	5.20364e-05	0	0.000122478	nan	nan	nan	4
S1_small_census	family	LQ	LQ	0	0	0	0	nan	nan	nan	4
S1_small_census	spire_cluster	HQ	HQ	3458	0.0599806	0.0512761	0.0702843	nan	nan	nan	9267
S1_small_census	spire_cluster	HQ	MQ	4733	0.082096	0.0727185	0.0926297	0.510737	0.473916	0.548269	9267
S1_small_census	spire_cluster	HQ	LQ	1076	0.0186637	0.0158292	0.0220033	0.116111	0.101395	0.132528	9267
S1_small_census	spire_cluster	MQ	HQ	902	0.0156456	0.0136462	0.0176295	0.0186437	0.0160847	0.021261	48381
S1_small_census	spire_cluster	MQ	MQ	45123	0.782679	0.763234	0.80286	nan	nan	nan	48381
S1_small_census	spire_cluster	MQ	LQ	2356	0.0408659	0.0353892	0.0472074	0.0486968	0.0418499	0.0564973	48381
S1_small_census	spire_cluster	LQ	HQ	1	1.73455e-05	0	5.58075e-05	nan	nan	nan	4
S1_small_census	spire_cluster	LQ	MQ	3	5.20364e-05	0	0.000121583	nan	nan	nan	4
S1_small_census	spire_cluster	LQ	LQ	0	0	0	0	nan	nan	nan	4
S2_rare_phylum_census	family	HQ	HQ	2510	0.172901	0.14606	0.202067	nan	nan	nan	5552
S2_rare_phylum_census	family	HQ	MQ	1866	0.128539	0.110269	0.146775	0.336095	0.297088	0.374091	5552
S2_rare_phylum_census	family	HQ	LQ	1176	0.0810085	0.0679354	0.0952144	0.211816	0.181587	0.243248	5552
S2_rare_phylum_census	family	MQ	HQ	1844	0.127023	0.109361	0.146203	0.205735	0.181719	0.231093	8963
S2_rare_phylum_census	family	MQ	MQ	5453	0.375629	0.339304	0.414413	nan	nan	nan	8963
S2_rare_phylum_census	family	MQ	LQ	1666	0.114762	0.0895429	0.141109	0.185875	0.145042	0.227405	8963
S2_rare_phylum_census	family	LQ	HQ	1	6.88848e-05	0	0.00023935	nan	nan	nan	2
S2_rare_phylum_census	family	LQ	MQ	1	6.88848e-05	0	0.000216163	nan	nan	nan	2
S2_rare_phylum_census	family	LQ	LQ	0	0	0	0	nan	nan	nan	2
S2_rare_phylum_census	spire_cluster	HQ	HQ	2510	0.172901	0.152485	0.194595	nan	nan	nan	5552
S2_rare_phylum_census	spire_cluster	HQ	MQ	1866	0.128539	0.115026	0.142975	0.336095	0.304436	0.37091	5552
S2_rare_phylum_census	spire_cluster	HQ	LQ	1176	0.0810085	0.0716987	0.0914238	0.211816	0.187441	0.238144	5552
S2_rare_phylum_census	spire_cluster	MQ	HQ	1844	0.127023	0.112475	0.143401	0.205735	0.182647	0.230998	8963
S2_rare_phylum_census	spire_cluster	MQ	MQ	5453	0.375629	0.353946	0.401689	nan	nan	nan	8963
S2_rare_phylum_census	spire_cluster	MQ	LQ	1666	0.114762	0.102228	0.127542	0.185875	0.166342	0.206334	8963
S2_rare_phylum_census	spire_cluster	LQ	HQ	1	6.88848e-05	0	0.000215296	nan	nan	nan	2
S2_rare_phylum_census	spire_cluster	LQ	MQ	1	6.88848e-05	0	0.000216623	nan	nan	nan	2
S2_rare_phylum_census	spire_cluster	LQ	LQ	0	0	0	0	nan	nan	nan	2
catalogue_weighted_excl_404_recovery	family	HQ	HQ	53033	0.233877	0.206046	0.259515	nan	nan	nan	76750
catalogue_weighted_excl_404_recovery	family	HQ	MQ	19784	0.0700669	0.0557255	0.0918082	0.22312	0.184258	0.276177	76750
catalogue_weighted_excl_404_recovery	family	HQ	LQ	3933	0.0100893	0.00716292	0.0148812	0.0321281	0.0241405	0.0447957	76750
catalogue_weighted_excl_404_recovery	family	MQ	HQ	26394	0.116508	0.097696	0.12969	0.169864	0.146503	0.188843	188670
catalogue_weighted_excl_404_recovery	family	MQ	MQ	155820	0.553919	0.521933	0.586266	nan	nan	nan	188670
catalogue_weighted_excl_404_recovery	family	MQ	LQ	6456	0.0154628	0.0117391	0.0220807	0.0225442	0.0166891	0.033627	188670
catalogue_weighted_excl_404_recovery	family	LQ	HQ	5	1.83388e-05	0	4.99743e-05	nan	nan	nan	20
catalogue_weighted_excl_404_recovery	family	LQ	MQ	10	3.33592e-05	1.36731e-05	5.69679e-05	nan	nan	nan	20
