cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
catalogue_weighted	family	phylum	Bipolaricaulota	268	completeness_MAGICC_minus_CheckM2	-22.4398	-27.3516	-9.8211	-20.4061	-25.1710	-6.7326
catalogue_weighted	family	phylum	Bipolaricaulota	268	contamination_MAGICC_minus_CheckM2	-1.1127	-2.6669	1.6826	-0.9349	-2.7077	5.0665
catalogue_weighted	family	phylum	Campylobacterota	1203	completeness_MAGICC_minus_CheckM2	-0.0427	-0.2648	0.2346	-0.4837	-1.7144	0.0091
catalogue_weighted	family	phylum	Campylobacterota	1203	contamination_MAGICC_minus_CheckM2	-0.2975	-1.2602	-0.0952	-0.7897	-1.2651	-0.1626
catalogue_weighted	family	phylum	Chlamydiota	428	completeness_MAGICC_minus_CheckM2	-0.5228	-9.0434	-0.2238	-3.6258	-7.4996	-1.1562
catalogue_weighted	family	phylum	Chlamydiota	428	contamination_MAGICC_minus_CheckM2	0.5482	0.0474	0.7701	2.2109	1.1547	4.8568
catalogue_weighted	family	phylum	Chloroflexota	1822	completeness_MAGICC_minus_CheckM2	0.0062	-2.4046	2.7279	-0.6804	-3.0519	1.8563
catalogue_weighted	family	phylum	Chloroflexota	1822	contamination_MAGICC_minus_CheckM2	-1.1729	-1.5533	-0.8228	0.8671	0.0571	1.8094
catalogue_weighted	family	phylum	Cloacimonadota	578	completeness_MAGICC_minus_CheckM2	-1.5760	-14.6838	-0.3914	-3.2624	-14.9199	-0.6767
catalogue_weighted	family	phylum	Cloacimonadota	578	contamination_MAGICC_minus_CheckM2	-0.5571	-0.8159	4.5951	-0.0983	-1.5093	6.6942
catalogue_weighted	family	phylum	Cyanobacteria	1126	completeness_MAGICC_minus_CheckM2	0.0665	-2.8042	0.2344	-0.0640	-3.1779	1.3322
catalogue_weighted	family	phylum	Cyanobacteria	1126	contamination_MAGICC_minus_CheckM2	-0.4308	-1.3835	-0.2255	-0.5492	-1.6743	0.5484
