cohort	clustering_unit	grouping	stratum	n_genomes	statistic	estimate	ci95_lo	ci95_hi	design_se	design_ci95_lo	design_ci95_hi	note
catalogue_weighted	family	overall	ALL	265943	slope_d_comp_per_log10Mbp	12.6958	10.4544	15.0902				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	overall	ALL	265943	slope_d_cont_per_log10Mbp	0.352255	-1.00856	1.88581				post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	p_class_change	0.157129	0.130123	0.187628	0.000252586	0.156634	0.157624	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	p_downgrade	0.141407	0.116199	0.170037	0.000241864	0.140933	0.141881	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	p_upgrade	0.015722	0.00988087	0.0233556	8.62739e-05	0.0155529	0.0158911	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	p_HQ_checkm2	0.160362	0.125822	0.197173	0.000254784	0.159863	0.160861	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	p_HQ_magicc	0.0755094	0.047555	0.110716	0.000183429	0.0751499	0.0758689	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	HQ_downgrade_rate	0.626848	0.532853	0.729794	0.000838779	0.625204	0.628492	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	HQ_to_MQ_rate	0.510737	0.438671	0.586994	0.000866948	0.509038	0.512436	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	HQ_to_LQ_rate	0.116111	0.0861851	0.152137	0.000555596	0.115022	0.1172	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	MQ_to_HQ_rate	0.0186437	0.0113036	0.0286197	0.00010238	0.018443	0.0188443	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	MQ_to_LQ_rate	0.0486968	0.0360915	0.0653038	0.000162909	0.0483775	0.0490161	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	LQ_to_higher_rate	1	1	1	0	1	1	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	cont5_disagreement_rate	0.110159	0.0873064	0.138835	0.000223535	0.10972	0.110597	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	floor_rate	0.0904968	0.0573262	0.13233	0.000198973	0.0901068	0.0908868	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
catalogue_weighted	family	size_bin	<1Mb	57652	floor_rate_exact50	0	0	0	0	0	0	post-stratified to frame counts on (stratum x size bin x published class); Hajek ratio; 3004 family clusters
