set	set_label	status	tier	tool	tool_label	tool_role	metric	n	n_clusters	true_value_variance	true_value_constant	true_value_min	true_value_max	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	bias	bias_ci_lo	bias_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_pearson_sq_ci_lo	r2_pearson_sq_ci_hi	r2_omitted_reason
set_A_v2	set_A_v2	secondary_truth_restriction	secondary_35pct	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	798	288.16837015258153	False	50.07295870786195	100.0	2.1766318366134065	1.9285824310083621	2.4493066648935256	4.265459274526059	3.5985967551945546	4.946132715724632	0.09221869013727485	-0.19590291778316463	0.36838457549297515	0.9368628041550612	0.915699211787351	0.9555901678252502	0.9369097873360442	0.9158173281243551	0.9558622446779275	
set_A_v2	set_A_v2	secondary_truth_restriction	secondary_35pct	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	798	0.0	True	0.0	0.0	0.8285294344272	0.6340336420011047	1.0519528113817156	3.01249322423102	1.7992778519994101	4.040692473079036	0.8285294344272	0.6340336420011047	1.0519528113817156							R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	set_A_v2	secondary_truth_restriction	secondary_35pct	checkm2	CheckM2 1.0.1	competitor	completeness	1000	798	288.16837015258153	False	50.07295870786195	100.0	2.5423106509718054	2.373119998246345	2.7272615795973487	3.836799863069146	3.5737451550463892	4.126169039770951	1.2338306271372748	1.0025087426862427	1.4634621049985146	0.9489151665692774	0.9399414322344666	0.9560751228019397	0.9542042212077979	0.9464224808281917	0.960760085347748	
set_A_v2	set_A_v2	secondary_truth_restriction	secondary_35pct	checkm2	CheckM2 1.0.1	competitor	contamination	1000	798	0.0	True	0.0	0.0	0.27387	0.24805407089183165	0.2991201542694548	0.4403654164441163	0.3977254559909603	0.48255244781918905	0.27387	0.24805407089183165	0.2991201542694548							R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	set_A_v2	secondary_truth_restriction	secondary_35pct	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	798	288.16837015258153	False	50.07295870786195	100.0	3.6395110323866655	3.3507733110459235	3.948119938223015	5.75208171158649	5.256873547550251	6.274766335827815	0.13785465350505238	-0.24806124334693244	0.49145496245597686	0.8851836376100233	0.8630254537492722	0.9045329221083837	0.8901177768246361	0.8704650896088288	0.9076416465655501	
set_A_v2	set_A_v2	secondary_truth_restriction	secondary_35pct	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	798	0.0	True	0.0	0.0	0.9766124183707465	0.6930847142213665	1.3207270284128156	4.795027076234535	3.4259619978694387	6.072026808193797	0.9766124151233685	0.6930847106387006	1.320727025116004							R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	set_A_v2	secondary_truth_restriction	secondary_35pct	deepcheck	DeepCheck	competitor	completeness	1000	798	288.16837015258153	False	50.07295870786195	100.0	4.255472477276518	3.9743601739727024	4.539192093758082	6.229719890580933	5.762725814089286	6.676650865789847	1.4648283920298533	1.0849334854004116	1.8301536443002986	0.8653238386483895	0.8427816714519678	0.8847194079265713	0.8735672962805364	0.8540804500764001	0.891108246651618	
set_A_v2	set_A_v2	secondary_truth_restriction	secondary_35pct	deepcheck	DeepCheck	competitor	contamination	1000	798	0.0	True	0.0	0.0	0.404035914644599	0.37219244161982024	0.43799457948504295	0.6315151025352045	0.5859099462595142	0.6777292222084665	0.2865536159723997	0.2505101646144753	0.3246765668064872							R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	set_B_v2	secondary_truth_restriction	secondary_35pct	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	424	391	0.0	True	100.0	100.0	1.535822226415094	1.1452032857979646	1.9755581599919196	4.4054237063147275	3.35924520753331	5.437648861523044	-1.535822226415094	-1.9755581599919199	-1.1452032857979646							R^2 is undefined: the true completeness is constant at 100% for all 424 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	set_B_v2	secondary_truth_restriction	secondary_35pct	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	424	391	111.82375071174059	False	0.0	34.738493213792644	2.3762020832825135	2.0372528673491246	2.775667752526808	4.420913689796672	3.500781393568786	5.374546015865681	0.5635074984007132	0.1649213694670455	1.0229014293281866	0.8252206912374688	0.7388896946692399	0.8903462707396397	0.8395072393466531	0.7775468720083727	0.8941754808205882	
