set	n_genomes	internal_timer_s	threads	genomes_per_min_per_thread
A_v2	1000	42.81831884384155	1.0	1401.2694010435125
B_v2	1000	78.13159012794495	1.0	767.9352218705209
C	1000	19.431822061538696	1.0	3087.7186817574707
D	1000	43.34479880332947	1.0	1384.2491292263464
E	1000	97.80694437026978	1.0	613.4533737487673
