tool	group	group_description	n	n_clusters	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_rmse_ci_lo	comp_rmse_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_rmse_ci_lo	cont_rmse_ci_hi	comp_true_sd	comp_r2_cod	cont_true_sd	cont_r2_cod
magicc_v5	set_A_v2	references selected under the CheckM2-based filter	1000	798	2.1766	1.9383	2.4461	0.0922	-0.2091	0.3736	4.2655	3.639	4.9731	0.8285	0.6402	1.0438	0.8285	0.6402	1.0438	3.0125	1.7614	4.0833	16.9755	0.9369	0.0	
magicc_v5	set_B_v2	references selected under the CheckM2-based filter	1000	803	2.9724	2.6383	3.3156	-2.9724	-3.3156	-2.6383	6.0148	5.3855	6.6087	4.4535	4.1423	4.7964	-0.1356	-0.5929	0.2888	6.7725	6.1579	7.4061	0.0		27.7933	0.9406
magicc_v5	set_C_clean	references selected under the CheckM2-based filter	1000	100	6.8216	5.7963	7.9254	-2.3197	-3.8556	-0.8278	10.1215	8.7741	11.5256	9.0801	8.1588	10.0184	-3.5536	-5.0712	-1.9803	12.3174	11.0518	13.682	16.2201	0.6106	25.7044	0.7704
magicc_v5	set_D_clean	references selected under the CheckM2-based filter	1000	100	5.633	4.9863	6.3161	-0.2624	-1.3696	0.7994	8.3198	7.25	9.3975	6.5229	5.9719	7.0912	-3.8341	-4.7004	-2.9579	9.439	8.5381	10.3143	15.3248	0.7053	24.6927	0.8539
magicc_v5	set_E	references selected under the CheckM2-based filter	1000	785	5.4859	5.0577	5.9403	1.1277	0.5646	1.7085	8.9048	8.1495	9.6686	5.6579	5.155	6.1555	-3.1182	-3.7077	-2.5717	9.7011	8.8055	10.5457	16.4488	0.7069	32.9362	0.9132
magicc_v5	H_pass	references that WOULD HAVE PASSED the CheckM2-based curation filter	2000	200	5.5373	5.1095	5.9545	3.2636	2.7103	3.8487	8.0071	7.3781	8.601	5.6262	5.228	6.0337	-1.7951	-2.4511	-1.0606	8.1149	7.475	8.7421	14.2575	0.6846	24.3886	0.8893
magicc_v5	H_fail	references that WOULD HAVE FAILED it	2000	200	6.3054	5.76	6.871	3.2356	2.4805	4.0152	9.0873	8.3076	9.8426	6.4486	5.8935	7.0732	-1.4064	-2.2797	-0.4819	9.51	8.5511	10.5659	14.2046	0.5907	24.4548	0.8488
