cohort	clustering_unit	checkm2_class	magicc_class	n_genomes	weighted_proportion_of_cohort	ci95_lo	ci95_hi	row_conditional_rate	row_ci95_lo	row_ci95_hi	row_denominator_n
S1_small_census	family	HQ	MQ	1718	0.0998779	0.0826004	0.119193	0.564574	0.519155	0.612712	3043
S1_small_census	family	HQ	LQ	399	0.0231963	0.017242	0.030069	0.131121	0.102589	0.163798	3043
S1_small_census	family	MQ	HQ	273	0.0158712	0.0114539	0.0213196	0.0192837	0.0135393	0.0267264	14157
S1_small_census	family	MQ	MQ	12942	0.752398	0.711508	0.791388	nan	nan	nan	14157
S1_small_census	family	MQ	LQ	942	0.0547643	0.0416113	0.0713565	0.0665395	0.0502877	0.08735	14157
S1_small_census	family	LQ	HQ	0	0	0	0	nan	nan	nan	1
S1_small_census	family	LQ	MQ	1	5.81362e-05	0	0.000193007	nan	nan	nan	1
S1_small_census	family	LQ	LQ	0	0	0	0	nan	nan	nan	1
S1_small_census	spire_cluster	HQ	HQ	926	0.0538341	0.0446551	0.0644776	nan	nan	nan	3043
S1_small_census	spire_cluster	HQ	MQ	1718	0.0998779	0.0887725	0.110258	0.564574	0.52364	0.601981	3043
S1_small_census	spire_cluster	HQ	LQ	399	0.0231963	0.0193935	0.0273016	0.131121	0.111608	0.154537	3043
S1_small_census	spire_cluster	MQ	HQ	273	0.0158712	0.0133034	0.0187118	0.0192837	0.016054	0.0228833	14157
S1_small_census	spire_cluster	MQ	MQ	12942	0.752398	0.732622	0.772981	nan	nan	nan	14157
S1_small_census	spire_cluster	MQ	LQ	942	0.0547643	0.0473427	0.0626553	0.0665395	0.0571931	0.0764495	14157
S1_small_census	spire_cluster	LQ	HQ	0	0	0	0	nan	nan	nan	1
S1_small_census	spire_cluster	LQ	MQ	1	5.81362e-05	0	0.000181609	nan	nan	nan	1
S1_small_census	spire_cluster	LQ	LQ	0	0	0	0	nan	nan	nan	1
S2_rare_phylum_census	family	HQ	HQ	92	0.166065	0.135623	0.20122	nan	nan	nan	218
S2_rare_phylum_census	family	HQ	MQ	78	0.140794	0.108048	0.173128	0.357798	0.283473	0.427781	218
S2_rare_phylum_census	family	HQ	LQ	48	0.0866426	0.0602106	0.112417	0.220183	0.156233	0.279768	218
S2_rare_phylum_census	family	MQ	HQ	78	0.140794	0.108477	0.174488	0.232143	0.183799	0.284354	336
S2_rare_phylum_census	family	MQ	MQ	185	0.333935	0.291843	0.374526	nan	nan	nan	336
S2_rare_phylum_census	family	MQ	LQ	73	0.131769	0.099683	0.164457	0.217262	0.167223	0.268499	336
