cohort	clustering_unit	grouping	stratum	n_genomes	metric	weighted_median	ci95_lo	ci95_hi	weighted_mean	mean_ci95_lo	mean_ci95_hi
catalogue_weighted	family	phylum	Nanoarchaeota	670	contamination_MAGICC_minus_CheckM2	21.7306	1.7964	46.4368	21.6538	2.5960	37.1360
catalogue_weighted	family	phylum	Patescibacteria	7343	completeness_MAGICC_minus_CheckM2	-0.9109	-5.0035	0.7699	-2.2324	-6.3214	2.0695
catalogue_weighted	family	phylum	Patescibacteria	7343	contamination_MAGICC_minus_CheckM2	0.6690	0.0345	2.8594	7.6502	3.5060	12.3756
catalogue_weighted	family	phylum	Proteobacteria	1621	completeness_MAGICC_minus_CheckM2	-1.7561	-5.3800	-0.4426	-3.5616	-5.6423	-1.4842
catalogue_weighted	family	phylum	Proteobacteria	1621	contamination_MAGICC_minus_CheckM2	-1.2899	-1.8614	-0.7880	-1.2841	-1.7894	-0.6163
catalogue_weighted	family	phylum	Thermoplasmatota	282	completeness_MAGICC_minus_CheckM2	3.7066	-13.4006	7.5503	1.5390	-12.2933	3.8338
catalogue_weighted	family	phylum	Thermoplasmatota	282	contamination_MAGICC_minus_CheckM2	-2.5071	-8.9726	-0.1158	-2.6152	-8.1102	-0.1224
catalogue_weighted	family	phylum	Thermoproteota	361	completeness_MAGICC_minus_CheckM2	-5.2339	-9.5002	1.0968	-1.2013	-7.9870	7.7696
catalogue_weighted	family	phylum	Thermoproteota	361	contamination_MAGICC_minus_CheckM2	0.0801	-0.5194	1.6095	5.0672	0.2285	11.0787
catalogue_weighted	family	phylum	other (<200 in cohort)	2251	completeness_MAGICC_minus_CheckM2	-0.0845	-1.4813	0.7654	-1.2607	-2.9413	0.3818
catalogue_weighted	family	phylum	other (<200 in cohort)	2251	contamination_MAGICC_minus_CheckM2	-0.5617	-0.9776	-0.2808	1.5434	0.2663	2.8953
catalogue_weighted_no_nr_adjustment	family	overall	ALL	18647	completeness_MAGICC_minus_CheckM2	-0.1159	-0.6735	0.1881	-0.9763	-1.7387	-0.2136
catalogue_weighted_no_nr_adjustment	family	overall	ALL	18647	contamination_MAGICC_minus_CheckM2	-0.7798	-1.0088	-0.5363	1.0677	0.2879	1.9012
catalogue_weighted_no_nr_adjustment	family	size_bin	<1Mb	17201	completeness_MAGICC_minus_CheckM2	-6.3934	-7.7522	-5.1970	-8.3055	-9.2970	-7.3140
catalogue_weighted_no_nr_adjustment	family	size_bin	<1Mb	17201	contamination_MAGICC_minus_CheckM2	-0.0240	-0.0655	0.0078	1.2131	0.7945	1.7260
catalogue_weighted_no_nr_adjustment	family	size_bin	1-2Mb	428	completeness_MAGICC_minus_CheckM2	-1.1779	-2.5733	-0.0997	-1.8997	-3.6214	-0.2832
catalogue_weighted_no_nr_adjustment	family	size_bin	1-2Mb	428	contamination_MAGICC_minus_CheckM2	-0.5052	-0.6949	-0.2030	1.7024	0.5279	2.9370
catalogue_weighted_no_nr_adjustment	family	size_bin	2-3Mb	418	completeness_MAGICC_minus_CheckM2	-1.2329	-4.1860	0.0371	-2.4454	-4.0022	-0.8684
catalogue_weighted_no_nr_adjustment	family	size_bin	2-3Mb	418	contamination_MAGICC_minus_CheckM2	-1.1978	-1.6974	-0.7188	-0.1128	-0.9558	0.8074
catalogue_weighted_no_nr_adjustment	family	size_bin	3-5Mb	464	completeness_MAGICC_minus_CheckM2	0.6932	-0.0048	1.7862	0.9116	-0.3239	2.2535
catalogue_weighted_no_nr_adjustment	family	size_bin	3-5Mb	464	contamination_MAGICC_minus_CheckM2	-1.1242	-1.6228	-0.7358	0.0961	-0.8159	1.1080
catalogue_weighted_no_nr_adjustment	family	size_bin	>5Mb	136	completeness_MAGICC_minus_CheckM2	2.0762	0.1472	4.7329	3.0575	0.8039	5.2577
catalogue_weighted_no_nr_adjustment	family	size_bin	>5Mb	136	contamination_MAGICC_minus_CheckM2	-0.8872	-1.9476	0.2622	5.6232	1.7693	10.6986
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	<-1 (>=2x reduced)	6405	completeness_MAGICC_minus_CheckM2	-2.7596	-4.4746	-0.1561	-2.9569	-6.2553	0.0915
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	<-1 (>=2x reduced)	6405	contamination_MAGICC_minus_CheckM2	-0.2085	-0.5486	-0.0083	-0.5263	-1.1532	0.1139
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-1 to -0.5	4082	completeness_MAGICC_minus_CheckM2	-3.8698	-6.5271	-1.0918	-4.7497	-6.7814	-2.5673
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-1 to -0.5	4082	contamination_MAGICC_minus_CheckM2	-0.6946	-1.0553	-0.4068	-0.3789	-1.2230	0.7087
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-0.5 to -0.25	1766	completeness_MAGICC_minus_CheckM2	-1.1779	-4.3311	-0.0132	-2.6575	-4.9207	-0.4552
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-0.5 to -0.25	1766	contamination_MAGICC_minus_CheckM2	-0.6725	-1.1698	-0.3158	-0.3796	-1.4236	0.8716
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-0.25 to +0.25 (typical)	4150	completeness_MAGICC_minus_CheckM2	-1.9847	-3.9715	0.1670	-2.2660	-3.7746	-0.6819
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	-0.25 to +0.25 (typical)	4150	contamination_MAGICC_minus_CheckM2	-1.0095	-1.3813	-0.5743	-0.0717	-0.8142	0.7576
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	>+0.25 (larger than lineage)	2244	completeness_MAGICC_minus_CheckM2	0.7699	0.0498	1.3121	1.0268	-0.0598	2.2063
catalogue_weighted_no_nr_adjustment	family	lineage_reduction	>+0.25 (larger than lineage)	2244	contamination_MAGICC_minus_CheckM2	-0.8345	-1.1992	-0.3396	2.4580	1.0103	4.1445
catalogue_weighted_no_nr_adjustment	family	phylum	Actinobacteriota	973	completeness_MAGICC_minus_CheckM2	-1.5630	-5.1874	0.4270	-2.2174	-4.9367	0.1725
catalogue_weighted_no_nr_adjustment	family	phylum	Actinobacteriota	973	contamination_MAGICC_minus_CheckM2	-1.3191	-2.6605	-0.8284	-0.3474	-1.9134	1.9403
catalogue_weighted_no_nr_adjustment	family	phylum	Bacteroidota	363	completeness_MAGICC_minus_CheckM2	-1.3761	-4.3109	0.6932	-3.2376	-4.8572	-1.4101
catalogue_weighted_no_nr_adjustment	family	phylum	Bacteroidota	363	contamination_MAGICC_minus_CheckM2	-0.3427	-0.9460	-0.1812	0.0534	-0.9524	1.0027
catalogue_weighted_no_nr_adjustment	family	phylum	Firmicutes	1884	completeness_MAGICC_minus_CheckM2	-1.1779	-4.6825	0.9799	-2.0182	-7.5074	0.5402
catalogue_weighted_no_nr_adjustment	family	phylum	Firmicutes	1884	contamination_MAGICC_minus_CheckM2	-0.5197	-0.7141	-0.2033	0.7781	-0.9938	4.9532
catalogue_weighted_no_nr_adjustment	family	phylum	Firmicutes_A	2487	completeness_MAGICC_minus_CheckM2	-0.1983	-6.4181	3.5650	-0.2349	-4.3332	2.6094
catalogue_weighted_no_nr_adjustment	family	phylum	Firmicutes_A	2487	contamination_MAGICC_minus_CheckM2	-0.6648	-1.7609	-0.0685	0.7829	-1.2919	3.1211
catalogue_weighted_no_nr_adjustment	family	phylum	Firmicutes_C	412	completeness_MAGICC_minus_CheckM2	2.4935	-2.2675	6.8603	1.4755	-3.4682	6.9326
catalogue_weighted_no_nr_adjustment	family	phylum	Firmicutes_C	412	contamination_MAGICC_minus_CheckM2	-0.5570	-1.8364	0.4035	-1.7549	-3.4620	-0.0954
catalogue_weighted_no_nr_adjustment	family	phylum	Nanoarchaeota	670	completeness_MAGICC_minus_CheckM2	-8.8805	-19.1414	33.4160	-1.1479	-17.7428	17.7359
catalogue_weighted_no_nr_adjustment	family	phylum	Nanoarchaeota	670	contamination_MAGICC_minus_CheckM2	10.2866	1.8193	46.4368	19.4355	3.0180	33.7145
