accession	description	study_accession
GCA_902626785	AH-321-F04 assembly for uncultured prokaryote	PRJEB33281
GCA_902626805	AH-321-E22 assembly for uncultured prokaryote	PRJEB33281
GCA_902626825	AH-321-E23 assembly for uncultured prokaryote	PRJEB33281
GCA_902626835	AH-321-E14 assembly for uncultured prokaryote	PRJEB33281
GCA_902626845	AH-321-E15 assembly for uncultured prokaryote	PRJEB33281
GCA_902626855	AH-321-F02 assembly for uncultured prokaryote	PRJEB33281
GCA_902626875	AH-321-F17 assembly for uncultured prokaryote	PRJEB33281
GCA_902626965	AH-321-G03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902626975	AH-321-F20 assembly for uncultured Candidatus Marinamargulisbacteria bacterium	PRJEB33281
GCA_902626995	AH-321-G10 assembly for uncultured prokaryote	PRJEB33281
GCA_902627005	AH-321-G04 assembly for uncultured prokaryote	PRJEB33281
GCA_902627025	AH-321-G06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902627045	AH-321-G15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902627115	AH-321-I09 assembly for uncultured prokaryote	PRJEB33281
GCA_902627135	AH-321-I07 assembly for uncultured prokaryote	PRJEB33281
GCA_902627145	AH-321-I08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902627155	AH-321-I10 assembly for uncultured prokaryote	PRJEB33281
GCA_902627225	AH-321-I20 assembly for uncultured prokaryote	PRJEB33281
GCA_902627245	AH-321-J05 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902627275	AH-321-I22 assembly for uncultured prokaryote	PRJEB33281
GCA_902627345	AH-321-J15 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902627375	AH-321-J18 assembly for uncultured prokaryote	PRJEB33281
GCA_902627395	AH-321-K02 assembly for uncultured prokaryote	PRJEB33281
GCA_902627405	AH-321-J23 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902627425	AH-321-K04 assembly for uncultured prokaryote	PRJEB33281
GCA_902627445	AH-321-K03 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902627455	AH-321-J20 assembly for uncultured prokaryote	PRJEB33281
GCA_902627465	AH-321-K07 assembly for uncultured prokaryote	PRJEB33281
GCA_902627475	AH-321-K06 assembly for uncultured prokaryote	PRJEB33281
GCA_902627485	AH-321-K16 assembly for uncultured prokaryote	PRJEB33281
GCA_902627495	AH-321-K14 assembly for Hydrogenophilales bacterium	PRJEB33281
GCA_902627505	AH-321-K13 assembly for uncultured prokaryote	PRJEB33281
GCA_902627565	AH-321-K15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902627685	AH-321-L05 assembly for uncultured prokaryote	PRJEB33281
GCA_902627725	AH-321-L08 assembly for uncultured prokaryote	PRJEB33281
GCA_902627745	AH-321-M03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902627755	AH-321-M02 assembly for uncultured prokaryote	PRJEB33281
GCA_902627765	AH-321-M05 assembly for uncultured prokaryote	PRJEB33281
GCA_902627775	AH-321-M16 assembly for uncultured prokaryote	PRJEB33281
GCA_902627785	AH-321-M07 assembly for uncultured prokaryote	PRJEB33281
GCA_902627795	AH-321-M08 assembly for uncultured prokaryote	PRJEB33281
GCA_902627805	AH-321-M13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902628035	AH-321-N17 assembly for uncultured prokaryote	PRJEB33281
GCA_902628045	AH-321-N21 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902628055	AH-321-O04 assembly for uncultured prokaryote	PRJEB33281
GCA_902628065	AH-321-O07 assembly for uncultured prokaryote	PRJEB33281
GCA_902628075	AH-321-O13 assembly for uncultured prokaryote	PRJEB33281
GCA_902628085	AH-321-O14 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902628095	AH-321-N18 assembly for uncultured prokaryote	PRJEB33281
GCA_902628105	AH-321-O03 assembly for uncultured prokaryote	PRJEB33281
GCA_902628115	AH-321-O05 assembly for uncultured prokaryote	PRJEB33281
GCA_902628125	AH-321-O10 assembly for uncultured prokaryote	PRJEB33281
GCA_902628135	AH-321-O18 assembly for uncultured prokaryote	PRJEB33281
GCA_902628145	AH-321-O20 assembly for uncultured prokaryote	PRJEB33281
GCA_902628155	AH-321-O23 assembly for uncultured prokaryote	PRJEB33281
GCA_902628165	AH-321-O19 assembly for uncultured prokaryote	PRJEB33281
GCA_902628175	AH-321-O22 assembly for uncultured prokaryote	PRJEB33281
GCA_902628185	AH-321-P01 assembly for uncultured prokaryote	PRJEB33281
GCA_902628195	AH-321-P04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902628205	AH-321-P08 assembly for uncultured prokaryote	PRJEB33281
GCA_902628215	AH-321-P06 assembly for uncultured prokaryote	PRJEB33281
GCA_902628235	AH-321-P05 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902628245	AH-321-P18 assembly for uncultured prokaryote	PRJEB33281
GCA_902628265	AH-321-P11 assembly for uncultured prokaryote	PRJEB33281
GCA_902628285	AH-321-P14 assembly for uncultured prokaryote	PRJEB33281
GCA_902628485	AH-324-B21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902628495	AH-324-B10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902628505	AH-324-B15 assembly for uncultured prokaryote	PRJEB33281
GCA_902628515	AH-324-B05 assembly for uncultured prokaryote	PRJEB33281
GCA_902628525	AH-324-B08 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902628535	AH-324-B11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902628545	AH-324-B14 assembly for uncultured prokaryote	PRJEB33281
GCA_902628555	AH-324-B16 assembly for uncultured prokaryote	PRJEB33281
GCA_902628565	AH-324-B22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902628575	AH-324-C21 assembly for uncultured prokaryote	PRJEB33281
GCA_902628855	AH-324-F11 assembly for uncultured prokaryote	PRJEB33281
GCA_902628895	AH-324-F13 assembly for uncultured prokaryote	PRJEB33281
GCA_902628915	AH-324-F06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902628935	AH-324-F05 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902628955	AH-324-E20 assembly for uncultured prokaryote	PRJEB33281
GCA_902629005	AH-324-E23 assembly for uncultured prokaryote	PRJEB33281
GCA_902629025	AH-324-G06 assembly for uncultured prokaryote	PRJEB33281
GCA_902629065	AH-324-G23 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902629085	AH-324-I05 assembly for uncultured Gemmatimonadota bacterium	PRJEB33281
GCA_902629955	AH-324-N05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902629965	AH-324-M22 assembly for uncultured prokaryote	PRJEB33281
GCA_902630005	AH-324-N09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902630015	AH-324-N16 assembly for uncultured prokaryote	PRJEB33281
GCA_902630035	AH-324-N19 assembly for uncultured prokaryote	PRJEB33281
GCA_902630055	AH-324-O02 assembly for uncultured prokaryote	PRJEB33281
GCA_902630065	AH-324-O04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902630105	AH-324-P02 assembly for uncultured prokaryote	PRJEB33281
GCA_902630115	AH-324-P08 assembly for uncultured prokaryote	PRJEB33281
GCA_902630135	AH-324-O20 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902630155	AH-324-P01 assembly for uncultured prokaryote	PRJEB33281
GCA_902630175	AH-324-O06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902630195	AH-324-O18 assembly for uncultured prokaryote	PRJEB33281
GCA_902630215	AH-324-P07 assembly for uncultured prokaryote	PRJEB33281
GCA_902630225	AH-324-O13 assembly for uncultured prokaryote	PRJEB33281
GCA_902630235	AH-324-P10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902630245	AH-324-O05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902630255	AH-326-A06 assembly for uncultured prokaryote	PRJEB33281
GCA_902630295	AH-326-A04 assembly for uncultured prokaryote	PRJEB33281
GCA_902630305	AH-324-P16 assembly for uncultured Marinoscillum sp.	PRJEB33281
GCA_902630315	AH-324-P14 assembly for uncultured prokaryote	PRJEB33281
GCA_902630325	AH-326-A02 assembly for uncultured prokaryote	PRJEB33281
GCA_902630335	AH-326-A01 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902630355	AH-324-P18 assembly for Planctomycetaceae bacterium	PRJEB33281
GCA_902630375	AH-324-P17 assembly for uncultured prokaryote	PRJEB33281
GCA_902630395	AH-324-P11 assembly for uncultured prokaryote	PRJEB33281
GCA_902630415	AH-326-A09 assembly for uncultured prokaryote	PRJEB33281
GCA_902630435	AH-326-A11 assembly for uncultured prokaryote	PRJEB33281
GCA_902630455	AH-326-A21 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902630475	AH-326-B11 assembly for uncultured prokaryote	PRJEB33281
GCA_902630505	AH-326-A19 assembly for uncultured prokaryote	PRJEB33281
GCA_902630515	AH-326-A15 assembly for uncultured prokaryote	PRJEB33281
GCA_902630525	AH-326-B15 assembly for uncultured prokaryote	PRJEB33281
GCA_902630545	AH-326-B09 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902630555	AH-326-A17 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902630565	AH-326-B10 assembly for uncultured prokaryote	PRJEB33281
GCA_902630575	AH-326-A14 assembly for uncultured prokaryote	PRJEB33281
GCA_902630595	AH-326-B05 assembly for uncultured prokaryote	PRJEB33281
GCA_902630605	AH-326-B07 assembly for uncultured prokaryote	PRJEB33281
GCA_902630625	AH-326-A23 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902630635	AH-326-C04 assembly for uncultured prokaryote	PRJEB33281
GCA_902630655	AH-326-B23 assembly for uncultured prokaryote	PRJEB33281
GCA_902630675	AH-326-C07 assembly for uncultured prokaryote	PRJEB33281
GCA_902630715	AH-326-C06 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902630735	AH-326-B18 assembly for uncultured PS1 clade bacterium	PRJEB33281
GCA_902630745	AH-326-C05 assembly for uncultured prokaryote	PRJEB33281
GCA_902630765	AH-326-B20 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902630785	AH-326-C13 assembly for uncultured prokaryote	PRJEB33281
GCA_902630805	AH-326-C15 assembly for uncultured prokaryote	PRJEB33281
GCA_902630845	AH-326-C17 assembly for uncultured prokaryote	PRJEB33281
GCA_902630855	AH-326-C23 assembly for uncultured prokaryote	PRJEB33281
GCA_902630865	AH-326-C22 assembly for uncultured prokaryote	PRJEB33281
GCA_902630875	AH-326-D06 assembly for uncultured prokaryote	PRJEB33281
GCA_902630885	AH-326-D05 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902630895	AH-326-D07 assembly for uncultured prokaryote	PRJEB33281
GCA_902630905	AH-326-C20 assembly for uncultured prokaryote	PRJEB33281
GCA_902630935	AH-326-D11 assembly for uncultured prokaryote	PRJEB33281
GCA_902630955	AH-326-D21 assembly for uncultured prokaryote	PRJEB33281
GCA_902630995	AH-326-D13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902631015	AH-326-D10 assembly for uncultured prokaryote	PRJEB33281
GCA_902631025	AH-326-D08 assembly for uncultured prokaryote	PRJEB33281
GCA_902631035	AH-326-D20 assembly for uncultured prokaryote	PRJEB33281
GCA_902631045	AH-326-E04 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902631055	AH-326-E07 assembly for uncultured prokaryote	PRJEB33281
GCA_902631065	AH-326-E10 assembly for uncultured prokaryote	PRJEB33281
GCA_902631085	AH-326-E02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902631105	AH-326-E06 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902631115	AH-326-E08 assembly for uncultured prokaryote	PRJEB33281
GCA_902633855	AG-912-F21 assembly for uncultured OCS116 cluster bacterium	PRJEB33281
GCA_902633865	AG-912-I02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902633875	AG-430-L11 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902633895	AG-430-M13 assembly for uncultured prokaryote	PRJEB33281
GCA_902633905	AG-912-G03 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902633915	AG-430-M05 assembly for uncultured prokaryote	PRJEB33281
GCA_902633955	AG-912-I15 assembly for uncultured prokaryote	PRJEB33281
GCA_902633965	AG-912-F15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902633975	AG-426-P19 assembly for uncultured Marinoscillum sp.	PRJEB33281
GCA_902634005	AG-912-I20 assembly for uncultured prokaryote	PRJEB33281
GCA_902634015	AG-912-I11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634025	AG-912-F17 assembly for uncultured prokaryote	PRJEB33281
GCA_902634055	AG-913-F04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634065	AG-435-J10 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902634085	AG-913-F05 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634115	AG-435-M16 assembly for uncultured prokaryote	PRJEB33281
GCA_902634135	AG-435-C06 assembly for uncultured Marinoscillum sp.	PRJEB33281
GCA_902634145	AG-435-F21 assembly for uncultured prokaryote	PRJEB33281
GCA_902634195	AG-913-F09 assembly for uncultured prokaryote	PRJEB33281
GCA_902634225	AG-913-E21 assembly for uncultured prokaryote	PRJEB33281
GCA_902634235	AG-913-M06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634255	AG-439-B03 assembly for uncultured prokaryote	PRJEB33281
GCA_902634345	AG-439-A18 assembly for uncultured prokaryote	PRJEB33281
GCA_902634365	AG-913-O13 assembly for uncultured prokaryote	PRJEB33281
GCA_902634375	AG-439-A09 assembly for uncultured prokaryote	PRJEB33281
GCA_902634385	AG-435-O22 assembly for uncultured prokaryote	PRJEB33281
GCA_902634395	AG-435-J15 assembly for uncultured prokaryote	PRJEB33281
GCA_902634445	AG-914-D10 assembly for uncultured prokaryote	PRJEB33281
GCA_902634455	AG-439-I19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634495	AG-914-A15 assembly for uncultured prokaryote	PRJEB33281
GCA_902634505	AG-914-E02 assembly for uncultured prokaryote	PRJEB33281
GCA_902634525	AG-914-D13 assembly for uncultured prokaryote	PRJEB33281
GCA_902634535	AG-913-O18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634585	AG-439-I15 assembly for uncultured prokaryote	PRJEB33281
GCA_902634615	AG-439-L06 assembly for uncultured prokaryote	PRJEB33281
GCA_902634675	AG-914-E21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634685	AG-914-E19 assembly for uncultured prokaryote	PRJEB33281
GCA_902634765	AG-914-G18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634775	AG-914-G10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634785	AG-914-G20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634795	AG-439-L12 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902634845	AG-439-M09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634905	AG-439-N15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902634965	AG-914-J20 assembly for uncultured prokaryote	PRJEB33281
GCA_902634975	AG-914-J13 assembly for uncultured prokaryote	PRJEB33281
GCA_902634985	AG-439-O12 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902635045	AG-914-M02 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902635055	AG-914-L19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902635115	AG-447-A01 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902635185	AG-914-O20 assembly for uncultured prokaryote	PRJEB33281
GCA_902635235	AG-914-O21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902635255	AG-447-C10 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902635305	AG-915-A21 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902635335	AG-915-C03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902635395	AG-915-F11 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902635405	AG-447-G02 assembly for uncultured prokaryote	PRJEB33281
GCA_902635425	AG-915-E04 assembly for uncultured prokaryote	PRJEB33281
GCA_902635455	AG-447-I04 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902635475	AG-447-F23 assembly for uncultured prokaryote	PRJEB33281
GCA_902635495	AG-915-F10 assembly for uncultured prokaryote	PRJEB33281
GCA_902635615	AG-447-K16 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902635675	AG-447-L08 assembly for uncultured prokaryote	PRJEB33281
GCA_902635715	AG-915-M05 assembly for uncultured prokaryote	PRJEB33281
GCA_902635765	AG-447-N04 assembly for uncultured Formosa sp.	PRJEB33281
GCA_902635795	AG-915-N04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902635845	AG-447-N02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902635855	AG-915-M08 assembly for uncultured prokaryote	PRJEB33281
GCA_902635885	AG-915-P20 assembly for uncultured prokaryote	PRJEB33281
GCA_902635995	AG-453-A01 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902636005	AG-915-P23 assembly for uncultured prokaryote	PRJEB33281
GCA_902636035	AG-453-A03 assembly for uncultured Fidelibacterota bacterium	PRJEB33281
GCA_902636045	AG-916-B08 assembly for uncultured prokaryote	PRJEB33281
GCA_902636055	AG-453-C05 assembly for uncultured Marinoscillum sp.	PRJEB33281
GCA_902636075	AG-916-B15 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902636085	AG-916-D14 assembly for uncultured prokaryote	PRJEB33281
GCA_902636125	AG-453-B18 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902636195	AG-453-C21 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902636215	AG-453-C16 assembly for uncultured prokaryote	PRJEB33281
GCA_902636265	AG-453-D03 assembly for uncultured Marinoscillum sp.	PRJEB33281
GCA_902651035	AG-360-J03 assembly for uncultured prokaryote	PRJEB33281
GCA_902651095	AG-464-G22 assembly for uncultured prokaryote	PRJEB33281
GCA_902651115	AG-447-A15 assembly for uncultured prokaryote	PRJEB33281
GCA_902651125	AG-464-M09 assembly for uncultured prokaryote	PRJEB33281
GCA_902651135	AG-410-I11 assembly for uncultured prokaryote	PRJEB33281
GCA_902651155	AG-410-N19 assembly for uncultured prokaryote	PRJEB33281
GCA_902651175	AG-447-E13 assembly for uncultured prokaryote	PRJEB33281
GCA_902651245	AG-893-J22 assembly for uncultured prokaryote	PRJEB33281
GCA_902651275	AG-900-F07 assembly for uncultured prokaryote	PRJEB33281
GCA_902651315	AG-893-D13 assembly for uncultured prokaryote	PRJEB33281
GCA_902651345	AG-904-K02 assembly for uncultured prokaryote	PRJEB33281
GCA_902651355	AG-907-J13 assembly for uncultured prokaryote	PRJEB33281
GCA_902651365	AG-899-O10 assembly for uncultured prokaryote	PRJEB33281
GCA_902651495	AG-920-B08 assembly for uncultured prokaryote	PRJEB33281
GCA_902651565	AG-911-O14 assembly for uncultured prokaryote	PRJEB33281
GCA_902651575	AG-907-N05 assembly for uncultured prokaryote	PRJEB33281
GCA_902651585	AG-907-E17 assembly for uncultured prokaryote	PRJEB33281
GCA_902651595	AG-912-L06 assembly for uncultured prokaryote	PRJEB33281
GCA_902509635	AG-313-A06 assembly for uncultured prokaryote	PRJEB33281
GCA_902509655	AG-313-A13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902509665	AG-313-A04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902509675	AG-313-A15 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902509685	AG-313-A20 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902509735	AG-313-A23 assembly for uncultured prokaryote	PRJEB33281
GCA_902509745	AG-313-A19 assembly for uncultured prokaryote	PRJEB33281
GCA_902509755	AG-313-B21 assembly for uncultured prokaryote	PRJEB33281
GCA_902509765	AG-313-B20 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902509775	AG-313-C03 assembly for uncultured prokaryote	PRJEB33281
GCA_902509785	AG-313-C07 assembly for uncultured prokaryote	PRJEB33281
GCA_902509825	AG-313-C05 assembly for uncultured Psychroserpens sp.	PRJEB33281
GCA_902509845	AG-313-B05 assembly for uncultured prokaryote	PRJEB33281
GCA_902509855	AG-313-B13 assembly for uncultured prokaryote	PRJEB33281
GCA_902509865	AG-313-B19 assembly for uncultured prokaryote	PRJEB33281
GCA_902509875	AG-313-B15 assembly for uncultured prokaryote	PRJEB33281
GCA_902509885	AG-313-B10 assembly for uncultured prokaryote	PRJEB33281
GCA_902509935	AG-313-B08 assembly for uncultured prokaryote	PRJEB33281
GCA_902509945	AG-313-B14 assembly for uncultured prokaryote	PRJEB33281
GCA_902509955	AG-313-D03 assembly for uncultured prokaryote	PRJEB33281
GCA_902509965	AG-313-D02 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902509975	AG-313-D08 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902509985	AG-313-C14 assembly for uncultured prokaryote	PRJEB33281
GCA_902509995	AG-313-D14 assembly for uncultured prokaryote	PRJEB33281
GCA_902510005	AG-313-D15 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902510015	AG-313-C20 assembly for uncultured prokaryote	PRJEB33281
GCA_902510025	AG-313-D09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902510035	AG-313-D17 assembly for uncultured prokaryote	PRJEB33281
GCA_902510055	AG-313-C18 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902510065	AG-313-C13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902510075	AG-313-D06 assembly for uncultured prokaryote	PRJEB33281
GCA_902510085	AG-313-D04 assembly for uncultured prokaryote	PRJEB33281
GCA_902510095	AG-313-D16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902510145	AG-313-D11 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902510155	AG-313-E14 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902510175	AG-313-E21 assembly for uncultured prokaryote	PRJEB33281
GCA_902510185	AG-313-F04 assembly for uncultured prokaryote	PRJEB33281
GCA_902510195	AG-313-E06 assembly for uncultured prokaryote	PRJEB33281
GCA_902510225	AG-313-D20 assembly for uncultured prokaryote	PRJEB33281
GCA_902510255	AG-313-E16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902510265	AG-313-F19 assembly for uncultured prokaryote	PRJEB33281
GCA_902510285	AG-313-F18 assembly for uncultured prokaryote	PRJEB33281
GCA_902510305	AG-313-G22 assembly for uncultured prokaryote	PRJEB33281
GCA_902510325	AG-313-G10 assembly for uncultured prokaryote	PRJEB33281
GCA_902510395	AG-313-G08 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902510405	AG-313-F20 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902510465	AG-313-I06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902510475	AG-313-I08 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902510485	AG-313-I17 assembly for uncultured prokaryote	PRJEB33281
GCA_902510525	AG-313-I11 assembly for uncultured prokaryote	PRJEB33281
GCA_902510535	AG-313-J05 assembly for uncultured prokaryote	PRJEB33281
GCA_902510575	AG-313-J10 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902510585	AG-313-I07 assembly for uncultured prokaryote	PRJEB33281
GCA_902510605	AG-313-I22 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902510615	AG-313-J06 assembly for uncultured prokaryote	PRJEB33281
GCA_902510645	AG-313-I19 assembly for uncultured prokaryote	PRJEB33281
GCA_902510665	AG-313-J16 assembly for uncultured prokaryote	PRJEB33281
GCA_902510695	AG-313-J19 assembly for uncultured prokaryote	PRJEB33281
GCA_902510725	AG-313-J13 assembly for uncultured prokaryote	PRJEB33281
GCA_902510745	AG-313-K09 assembly for uncultured prokaryote	PRJEB33281
GCA_902510795	AG-313-L08 assembly for uncultured prokaryote	PRJEB33281
GCA_902510815	AG-313-K16 assembly for uncultured Verrucomicrobiota bacterium	PRJEB33281
GCA_902510825	AG-313-L06 assembly for uncultured prokaryote	PRJEB33281
GCA_902510855	AG-313-K15 assembly for uncultured prokaryote	PRJEB33281
GCA_902510885	AG-313-K17 assembly for uncultured prokaryote	PRJEB33281
GCA_902510905	AG-313-K13 assembly for uncultured prokaryote	PRJEB33281
GCA_902510935	AG-313-L04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902510965	AG-313-L19 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902510975	AG-313-L15 assembly for uncultured prokaryote	PRJEB33281
GCA_902511005	AG-313-L18 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902511035	AG-313-L20 assembly for uncultured prokaryote	PRJEB33281
GCA_902511115	AG-313-N03 assembly for uncultured prokaryote	PRJEB33281
GCA_902511175	AG-313-N07 assembly for uncultured prokaryote	PRJEB33281
GCA_902511205	AG-313-N04 assembly for uncultured prokaryote	PRJEB33281
GCA_902511235	AG-313-M08 assembly for uncultured prokaryote	PRJEB33281
GCA_902511245	AG-313-M18 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902511305	AG-313-N21 assembly for uncultured prokaryote	PRJEB33281
GCA_902511325	AG-313-N15 assembly for uncultured prokaryote	PRJEB33281
GCA_902511355	AG-313-N18 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902511365	AG-313-O05 assembly for uncultured prokaryote	PRJEB33281
GCA_902511375	AG-313-O04 assembly for uncultured prokaryote	PRJEB33281
GCA_902511395	AG-313-N16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902511405	AG-313-N13 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902511415	AG-313-O10 assembly for uncultured prokaryote	PRJEB33281
GCA_902511485	AG-313-O16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902511515	AG-313-P18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902511525	AG-313-P07 assembly for uncultured prokaryote	PRJEB33281
GCA_902511535	AG-313-O23 assembly for uncultured prokaryote	PRJEB33281
GCA_902511555	AG-313-P20 assembly for uncultured prokaryote	PRJEB33281
GCA_902511605	AG-313-P13 assembly for uncultured prokaryote	PRJEB33281
GCA_902511645	AG-313-P02 assembly for uncultured prokaryote	PRJEB33281
GCA_902511695	AG-319-A04 assembly for uncultured prokaryote	PRJEB33281
GCA_902511715	AG-319-A05 assembly for uncultured prokaryote	PRJEB33281
