accession	description	study_accession
GCA_902511015	AG-313-L22 assembly for uncultured prokaryote	PRJEB33281
GCA_902511025	AG-313-L21 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902511045	AG-313-M07 assembly for uncultured prokaryote	PRJEB33281
GCA_902511055	AG-313-L23 assembly for uncultured prokaryote	PRJEB33281
GCA_902511065	AG-313-M05 assembly for uncultured prokaryote	PRJEB33281
GCA_902511075	AG-313-M06 assembly for uncultured prokaryote	PRJEB33281
GCA_902511085	AG-313-M04 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902511095	AG-313-M02 assembly for uncultured prokaryote	PRJEB33281
GCA_902511105	AG-313-M16 assembly for Paracoccaceae bacterium	PRJEB33281
GCA_902511125	AG-313-M22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902511135	AG-313-M09 assembly for uncultured prokaryote	PRJEB33281
GCA_902511145	AG-313-M11 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902511155	AG-313-M20 assembly for uncultured prokaryote	PRJEB33281
GCA_902511165	AG-313-N02 assembly for uncultured prokaryote	PRJEB33281
GCA_902511185	AG-313-M10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902511195	AG-313-M14 assembly for uncultured prokaryote	PRJEB33281
GCA_902511215	AG-313-M21 assembly for uncultured prokaryote	PRJEB33281
GCA_902511225	AG-313-N06 assembly for uncultured prokaryote	PRJEB33281
GCA_902511255	AG-313-N05 assembly for uncultured prokaryote	PRJEB33281
GCA_902511265	AG-313-N11 assembly for uncultured Roseibacillus sp.	PRJEB33281
GCA_902511275	AG-313-N14 assembly for uncultured prokaryote	PRJEB33281
GCA_902511285	AG-313-N17 assembly for uncultured prokaryote	PRJEB33281
GCA_902511295	AG-313-O03 assembly for uncultured prokaryote	PRJEB33281
GCA_902511315	AG-313-N19 assembly for uncultured prokaryote	PRJEB33281
GCA_902511335	AG-313-O06 assembly for uncultured prokaryote	PRJEB33281
GCA_902511345	AG-313-N20 assembly for uncultured prokaryote	PRJEB33281
GCA_902511385	AG-313-N22 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902511425	AG-313-O08 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902511435	AG-313-O09 assembly for uncultured prokaryote	PRJEB33281
GCA_902511445	AG-313-O21 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902511455	AG-313-O22 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902511465	AG-313-O13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902511475	AG-313-O17 assembly for uncultured prokaryote	PRJEB33281
GCA_902511495	AG-313-O19 assembly for uncultured prokaryote	PRJEB33281
GCA_902511505	AG-313-P09 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902511545	AG-313-P06 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902511565	AG-313-P15 assembly for uncultured prokaryote	PRJEB33281
GCA_902511575	AG-313-P16 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902511585	AG-313-P08 assembly for uncultured prokaryote	PRJEB33281
GCA_902511595	AG-313-P05 assembly for uncultured prokaryote	PRJEB33281
GCA_902511615	AG-313-P14 assembly for uncultured prokaryote	PRJEB33281
GCA_902511625	AG-313-P22 assembly for uncultured prokaryote	PRJEB33281
GCA_902511635	AG-313-P19 assembly for uncultured prokaryote	PRJEB33281
GCA_902511655	AG-313-P17 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902511665	AG-313-P01 assembly for uncultured prokaryote	PRJEB33281
GCA_902511675	AG-313-L16 assembly for uncultured SAR92 cluster bacterium	PRJEB33281
GCA_902511685	AG-313-L17 assembly for uncultured prokaryote	PRJEB33281
GCA_902511705	AG-319-A07 assembly for uncultured prokaryote	PRJEB33281
GCA_902511725	AG-319-A02 assembly for uncultured prokaryote	PRJEB33281
GCA_902511745	AG-319-A06 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902511755	AG-319-A09 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902511775	AG-319-A11 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902511785	AG-319-A10 assembly for uncultured prokaryote	PRJEB33281
GCA_902511805	AG-319-A14 assembly for uncultured prokaryote	PRJEB33281
GCA_902511815	AG-319-A19 assembly for uncultured prokaryote	PRJEB33281
GCA_902511825	AG-319-A17 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902511835	AG-319-A15 assembly for uncultured prokaryote	PRJEB33281
GCA_902511855	AG-319-A18 assembly for uncultured prokaryote	PRJEB33281
GCA_902511865	AG-319-A22 assembly for uncultured prokaryote	PRJEB33281
GCA_902511885	AG-319-B03 assembly for uncultured prokaryote	PRJEB33281
GCA_902511895	AG-319-B02 assembly for uncultured prokaryote	PRJEB33281
GCA_902511925	AG-319-B11 assembly for uncultured prokaryote	PRJEB33281
GCA_902511935	AG-319-B18 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902511945	AG-319-B14 assembly for uncultured Verrucomicrobiota bacterium	PRJEB33281
GCA_902511965	AG-319-B16 assembly for uncultured prokaryote	PRJEB33281
GCA_902511975	AG-319-B07 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902512065	AG-319-B23 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902512075	AG-319-C06 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902512085	AG-319-B20 assembly for uncultured prokaryote	PRJEB33281
GCA_902512105	AG-319-C04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902512115	AG-319-C09 assembly for uncultured prokaryote	PRJEB33281
GCA_902512145	AG-319-C10 assembly for uncultured prokaryote	PRJEB33281
GCA_902512155	AG-319-C13 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902512175	AG-319-C14 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902512185	AG-319-C15 assembly for uncultured prokaryote	PRJEB33281
GCA_902512195	AG-319-C20 assembly for uncultured prokaryote	PRJEB33281
GCA_902512235	AG-319-C19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902512245	AG-319-C16 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902512265	AG-319-C17 assembly for uncultured prokaryote	PRJEB33281
GCA_902512285	AG-319-D13 assembly for uncultured prokaryote	PRJEB33281
GCA_902512305	AG-319-D09 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902512315	AG-319-D11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902512345	AG-319-D10 assembly for uncultured prokaryote	PRJEB33281
GCA_902512355	AG-319-D15 assembly for uncultured prokaryote	PRJEB33281
GCA_902512375	AG-319-D05 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902512395	AG-319-E04 assembly for uncultured prokaryote	PRJEB33281
GCA_902512405	AG-319-D18 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902512425	AG-319-D20 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902512435	AG-319-E05 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902512455	AG-319-D23 assembly for uncultured prokaryote	PRJEB33281
GCA_902512465	AG-319-D22 assembly for uncultured prokaryote	PRJEB33281
GCA_902512485	AG-319-E10 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902512495	AG-319-E14 assembly for uncultured prokaryote	PRJEB33281
GCA_902512525	AG-319-E11 assembly for uncultured prokaryote	PRJEB33281
GCA_902512535	AG-319-E07 assembly for uncultured prokaryote	PRJEB33281
GCA_902512565	AG-319-E06 assembly for uncultured prokaryote	PRJEB33281
GCA_902512575	AG-319-F02 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902512595	AG-319-F04 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902512605	AG-319-E20 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902512625	AG-319-E18 assembly for uncultured prokaryote	PRJEB33281
GCA_902512635	AG-319-E17 assembly for uncultured prokaryote	PRJEB33281
GCA_902512645	AG-319-E19 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902512665	AG-319-E23 assembly for uncultured prokaryote	PRJEB33281
GCA_902512685	AG-319-F15 assembly for Paracoccaceae bacterium	PRJEB33281
GCA_902512705	AG-319-F06 assembly for uncultured prokaryote	PRJEB33281
GCA_902512725	AG-319-F10 assembly for uncultured prokaryote	PRJEB33281
GCA_902512735	AG-319-F14 assembly for uncultured prokaryote	PRJEB33281
GCA_902512745	AG-319-F18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902512775	AG-319-G14 assembly for uncultured Cryomorphaceae bacterium	PRJEB33281
GCA_902512785	AG-319-G06 assembly for uncultured prokaryote	PRJEB33281
GCA_902512805	AG-319-G18 assembly for uncultured prokaryote	PRJEB33281
GCA_902512815	AG-319-G15 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902512865	AG-319-F19 assembly for uncultured marine group I thaumarchaeote	PRJEB33281
GCA_902512875	AG-319-F20 assembly for uncultured prokaryote	PRJEB33281
GCA_902512885	AG-319-G11 assembly for uncultured prokaryote	PRJEB33281
GCA_902512915	AG-319-G09 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902512935	AG-319-G05 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902512955	AG-319-G19 assembly for uncultured prokaryote	PRJEB33281
GCA_902512965	AG-319-G17 assembly for uncultured prokaryote	PRJEB33281
GCA_902512975	AG-319-I02 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902512995	AG-319-I03 assembly for uncultured OM43 clade bacterium	PRJEB33281
GCA_902513005	AG-319-I06 assembly for uncultured Cryomorphaceae bacterium	PRJEB33281
GCA_902513035	AG-319-I19 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902513045	AG-319-I05 assembly for uncultured prokaryote	PRJEB33281
GCA_902513055	AG-319-I15 assembly for uncultured prokaryote	PRJEB33281
GCA_902513065	AG-319-I04 assembly for uncultured Gammaproteobacteria bacterium	PRJEB33281
GCA_902513075	AG-319-I07 assembly for uncultured Candidatus Poseidoniales archaeon	PRJEB33281
GCA_902513095	AG-319-G21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902513105	AG-319-G22 assembly for uncultured prokaryote	PRJEB33281
GCA_902513115	AG-319-I14 assembly for uncultured prokaryote	PRJEB33281
GCA_902513125	AG-319-I10 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902513135	AG-319-I16 assembly for uncultured prokaryote	PRJEB33281
GCA_902513145	AG-319-I17 assembly for uncultured prokaryote	PRJEB33281
GCA_902513265	AG-319-J09 assembly for uncultured prokaryote	PRJEB33281
GCA_902513275	AG-319-J06 assembly for uncultured prokaryote	PRJEB33281
GCA_902513285	AG-319-J03 assembly for uncultured prokaryote	PRJEB33281
GCA_902513295	AG-319-J18 assembly for uncultured SAR92 cluster bacterium	PRJEB33281
GCA_902513305	AG-319-J02 assembly for uncultured prokaryote	PRJEB33281
GCA_902513315	AG-319-J15 assembly for uncultured prokaryote	PRJEB33281
GCA_902513325	AG-319-J11 assembly for uncultured prokaryote	PRJEB33281
GCA_902513335	AG-319-J05 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902513345	AG-319-J17 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902513415	AG-319-K04 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902513455	AG-319-K11 assembly for uncultured prokaryote	PRJEB33281
GCA_902513465	AG-319-K09 assembly for uncultured prokaryote	PRJEB33281
GCA_902513505	AG-319-K15 assembly for uncultured prokaryote	PRJEB33281
GCA_902513535	AG-319-K21 assembly for uncultured prokaryote	PRJEB33281
GCA_902513545	AG-319-K14 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902513555	AG-319-K13 assembly for uncultured prokaryote	PRJEB33281
GCA_902513565	AG-319-K20 assembly for uncultured prokaryote	PRJEB33281
GCA_902513575	AG-319-L02 assembly for uncultured prokaryote	PRJEB33281
GCA_902513585	AG-319-L03 assembly for uncultured prokaryote	PRJEB33281
GCA_902513635	AG-319-L22 assembly for uncultured prokaryote	PRJEB33281
GCA_902513665	AG-319-L06 assembly for uncultured prokaryote	PRJEB33281
GCA_902513675	AG-319-L18 assembly for uncultured prokaryote	PRJEB33281
GCA_902513785	AG-319-L23 assembly for uncultured prokaryote	PRJEB33281
GCA_902513795	AG-319-L07 assembly for uncultured prokaryote	PRJEB33281
GCA_902513805	AG-319-M21 assembly for uncultured prokaryote	PRJEB33281
GCA_902513815	AG-319-M23 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902513825	AG-319-M22 assembly for uncultured prokaryote	PRJEB33281
GCA_902513845	AG-319-M07 assembly for uncultured prokaryote	PRJEB33281
GCA_902513865	AG-319-M13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902513875	AG-319-M15 assembly for uncultured prokaryote	PRJEB33281
GCA_902513885	AG-319-M06 assembly for uncultured prokaryote	PRJEB33281
GCA_902513905	AG-319-M09 assembly for uncultured marine group I thaumarchaeote	PRJEB33281
GCA_902513925	AG-319-M16 assembly for uncultured prokaryote	PRJEB33281
GCA_902513935	AG-319-M03 assembly for uncultured SAR324 cluster bacterium	PRJEB33281
GCA_902514005	AG-319-N09 assembly for uncultured prokaryote	PRJEB33281
GCA_902514015	AG-319-N07 assembly for uncultured prokaryote	PRJEB33281
GCA_902514045	AG-319-N11 assembly for uncultured prokaryote	PRJEB33281
GCA_902514055	AG-319-N05 assembly for uncultured prokaryote	PRJEB33281
GCA_902514065	AG-319-N10 assembly for uncultured prokaryote	PRJEB33281
GCA_902514075	AG-319-N13 assembly for uncultured prokaryote	PRJEB33281
GCA_902514085	AG-319-O02 assembly for uncultured prokaryote	PRJEB33281
GCA_902514095	AG-319-N20 assembly for uncultured marine group I thaumarchaeote	PRJEB33281
GCA_902514115	AG-319-O05 assembly for uncultured prokaryote	PRJEB33281
GCA_902514125	AG-319-N18 assembly for uncultured prokaryote	PRJEB33281
GCA_902514145	AG-319-O06 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902514165	AG-319-O04 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902514175	AG-319-O03 assembly for uncultured prokaryote	PRJEB33281
GCA_902514185	AG-319-N21 assembly for uncultured prokaryote	PRJEB33281
GCA_902514195	AG-319-O08 assembly for uncultured prokaryote	PRJEB33281
GCA_902514205	AG-319-N22 assembly for uncultured prokaryote	PRJEB33281
GCA_902514215	AG-319-N14 assembly for uncultured prokaryote	PRJEB33281
GCA_902514235	AG-319-N17 assembly for uncultured prokaryote	PRJEB33281
GCA_902514245	AG-319-O16 assembly for uncultured prokaryote	PRJEB33281
GCA_902514255	AG-319-O14 assembly for uncultured prokaryote	PRJEB33281
GCA_902514265	AG-319-O20 assembly for uncultured prokaryote	PRJEB33281
GCA_902514295	AG-319-O13 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902514305	AG-319-O10 assembly for uncultured Cryomorphaceae bacterium	PRJEB33281
GCA_902514315	AG-319-O19 assembly for uncultured prokaryote	PRJEB33281
GCA_902514325	AG-319-O15 assembly for uncultured prokaryote	PRJEB33281
GCA_902514335	AG-319-O21 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902514345	AG-319-O11 assembly for uncultured prokaryote	PRJEB33281
GCA_902514355	AG-319-O18 assembly for uncultured prokaryote	PRJEB33281
GCA_902514365	AG-319-P02 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902514455	AG-319-P05 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902514495	AG-319-P18 assembly for uncultured Candidatus Actinomarina sp.	PRJEB33281
GCA_902514555	AG-319-P21 assembly for uncultured SAR92 cluster bacterium	PRJEB33281
GCA_902514565	AG-325-A02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514575	AG-319-P22 assembly for uncultured prokaryote	PRJEB33281
GCA_902514585	AG-325-A01 assembly for uncultured prokaryote	PRJEB33281
GCA_902514675	AG-325-A15 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902514685	AG-325-A14 assembly for uncultured prokaryote	PRJEB33281
GCA_902514695	AG-325-A11 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514705	AG-325-A19 assembly for uncultured prokaryote	PRJEB33281
GCA_902514715	AG-325-A07 assembly for uncultured prokaryote	PRJEB33281
GCA_902514725	AG-325-A08 assembly for uncultured prokaryote	PRJEB33281
GCA_902514755	AG-325-A21 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514765	AG-325-B03 assembly for uncultured SAR86 cluster bacterium	PRJEB33281
GCA_902514805	AG-325-B10 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514815	AG-325-B05 assembly for uncultured prokaryote	PRJEB33281
GCA_902514825	AG-325-B08 assembly for uncultured prokaryote	PRJEB33281
GCA_902514835	AG-325-B06 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902514845	AG-325-B07 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902514855	AG-325-B09 assembly for uncultured prokaryote	PRJEB33281
GCA_902514865	AG-325-B04 assembly for uncultured SAR116 cluster alpha proteobacterium	PRJEB33281
GCA_902514905	AG-325-C04 assembly for uncultured prokaryote	PRJEB33281
GCA_902514915	AG-325-B18 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514925	AG-325-C02 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514955	AG-325-C03 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902514995	AG-325-C08 assembly for uncultured prokaryote	PRJEB33281
GCA_902515135	AG-325-C20 assembly for uncultured prokaryote	PRJEB33281
GCA_902515165	AG-325-D04 assembly for uncultured Synechococcaceae cyanobacterium	PRJEB33281
GCA_902515245	AG-325-D15 assembly for uncultured prokaryote	PRJEB33281
GCA_902515255	AG-325-D14 assembly for uncultured prokaryote	PRJEB33281
GCA_902515265	AG-325-D13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515275	AG-325-D17 assembly for uncultured prokaryote	PRJEB33281
GCA_902515285	AG-325-D16 assembly for uncultured Alphaproteobacteria bacterium	PRJEB33281
GCA_902515295	AG-325-D18 assembly for uncultured prokaryote	PRJEB33281
GCA_902515305	AG-325-D19 assembly for uncultured prokaryote	PRJEB33281
GCA_902515315	AG-325-D22 assembly for uncultured prokaryote	PRJEB33281
GCA_902515325	AG-325-E03 assembly for uncultured prokaryote	PRJEB33281
GCA_902515505	AG-325-E18 assembly for uncultured Prochlorococcus sp.	PRJEB33281
GCA_902515515	AG-325-E13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515525	AG-313-E09 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515555	AG-325-F09 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902515565	AG-313-E13 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902515575	AG-325-F10 assembly for uncultured prokaryote	PRJEB33281
GCA_902515585	AG-325-F04 assembly for uncultured Bacteroidota bacterium	PRJEB33281
GCA_902515595	AG-325-E23 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515605	AG-325-F13 assembly for uncultured Pelagibacteraceae bacterium	PRJEB33281
GCA_902515645	AG-325-E21 assembly for uncultured prokaryote	PRJEB33281
