set	db	db_label	power_stratum	score	n	n_clusters	spearman_rho_vs_true_contamination	spearman_ci_lo	spearman_ci_hi	p_naive_genome_level	p_cluster_level	auroc_ge5pct	auroc_ge5pct_ci_lo	auroc_ge5pct_ci_hi	auroc_ge10pct	auroc_ge10pct_ci_lo	auroc_ge10pct_ci_hi	p_cluster_level_bh
set_C_clean	gtdb_95	GTDB r95	all	GUNC 1.1.1 contamination_portion	1000	100	0.8466	0.817	0.872	1.4842574038933842e-275	1.3756200229134002e-28	0.9876	0.98	0.9942	0.9855	0.9777	0.9921	2.8298469042789947e-28
set_C_clean	gtdb_95	GTDB r95	all	MAGICC V5 predicted contamination	1000	100	0.8915	0.8582	0.919	0.0	1.758251117468879e-35	0.9574	0.9373	0.9766	0.9651	0.9507	0.9782	4.2198026819253094e-35
set_C_clean	gtdb_95	GTDB r95	all	CheckM2 predicted contamination	1000	100	0.6103	0.5617	0.653	4.4576555370270804e-103	1.577870807043248e-11	0.9082	0.8777	0.9347	0.8976	0.873	0.9212	2.4697108284155188e-11
set_C_clean	gtdb_95	GTDB r95	powered	GUNC 1.1.1 CSS	880	100	0.1	0.0162	0.1771	0.0029811029348256616	0.322222224233513	0.7815	0.6716	0.8799	0.6366	0.5567	0.7093	0.33623188615670924
set_C_clean	gtdb_95	GTDB r95	powered	GUNC 1.1.1 contamination_portion	880	100	0.8365	0.8009	0.8667	1.2474305462103237e-231	2.3692549095012796e-27	0.9955	0.9903	0.9991	0.9936	0.9888	0.9972	4.610441986056544e-27
set_C_clean	gtdb_95	GTDB r95	powered	MAGICC V5 predicted contamination	880	100	0.8907	0.8594	0.9158	6.18010933060534e-303	2.46729518642603e-35	0.9668	0.9389	0.989	0.9683	0.9505	0.9847	5.730492045892715e-35
set_C_clean	gtdb_95	GTDB r95	powered	CheckM2 predicted contamination	880	100	0.5822	0.5302	0.6325	5.350643671023532e-81	2.09620452199163e-10	0.9114	0.8712	0.9447	0.9113	0.8838	0.9365	3.144306782987445e-10
set_C_clean	gtdb_95	GTDB r95	unpowered	GUNC 1.1.1 CSS	120	39	0.4658	0.2589	0.6442	8.29889489781234e-08	0.0028072838851953786	0.8547	0.744	0.9537	0.805	0.6878	0.9015	0.0034258379615943603
set_C_clean	gtdb_95	GTDB r95	unpowered	GUNC 1.1.1 contamination_portion	120	39	0.8131	0.6427	0.9332	1.6680859859537305e-29	3.1910755575702315e-10	0.9488	0.9005	0.9804	0.9345	0.8781	0.9741	4.688927349899115e-10
set_C_clean	gtdb_95	GTDB r95	unpowered	MAGICC V5 predicted contamination	120	39	0.8558	0.7852	0.9072	1.4307307203245863e-35	3.871021236597689e-12	0.8725	0.7988	0.9408	0.9193	0.8656	0.962	6.334398387159855e-12
set_C_clean	gtdb_95	GTDB r95	unpowered	CheckM2 predicted contamination	120	39	0.7523	0.6811	0.8038	4.006864709866048e-23	3.353215651916351e-08	0.8778	0.8025	0.9379	0.8413	0.7573	0.9074	4.733951508587789e-08
set_D_clean	progenomes_2.1	proGenomes 2.1	all	GUNC 1.1.1 CSS	1000	100	0.1028	0.0405	0.1677	0.0011313478108643032	0.30874596521091147	0.7029	0.6304	0.7775	0.5926	0.5384	0.6494	0.3269074925762592
set_D_clean	progenomes_2.1	proGenomes 2.1	all	GUNC 1.1.1 contamination_portion	1000	100	0.788	0.7162	0.8479	2.0086533669964101e-212	2.3171762465826303e-22	0.9598	0.9214	0.9862	0.9585	0.9245	0.9847	4.390439204051299e-22
set_D_clean	progenomes_2.1	proGenomes 2.1	all	MAGICC V5 predicted contamination	1000	100	0.9333	0.9171	0.9465	0.0	2.246323482717826e-45	0.9876	0.9746	0.9969	0.9872	0.9759	0.9947	6.220588105987826e-45
set_D_clean	progenomes_2.1	proGenomes 2.1	all	CheckM2 predicted contamination	1000	100	0.6929	0.6481	0.7331	6.59865578539922e-144	1.385035364482258e-15	0.9401	0.9186	0.9575	0.9275	0.9079	0.9461	2.432257225432258e-15
set_D_clean	progenomes_2.1	proGenomes 2.1	powered	GUNC 1.1.1 CSS	945	98	0.0667	-0.0143	0.1493	0.04046038532125521	0.5142438319982703	0.6933	0.6177	0.7681	0.575	0.5178	0.6343	0.5214867028714854
set_D_clean	progenomes_2.1	proGenomes 2.1	powered	GUNC 1.1.1 contamination_portion	945	98	0.8484	0.8182	0.8728	9.861875989562633e-263	2.887902814198273e-28	0.9798	0.9621	0.9938	0.9881	0.98	0.9943	5.775805628396546e-28
set_D_clean	progenomes_2.1	proGenomes 2.1	powered	MAGICC V5 predicted contamination	945	98	0.9294	0.9116	0.9442	0.0	2.3792916817122283e-43	0.9898	0.9761	0.9974	0.9885	0.9758	0.9957	6.118178610117158e-43
set_D_clean	progenomes_2.1	proGenomes 2.1	powered	CheckM2 predicted contamination	945	98	0.689	0.6461	0.729	5.623140264856064e-134	4.4305026065113e-15	0.9454	0.9253	0.9635	0.9317	0.9124	0.9498	7.41851599229799e-15
set_D_clean	progenomes_2.1	proGenomes 2.1	unpowered	GUNC 1.1.1 CSS	55	10	0.8574	0.7297	0.9223	6.432655459210282e-17	0.0015156060736371993	0.992	0.9695	1.0	0.9722	0.9476	1.0	0.0018814420224461785
set_D_clean	progenomes_2.1	proGenomes 2.1	unpowered	GUNC 1.1.1 contamination_portion	55	10	0.2471	-0.1424	0.6963	0.06897890201557047	0.4913315095335859	0.798	0.4428	1.0	0.7246	0.4362	0.9118	0.505369552663117
set_D_clean	progenomes_2.1	proGenomes 2.1	unpowered	MAGICC V5 predicted contamination	55	10	0.9685	0.9258	0.9812	1.085473067984318e-33	4.124599201023272e-06	0.944	0.7717	1.0	0.9565	0.8862	1.0	5.603229103276898e-06
set_D_clean	progenomes_2.1	proGenomes 2.1	unpowered	CheckM2 predicted contamination	55	10	0.7126	0.4982	0.8852	1.0431838935440604e-09	0.020729087475321005	0.836	0.6424	0.9493	0.8611	0.7223	0.9551	0.024072488681017943
set_D_clean	gtdb_95	GTDB r95	all	GUNC 1.1.1 CSS	1000	100	0.199	0.1351	0.2624	2.1805484725024827e-10	0.047178956570915496	0.726	0.6601	0.7915	0.6335	0.5891	0.6834	0.05307632614227993
set_D_clean	gtdb_95	GTDB r95	all	GUNC 1.1.1 contamination_portion	1000	100	0.8584	0.8254	0.8855	1.6140814062061706e-291	3.678517262781649e-30	0.9929	0.986	0.9976	0.9931	0.9883	0.9968	7.78980126236114e-30
set_D_clean	gtdb_95	GTDB r95	all	MAGICC V5 predicted contamination	1000	100	0.9333	0.9168	0.9467	0.0	2.246323482717826e-45	0.9876	0.9744	0.997	0.9872	0.9747	0.9948	6.220588105987826e-45
set_D_clean	gtdb_95	GTDB r95	all	CheckM2 predicted contamination	1000	100	0.6929	0.6531	0.7332	6.59865578539922e-144	1.385035364482258e-15	0.9401	0.918	0.9581	0.9275	0.9067	0.9465	2.432257225432258e-15
set_D_clean	gtdb_95	GTDB r95	powered	GUNC 1.1.1 CSS	974	99	0.1518	0.0735	0.2297	1.9438964593100468e-06	0.1336258866580718	0.7175	0.6527	0.7844	0.6227	0.5777	0.6747	0.14801636675971028
set_D_clean	gtdb_95	GTDB r95	powered	GUNC 1.1.1 contamination_portion	974	99	0.872	0.8458	0.8942	9.731025583607652e-304	7.580240050507769e-32	0.9964	0.9932	0.9985	0.9958	0.9924	0.9983	1.6538705564744224e-31
set_D_clean	gtdb_95	GTDB r95	powered	MAGICC V5 predicted contamination	974	99	0.9308	0.9143	0.9451	0.0	3.597126264039123e-44	0.9875	0.9742	0.9969	0.9872	0.9748	0.9949	9.59233670410433e-44
set_D_clean	gtdb_95	GTDB r95	powered	CheckM2 predicted contamination	974	99	0.6898	0.6491	0.7286	1.765651013727233e-138	2.88322081687968e-15	0.9431	0.922	0.9616	0.9298	0.9105	0.9485	4.942664257508023e-15
set_D_clean	gtdb_95	GTDB r95	unpowered	GUNC 1.1.1 CSS	26	6	0.9211	0.8277	0.977	2.572090995069161e-11	0.009101848456447537	1.0	1.0	1.0	0.9952	0.9727	1.0	0.010743165391216766
set_D_clean	gtdb_95	GTDB r95	unpowered	GUNC 1.1.1 contamination_portion	26	6	0.5749	0.3327	0.8491	0.002123130963257398	0.23260592873739833	0.942	0.8667	1.0	0.9333	0.9019	1.0	0.24996458013571166
set_D_clean	gtdb_95	GTDB r95	unpowered	MAGICC V5 predicted contamination	26	6	0.9911	0.9791	1.0	1.5353404691953152e-22	0.00011816735253772191	0.9855	0.92	1.0	1.0	1.0	1.0	0.0001546918069584723
set_D_clean	gtdb_95	GTDB r95	unpowered	CheckM2 predicted contamination	26	6	0.6602	0.4736	0.9236	0.00024268784875949962	0.1536033109821162	0.7826	0.55	1.0	0.8286	0.7375	1.0	0.16756724834412676
set_E	progenomes_2.1	proGenomes 2.1	all	GUNC 1.1.1 CSS	1000	785	0.5591	0.5057	0.6083	2.631663674602953e-83	9.393957263441543e-66	0.9128	0.8863	0.9391	0.8694	0.8391	0.8969	2.9407170563817e-65
set_E	progenomes_2.1	proGenomes 2.1	all	GUNC 1.1.1 contamination_portion	1000	785	0.8373	0.8048	0.8665	5.843867038313737e-264	1.5858118701562508e-207	0.9502	0.9322	0.9664	0.9511	0.9344	0.9659	7.136153415703129e-207
set_E	progenomes_2.1	proGenomes 2.1	all	MAGICC V5 predicted contamination	1000	785	0.9597	0.9513	0.9664	0.0	0.0	0.994	0.9898	0.9975	0.9959	0.9926	0.9981	0.0
set_E	progenomes_2.1	proGenomes 2.1	all	CheckM2 predicted contamination	1000	785	0.846	0.8217	0.8686	7.151103432820435e-275	4.343239398600858e-216	0.9922	0.9879	0.9963	0.9876	0.9819	0.9924	2.4054864361481674e-215
set_E	progenomes_2.1	proGenomes 2.1	powered	GUNC 1.1.1 CSS	986	777	0.5504	0.4923	0.5995	3.4608618065939225e-79	9.372077950988492e-63	0.9114	0.885	0.9364	0.8672	0.8386	0.895	2.811623385296548e-62
set_E	progenomes_2.1	proGenomes 2.1	powered	GUNC 1.1.1 contamination_portion	986	777	0.8522	0.8229	0.88	3.947851549300625e-279	2.861681909216427e-220	0.9615	0.9469	0.975	0.9607	0.9463	0.9727	1.8731008860325706e-219
set_E	progenomes_2.1	proGenomes 2.1	powered	MAGICC V5 predicted contamination	986	777	0.9599	0.9512	0.9665	0.0	0.0	0.9948	0.9904	0.9981	0.9963	0.9932	0.9985	0.0
set_E	progenomes_2.1	proGenomes 2.1	powered	CheckM2 predicted contamination	986	777	0.843	0.8176	0.865	2.8953967843363524e-267	6.3501579419042476e-211	0.9922	0.9873	0.9959	0.9874	0.9822	0.9923	3.048075812114039e-210
set_E	gtdb_95	GTDB r95	all	GUNC 1.1.1 CSS	1000	785	0.6222	0.5745	0.6678	3.124291433905973e-108	2.5539352672497436e-85	0.9226	0.8986	0.9457	0.879	0.8517	0.9043	9.67807048642008e-85
set_E	gtdb_95	GTDB r95	all	GUNC 1.1.1 contamination_portion	1000	785	0.8634	0.8348	0.8878	8.720149779520226e-299	7.479225093174743e-235	0.9709	0.9583	0.9812	0.9685	0.956	0.9786	5.385042067085815e-234
set_E	gtdb_95	GTDB r95	all	MAGICC V5 predicted contamination	1000	785	0.9597	0.9506	0.9665	0.0	0.0	0.994	0.9899	0.9975	0.9959	0.9928	0.9982	0.0
set_E	gtdb_95	GTDB r95	all	CheckM2 predicted contamination	1000	785	0.846	0.8222	0.8678	7.151103432820435e-275	4.343239398600858e-216	0.9922	0.9875	0.996	0.9876	0.9819	0.9925	2.4054864361481674e-215
set_E	gtdb_95	GTDB r95	powered	GUNC 1.1.1 CSS	992	779	0.6174	0.5668	0.6629	2.8020652179401925e-105	4.966251111706949e-83	0.9215	0.8976	0.9452	0.8772	0.8489	0.9038	1.7878504002145017e-82
set_E	gtdb_95	GTDB r95	powered	GUNC 1.1.1 contamination_portion	992	779	0.865	0.8378	0.8892	7.86732921524875e-299	5.7024786121490156e-235	0.9735	0.961	0.9837	0.9705	0.9581	0.9803	4.561982889719213e-234
set_E	gtdb_95	GTDB r95	powered	MAGICC V5 predicted contamination	992	779	0.96	0.9518	0.967	0.0	0.0	0.9948	0.9904	0.998	0.9963	0.9929	0.9985	0.0
set_E	gtdb_95	GTDB r95	powered	CheckM2 predicted contamination	992	779	0.8442	0.8192	0.8663	2.7153680880296062e-270	1.4333143029382665e-212	0.9922	0.9875	0.996	0.9874	0.9821	0.9921	7.37133070082537e-212
