set	power_stratum	n_paired	metric	unit	progenomes_2.1	gtdb_95	delta_gtdb95_minus_progenomes	delta_ci_lo	delta_ci_hi
set_D_clean	powered_both_dbs	943	detection sensitivity at >=10 % contamination	proportion	1.0	1.0	0.0	0.0	0.0
set_D_clean	powered_both_dbs	943	detection specificity at >=10 % contamination	proportion	0.165	0.1748	0.0097	-0.0211	0.0455
set_E	all_paired	1000	fraction powered	proportion	0.986	0.992	0.006	0.001	0.0119
set_E	all_paired	1000	fraction hard-unpowered (CSS forcibly zeroed)	proportion	0.0	0.0	0.0	0.0	0.0
set_E	all_paired	1000	median reference_representation_score	score	0.9	0.94	0.04	0.03	0.05
set_E	all_paired	1000	median genes_retained_index	index	0.96	0.97	0.01	0.01	0.02
set_E	all_paired	1000	median mean AA hit identity	identity	0.95	0.97	0.02	0.02	0.02
set_E	all_paired	1000	median n_genes_mapped	genes	4011.5	4043.5	32.0	15.4875	76.0
set_E	all_paired	1000	overall GUNC fail rate	proportion	0.761	0.772	0.011	0.002	0.0206
set_E	all_paired	1000	median CSS	score	1.0	1.0	0.0	0.0	0.01
set_E	all_paired	1000	Spearman CSS vs true contamination	rho	0.5591	0.6222	0.0631	0.0374	0.0902
set_E	all_paired	1000	detection sensitivity at >=5 % contamination	proportion	0.9599	0.9733	0.0134	0.0057	0.0223
set_E	all_paired	1000	detection specificity at >=5 % contamination	proportion	0.8294	0.8254	-0.004	-0.0321	0.0241
set_E	all_paired	1000	detection sensitivity at >=10 % contamination	proportion	0.9597	0.9722	0.0125	0.0055	0.021
set_E	all_paired	1000	detection specificity at >=10 % contamination	proportion	0.7473	0.7402	-0.0071	-0.0344	0.0175
set_E	powered_both_dbs	986	fraction powered	proportion	1.0	1.0	0.0	0.0	0.0
set_E	powered_both_dbs	986	fraction hard-unpowered (CSS forcibly zeroed)	proportion	0.0	0.0	0.0	0.0	0.0
set_E	powered_both_dbs	986	median reference_representation_score	score	0.9	0.94	0.04	0.03	0.05
set_E	powered_both_dbs	986	median genes_retained_index	index	0.96	0.97	0.01	0.01	0.02
set_E	powered_both_dbs	986	median mean AA hit identity	identity	0.95	0.97	0.02	0.02	0.02
set_E	powered_both_dbs	986	median n_genes_mapped	genes	4043.0	4091.0	48.0	13.0	72.0
set_E	powered_both_dbs	986	overall GUNC fail rate	proportion	0.7667	0.7769	0.0101	0.001	0.0202
set_E	powered_both_dbs	986	median CSS	score	1.0	1.0	0.0	0.0	0.0051
set_E	powered_both_dbs	986	Spearman CSS vs true contamination	rho	0.5504	0.6154	0.0649	0.0371	0.0941
set_E	powered_both_dbs	986	detection sensitivity at >=5 % contamination	proportion	0.9623	0.9744	0.0121	0.0043	0.0205
set_E	powered_both_dbs	986	detection specificity at >=5 % contamination	proportion	0.8279	0.8238	-0.0041	-0.0333	0.0273
set_E	powered_both_dbs	986	detection sensitivity at >=10 % contamination	proportion	0.9621	0.9734	0.0112	0.0042	0.0196
set_E	powered_both_dbs	986	detection specificity at >=10 % contamination	proportion	0.7436	0.7363	-0.0073	-0.0349	0.0195
