source	source_logical_path	identifiers	column	old	new	delta	row_join
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""contamination"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""checkm2""}"	r2_ci_hi	-0.0467335969823117	-0.0852521362445719	-0.0385185392622602	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""contamination"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""checkm2""}"	r2_pearson_sq_ci_lo	0.3407877992480621	0.3472620706606703	0.006474271412608201	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""contamination"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""checkm2""}"	r2_pearson_sq_ci_hi	0.3904443383758101	0.3821937766497003	-0.008250561726109829	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	n_clusters	2586	1648	-938.0	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	mae	6.590101425710123	6.808784353809474	0.21868292809935141	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	mae_ci_lo	6.156431734306887	6.565048366298918	0.40861663199203146	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	mae_ci_hi	7.00641352040738	7.065742296573184	0.05932877616580434	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	rmse	10.289508273964277	11.26026059063218	0.9707523166679035	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	rmse_ci_lo	9.712268677065415	10.862411964544972	1.1501432874795565	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	rmse_ci_hi	10.833512911768436	11.694243879231934	0.860730967463498	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	bias	-2.779995413030432	-2.6412714485121023	0.1387239645183298	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	bias_ci_lo	-3.287695813091321	-2.975291507841804	0.3124043052495171	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	bias_ci_hi	-2.244487533874472	-2.3288966446665893	-0.08440911079211721	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	r2	0.6277077039621701	0.5541470028396178	-0.07356070112255231	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	r2_ci_lo	0.5859287626622265	0.5186966557917089	-0.06723210687051762	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	r2_ci_hi	0.6688871732425795	0.5858566048875077	-0.08303056835507183	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	r2_pearson_sq	0.657840509633463	0.6272062371923863	-0.030634272441076638	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	r2_pearson_sq_ci_lo	0.6282616357216139	0.6057995692345559	-0.022462066487057952	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""completeness"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	r2_pearson_sq_ci_hi	0.6894434489841087	0.6472367823036229	-0.04220666668048578	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""contamination"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	n_clusters	2586	1648	-938.0	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""contamination"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	mae	19.01501032556185	15.986878102291428	-3.028132223270422	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""contamination"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	mae_ci_lo	18.196318580738215	15.511034743334024	-2.6852838374041905	both
all_rebuilt_accuracy_including_motivation	results/revision/metrics/ws5.5_table_S2_rebuilt.tsv	"{""metric"": ""contamination"", ""set"": ""POOLED_leakage_free_5_sets"", ""tool"": ""cocopye""}"	mae_ci_hi	19.77557767288319	16.46778683988256	-3.307790833000631	both
