campaign	tool	tool_label	threads	repeat	input_set	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	max_rss_kb	pct_cpu	user_s	sys_s	fs_inputs	fs_outputs	major_faults	minor_faults	loadavg_1min_before	loadavg_5min_before	loadavg_15min_before	loadavg_1min_after	sum_pcpu_all_processes_before	nproc	mem_available_kb_before	mem_available_kb_after	vmstat_before	vmstat_after	code_root	model	t_start_utc	t_end_utc	return_code	cell_file
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	8	2	set_E_100	warm	100	100	2.3	0.4203	440720	419.0	8.3	1.36	0	488	7	411686	1.71	2.14	1.73	1.65	3.4	48	909972272	909429272	0 0 0 254199608 3410800 657791696 0 0 0 88 804 1125 0 0 100 0 0 0	0 0 0 253643604 3410820 657791736 0 0 0 0 587 752 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:40:01Z	2026-08-28T15:40:03Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t8__set_E_100__warm__r2.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	8	3	set_E_100	warm	100	100	2.26	0.42	440388	424.0	8.26	1.35	0	488	10	410431	1.04	1.83	1.72	0.96	3.4	48	909715392	909242004	0 0 0 253921776 3411752 657794880 0 0 0 0 705 928 0 0 100 0 0 0	0 0 0 253469412 3411768 657794904 0 0 0 8 611 636 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:45:29Z	2026-08-28T15:45:31Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t8__set_E_100__warm__r3.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	16	1	set_E_100	warm	100	100	2.47	0.4177	438024	594.0	12.51	2.19	0	488	1	567356	1.01	2.23	1.52	0.93	3.4	48	909520808	908911732	0 0 0 253755660 3409840 657776260 0 0 0 0 1304 1906 0 0 100 0 0 0	0 0 0 253237964 3409852 657776316 0 0 0 0 594 796 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:33:38Z	2026-08-28T15:33:41Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t16__set_E_100__warm__r1.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	16	2	set_E_100	warm	100	100	2.51	0.4175	437832	590.0	12.58	2.27	0	488	12	569626	1.65	2.12	1.72	1.68	3.4	48	909460452	908758516	0 0 0 253710576 3410832 657791740 0 0 0 0 609 835 0 0 100 0 0 0	0 0 0 253078536 3410856 657791768 0 0 0 0 608 818 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:40:06Z	2026-08-28T15:40:08Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t16__set_E_100__warm__r2.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	16	3	set_E_100	warm	100	100	2.46	0.4176	437856	589.0	12.22	2.28	0	488	8	570448	0.96	1.8	1.71	0.88	103.4	48	909287872	908721592	0 0 0 253512820 3411780 657794908 0 0 0 156 690 852 0 0 100 0 0 0	0 0 0 252924664 3411804 657794940 0 0 0 0 551 716 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:45:33Z	2026-08-28T15:45:36Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t16__set_E_100__warm__r3.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	16	1	set_E_100	warm	100	100	2.03	0.4176	437876	692.0	11.84	2.25	0	488	10	574544	0.93	2.19	1.51	0.94	3.4	48	909041560	908609264	0 0 0 253312776 3409868 657776320 0 0 0 68 677 820 0 0 100 0 0 0	0 0 0 252890224 3409892 657776344 0 0 0 0 663 856 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:33:43Z	2026-08-28T15:33:45Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t16__set_E_100__warm__r1.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	16	2	set_E_100	warm	100	100	2.06	0.4177	438000	684.0	11.93	2.22	0	488	0	571990	1.68	2.12	1.73	1.68	103.4	48	908893948	908222108	0 1 0 253098544 3410868 657791772 0 0 0 216 664 793 0 0 100 0 0 0	0 0 0 252543612 3410888 657791796 0 0 0 0 682 888 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:40:10Z	2026-08-28T15:40:12Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t16__set_E_100__warm__r2.json
WS11.T-v0.3.3	magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	16	3	set_E_100	warm	100	100	2.09	0.4173	437604	678.0	11.98	2.22	0	488	13	580009	0.88	1.77	1.7	0.89	103.4	48	908795532	908518300	0 0 0 253028616 3411816 657794944 0 0 0 88 622 852 0 0 100 0 0 0	0 0 0 252792840 3411844 657794968 0 0 0 0 819 939 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	/home/tianrm/.magicc/magicc_v5.onnx (explicit --model, NOT verified)	2026-08-28T15:45:38Z	2026-08-28T15:45:40Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033_xmodel__t16__set_E_100__warm__r3.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	32	1	set_E_100	warm	100	100	2.46	0.4175	437796	1105.0	22.84	4.34	0	488	8	848674	0.94	2.17	1.51	1.02	103.4	48	908694032	907944584	0 0 0 252953240 3409896 657776348 0 0 0 0 622 673 0 0 100 0 0 0	0 0 0 252244568 3409932 657776372 0 0 0 0 592 664 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:33:47Z	2026-08-28T15:33:49Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t32__set_E_100__warm__r1.json
WS11.T-v0.3.3	magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	32	2	set_E_100	warm	100	100	2.5	0.418	438284	1095.0	23.02	4.43	0	488	4	849491	1.55	2.08	1.72	1.55	3.4	48	908398644	907837320	1 0 0 252664948 3410888 657791800 0 0 0 0 570 712 0 0 100 0 0 0	0 0 0 252111800 3410920 657791824 0 0 0 0 576 774 0 0 100 0 0 0	magicc 0.3.3 from PyPI in envs/magicc_v033_rel	(default resolution, SHA256 verified every run)	2026-08-28T15:40:14Z	2026-08-28T15:40:17Z	0	/media/Data_1/tianrm/projects/magicc2/results/revision/speed_v033/runs/magicc_v033__t32__set_E_100__warm__r2.json
