tool	threshold_pct	n	n_flagged	n_control	median_cont_flagged	median_cont_control	mannwhitney_p_two_sided	cliffs_delta	TP	FP	FN	TN	recall_pct	precision_pct	specificity_pct	balanced_accuracy_pct	note
MAGICC V5	5.0	596	296	300	0.957	0.666	0.0009089007219758962	0.157	60	18	236	282	20.27	76.92	94.0	57.14	BINARY DETECTION ONLY — NCBI's Foreign Contamination Screen uses a different operational definition from the bp-based contamination quantified in Tracks A1-A3; no MAE is defined.
MAGICC V5	10.0	596	296	300	0.957	0.666	0.0009089007219758962	0.157	41	5	255	295	13.85	89.13	98.33	56.09	BINARY DETECTION ONLY — NCBI's Foreign Contamination Screen uses a different operational definition from the bp-based contamination quantified in Tracks A1-A3; no MAE is defined.
