comparator	error_type	error_rate	error_rate_pct	metric	n_pairs	mae_magicc	mae_comparator	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	winner	q_bh
checkm2	indel	0.01	1.0	completeness	80	4.9695	46.5752	-41.6056	-45.2958	-38.0614	-42.1199	-45.7815	-38.4884	-0.9731	-0.9959	-0.9456	8.792926151362765e-15	MAGICC	1.4610454208430028e-13
checkm2	indel	0.01	1.0	contamination	80	3.0267	6.2862	-3.2596	-4.7301	-1.8323	-2.5512	-4.1794	-1.4512	-0.3987	-0.5438	-0.2472	1.0214404181678704e-05	MAGICC	3.197552613395072e-05
checkm2	indel	0.02	2.0	completeness	80	6.8624	49.8753	-43.0129	-47.3584	-38.7158	-44.6635	-48.6166	-40.3869	-0.9372	-0.9822	-0.8806	1.864105097992546e-14	MAGICC	2.44028303737206e-13
checkm2	indel	0.02	2.0	contamination	80	3.6006	7.1581	-3.5575	-5.0431	-1.9927	-3.2745	-4.7863	-1.9425	-0.4991	-0.6403	-0.3459	2.202077756739376e-06	MAGICC	8.570248566769463e-06
checkm2	indel	0.05	5.0	completeness	80	11.9271	54.631	-42.704	-47.7156	-37.6505	-43.9846	-49.2305	-38.7568	-0.8641	-0.951	-0.7562	3.916274188810748e-14	MAGICC	4.3380267937595983e-13
checkm2	indel	0.05	5.0	contamination	80	5.8123	7.226	-1.4137	-3.2837	0.475	-1.6262	-3.3952	0.1147	-0.2103	-0.3853	-0.0328	0.06692435326321064	tie	0.09266448913367628
checkm2	chimera	0.05	5.0	completeness	80	4.3977	5.1125	-0.7148	-2.5326	1.0943	-0.7132	-2.3062	0.4672	-0.1106	-0.2841	0.0581	0.2516658151774921	tie	0.30711760496236323
checkm2	chimera	0.05	5.0	contamination	80	2.7212	4.3242	-1.603	-2.8673	-0.3542	-0.6736	-1.8252	-0.0477	-0.1156	-0.2738	0.0366	0.03871533294907481	MAGICC	0.05688783617006911
checkm2	chimera	0.1	10.0	completeness	80	4.3974	5.1188	-0.7214	-2.5277	1.1505	-0.7379	-2.2267	0.4542	-0.1066	-0.2678	0.0531	0.24968742625168028	tie	0.30711760496236323
checkm2	chimera	0.1	10.0	contamination	80	2.7232	4.3272	-1.604	-2.9139	-0.4207	-0.6711	-1.8377	-0.0463	-0.1163	-0.2709	0.0378	0.0378207282004652	MAGICC	0.056731092300697804
checkm2	chimera	0.2	20.0	completeness	80	4.3964	5.1246	-0.7282	-2.5022	1.1062	-0.7624	-2.1692	0.4342	-0.11	-0.2728	0.0516	0.2418826454928441	tie	0.30287913870408306
checkm2	chimera	0.2	20.0	contamination	80	2.7221	4.3298	-1.6078	-2.9241	-0.418	-0.6782	-1.8475	-0.0514	-0.1191	-0.2744	0.0288	0.0373800598003843	MAGICC	0.05666030117110883
checkm2	chimera	0.4	40.0	completeness	80	4.3978	5.178	-0.7801	-2.5366	1.1414	-0.8066	-2.2367	0.4468	-0.1253	-0.2809	0.0257	0.22130959047621834	tie	0.2820228409608446
checkm2	chimera	0.4	40.0	contamination	80	2.7205	4.3213	-1.6009	-2.8686	-0.3742	-0.689	-1.7374	-0.0467	-0.1156	-0.27	0.0391	0.032814321127738966	MAGICC	0.05080927142359582
checkm2	uneven_coverage	0.05	5.0	completeness	80	5.3731	5.2671	0.106	-1.3982	1.7591	0.0322	-1.1092	1.0381	0.0187	-0.1119	0.1528	0.9693924426663516	tie	0.9693924426663515
checkm2	uneven_coverage	0.05	5.0	contamination	80	2.9839	4.9294	-1.9455	-3.1126	-0.7372	-1.9221	-2.8809	-1.0626	-0.3747	-0.5403	-0.215	6.0796946002651084e-05	MAGICC	0.0001621251893404029
checkm2	uneven_coverage	0.1	10.0	completeness	80	7.6702	5.1152	2.5551	0.9441	4.2232	2.5123	1.0012	3.9855	0.2562	0.1147	0.405	0.0006724610176359662	checkm2	0.0015370537545964943
checkm2	uneven_coverage	0.1	10.0	contamination	80	4.2801	6.8569	-2.5768	-3.8961	-1.2129	-2.9191	-4.1456	-1.5894	-0.4303	-0.5885	-0.2653	0.00013202999341515936	MAGICC	0.0003395056973532669
checkm2	uneven_coverage	0.2	20.0	completeness	80	12.167	5.196	6.971	5.3344	8.6355	6.7674	5.1219	8.4885	0.5687	0.4437	0.696	1.7817593836434452e-10	checkm2	9.163333973023432e-10
checkm2	uneven_coverage	0.2	20.0	contamination	80	7.9134	12.0168	-4.1034	-6.3051	-1.7932	-5.1145	-7.4933	-2.5214	-0.445	-0.595	-0.2903	0.0004799622439342624	MAGICC	0.0011519093854422298
checkm2	uneven_coverage	0.4	40.0	completeness	80	15.9854	5.5197	10.4657	8.5217	12.5086	10.6126	8.3839	12.5678	0.6572	0.5384	0.7735	3.7839637986293425e-12	checkm2	2.5947180333458347e-11
checkm2	uneven_coverage	0.4	40.0	contamination	80	19.3299	22.8267	-3.4968	-6.9394	0.1687	-3.5471	-8.0686	0.0275	-0.2275	-0.3991	-0.0516	0.05036096998919167	tie	0.0718017789944911
checkm2	none	0.0	0.0	completeness	80	4.3977	5.1075	-0.7098	-2.5377	1.1212	-0.7188	-2.1782	0.4342	-0.1019	-0.26	0.0609	0.2617216438707577	tie	0.31670518249906815
checkm2	none	0.0	0.0	contamination	80	2.7213	4.3287	-1.6074	-2.9306	-0.3784	-0.6799	-1.7642	-0.024	-0.115	-0.2584	0.0394	0.0373800598003843	MAGICC	0.05666030117110883
cocopye	substitution	0.001	0.1	completeness	80	4.3669	4.2424	0.1245	-1.4128	1.6775	-0.1598	-1.2019	0.7541	-0.0591	-0.2116	0.0981	0.7443127382977939	tie	0.7710865778049087
cocopye	substitution	0.001	0.1	contamination	80	2.7632	3.2217	-0.4585	-1.2732	0.5164	-0.4541	-1.0749	0.192	-0.1313	-0.2856	0.0306	0.16135889738177256	tie	0.2093304614682455
cocopye	substitution	0.005	0.5	completeness	80	4.4721	4.7044	-0.2323	-1.8216	1.3744	-0.2699	-1.3612	0.7295	-0.0566	-0.2275	0.1179	0.5845321250207427	tie	0.6575986406483355
cocopye	substitution	0.005	0.5	contamination	80	2.9214	6.2109	-3.2895	-4.44	-2.0927	-3.353	-4.3375	-2.3679	-0.6375	-0.7594	-0.5072	4.599135744773785e-09	MAGICC	2.00689559771947e-08
cocopye	substitution	0.01	1.0	completeness	80	4.8777	4.8178	0.0598	-1.5604	1.7835	-0.2221	-1.3005	0.894	-0.0031	-0.1775	0.1737	0.6486436360719643	tie	0.7240673146849834
cocopye	substitution	0.01	1.0	contamination	80	3.3383	9.8676	-6.5293	-8.2247	-4.7147	-6.8446	-8.3777	-5.3342	-0.7188	-0.8375	-0.5816	1.3859199117594693e-10	MAGICC	7.391572862717169e-10
cocopye	substitution	0.02	2.0	completeness	80	6.9084	4.9951	1.9134	0.162	3.8203	1.3451	-0.0124	3.1839	0.1919	0.0099	0.3806	0.06411679388256097	cocopye	0.0896390128066872
cocopye	substitution	0.02	2.0	contamination	80	4.6783	17.1327	-12.4544	-14.5718	-10.3256	-12.5022	-14.4458	-10.6713	-0.8378	-0.9197	-0.7425	8.017437900496021e-13	MAGICC	6.076373987744353e-12
cocopye	substitution	0.05	5.0	completeness	80	12.1845	6.1058	6.0787	3.7566	8.6254	6.0548	3.7136	8.7503	0.5112	0.3503	0.666	4.330749431234788e-06	cocopye	1.5564171421753842e-05
cocopye	substitution	0.05	5.0	contamination	80	7.878	33.945	-26.067	-28.9247	-23.3015	-26.1429	-28.6615	-23.2806	-0.9184	-0.9684	-0.8569	1.1888865559607516e-14	MAGICC	1.7119966405834822e-13
cocopye	substitution_titv	0.001	0.1	completeness	80	4.3639	4.48	-0.1161	-1.6348	1.4535	-0.4428	-1.3511	0.4927	-0.1122	-0.2722	0.0482	0.35710935289006374	tie	0.4249896431088362
cocopye	substitution_titv	0.001	0.1	contamination	80	2.7646	3.0967	-0.3321	-1.1736	0.6448	-0.2612	-0.8746	0.3473	-0.105	-0.2613	0.0613	0.4121219889094888	tie	0.4824842796989137
cocopye	substitution_titv	0.005	0.5	completeness	80	4.4548	4.7829	-0.3281	-1.914	1.2856	-0.2494	-1.3048	0.5557	-0.1037	-0.26	0.0587	0.47779684636432396	tie	0.5548608538424408
cocopye	substitution_titv	0.005	0.5	contamination	80	3.1288	4.9085	-1.7797	-3.0511	-0.3992	-1.9236	-2.8507	-1.1495	-0.4078	-0.5794	-0.2419	5.2710838448104215e-05	MAGICC	0.0001432143535193775
cocopye	substitution_titv	0.01	1.0	completeness	80	5.039	4.7597	0.2793	-1.2985	1.8993	0.1154	-1.0881	1.1615	0.0312	-0.1288	0.1944	0.8216482775048806	tie	0.8391301557496653
