tool	error_type	error_rate	error_rate_pct	metric	n_pairs	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	delta_mae_hl	delta_mae_hl_ci_lo	delta_mae_hl_ci_hi	delta_signed_bias	delta_signed_bias_ci_lo	delta_signed_bias_ci_hi	p_wilcoxon	q_bh
magicc_v5	substitution	0.001	0.1	completeness	80	-0.0308	-0.1599	0.0978	0.0072	-0.0899	0.0952	-0.2226	-0.3426	-0.1052	0.7919372745033505	0.8374509109690602
magicc_v5	substitution	0.001	0.1	contamination	80	0.0418	-0.053	0.1394	0.0165	-0.0475	0.0861	0.2198	0.1459	0.3027	0.5746846503394725	0.6608873478903934
magicc_v5	substitution	0.005	0.5	completeness	80	0.0743	-0.2295	0.4174	0.0672	-0.1895	0.2893	-0.9792	-1.2821	-0.6995	0.5204171690684798	0.6077447773539605
magicc_v5	substitution	0.005	0.5	contamination	80	0.2001	-0.0383	0.4453	0.1074	-0.0671	0.3633	0.6051	0.4013	0.8326	0.24576331143070496	0.3560665299468481
magicc_v5	substitution	0.01	1.0	completeness	80	0.4799	-0.062	1.0323	0.5699	0.0521	1.0617	-2.1926	-2.6159	-1.7904	0.03165528072350319	0.06331056144700638
magicc_v5	substitution	0.01	1.0	contamination	80	0.617	0.1756	1.0549	0.3755	0.0384	0.8005	1.3205	0.9276	1.7086	0.03203766458703381	0.06338634713993786
magicc_v5	substitution	0.02	2.0	completeness	80	2.5107	1.4935	3.5448	2.494	1.6158	3.4266	-4.8433	-5.6341	-4.0828	3.2809612423915908e-06	1.2073937372001054e-05
magicc_v5	substitution	0.02	2.0	contamination	80	1.957	1.2696	2.6803	1.7223	1.0122	2.4779	3.0284	2.4655	3.644	2.9198331175481457e-06	1.096427129854814e-05
magicc_v5	substitution	0.05	5.0	completeness	80	7.7867	6.2931	9.3955	7.2664	5.6727	9.0338	-10.2767	-11.7511	-8.8903	1.5523843539995396e-12	1.0986104659073665e-11
magicc_v5	substitution	0.05	5.0	contamination	80	5.1567	3.8306	6.5233	4.3299	2.8171	6.0623	6.6671	5.4124	7.9243	3.8618388540105854e-11	2.2205573410560867e-10
magicc_v5	substitution_titv	0.001	0.1	completeness	80	-0.0338	-0.1433	0.0746	-0.0171	-0.1088	0.0561	-0.2807	-0.3807	-0.1964	0.6590259230701663	0.7050044758425035
magicc_v5	substitution_titv	0.001	0.1	contamination	80	0.0433	-0.0364	0.119	0.0492	-0.0071	0.1104	0.1393	0.0652	0.2144	0.08000710891812017	0.13630840778642697
magicc_v5	substitution_titv	0.005	0.5	completeness	80	0.0571	-0.2436	0.3513	0.0809	-0.1778	0.3099	-0.9254	-1.1991	-0.6655	0.47779684636432396	0.5864256799543777
magicc_v5	substitution_titv	0.005	0.5	contamination	80	0.4074	0.1559	0.7002	0.2724	0.0545	0.4785	0.7299	0.5183	0.9855	0.01280046131962838	0.028722986375751484
magicc_v5	substitution_titv	0.01	1.0	completeness	80	0.6412	0.1744	1.111	0.7027	0.292	1.1301	-1.9509	-2.3396	-1.5916	0.002213139137769751	0.005817394304994774
magicc_v5	substitution_titv	0.01	1.0	contamination	80	0.5592	0.1481	0.9777	0.4814	0.1214	0.8718	1.1801	0.8463	1.5346	0.008579630620782562	0.020239128643897326
magicc_v5	substitution_titv	0.02	2.0	completeness	80	2.306	1.3113	3.2426	2.133	1.2468	3.0868	-4.5233	-5.3499	-3.7153	1.2457831717894525e-05	4.093287564451059e-05
magicc_v5	substitution_titv	0.02	2.0	contamination	80	1.7594	1.0662	2.4789	1.5311	0.847	2.3134	2.8452	2.2772	3.4725	1.5166855696095654e-05	4.811554220830346e-05
magicc_v5	substitution_titv	0.05	5.0	completeness	80	7.3654	5.7859	9.1959	6.7451	4.9569	8.7202	-9.795	-11.3783	-8.3109	7.684974195704613e-12	5.2371676000357356e-11
magicc_v5	substitution_titv	0.05	5.0	contamination	80	5.5387	4.1618	6.9402	4.8687	3.41	6.2869	6.7612	5.4212	8.1526	2.7900481045118465e-11	1.6560285523554185e-10
magicc_v5	indel	0.001	0.1	completeness	80	-0.0131	-0.1104	0.0825	-0.0012	-0.0913	0.0743	-0.2318	-0.3151	-0.1492	0.9693924426663516	0.9746896691290093
magicc_v5	indel	0.001	0.1	contamination	80	0.0467	-0.0383	0.1424	0.0055	-0.0397	0.0565	0.0949	0.0107	0.1944	0.8141947062629618	0.8533228907508449
magicc_v5	indel	0.005	0.5	completeness	80	0.0572	-0.225	0.3387	0.0731	-0.1881	0.3913	-1.0469	-1.2412	-0.8582	0.5173091896977361	0.6077447773539605
magicc_v5	indel	0.005	0.5	contamination	80	0.0877	-0.0337	0.2082	0.0691	-0.0372	0.194	0.3084	0.1975	0.42	0.2054343939251848	0.30983547936257383
magicc_v5	indel	0.01	1.0	completeness	80	0.5718	-0.0266	1.1758	0.6848	0.162	1.2199	-2.4438	-2.9328	-1.989	0.013507985444475299	0.029945413515463315
magicc_v5	indel	0.01	1.0	contamination	80	0.3053	0.0271	0.5734	0.2716	0.0439	0.5206	0.638	0.4067	0.8975	0.014829599754413175	0.03210172182131793
magicc_v5	indel	0.02	2.0	completeness	80	2.4647	1.5268	3.4744	2.4432	1.6249	3.2689	-4.8543	-5.6628	-4.0913	2.536697471735228e-06	9.724006974985041e-06
magicc_v5	indel	0.02	2.0	contamination	80	0.8792	0.3409	1.423	0.746	0.3242	1.2794	1.6962	1.2197	2.1969	0.002213139137769751	0.005817394304994774
magicc_v5	indel	0.05	5.0	completeness	80	7.5293	5.9336	9.1626	6.9974	5.3782	8.7677	-10.0771	-11.5393	-8.6043	8.217151431220514e-12	5.3998423690877664e-11
magicc_v5	indel	0.05	5.0	contamination	80	3.0909	2.1016	4.1361	2.5558	1.5283	3.7619	4.1674	3.0093	5.2933	7.99950499066361e-07	3.1998019962654435e-06
magicc_v5	chimera	0.05	5.0	completeness	80	-0.0	-0.0009	0.0007	0.0	0.0	0.0	0.0005	-0.0002	0.0014	0.3365521878439186	0.44873625045855814
magicc_v5	chimera	0.05	5.0	contamination	80	-0.0001	-0.0007	0.0006	0.0	0.0	0.0	0.0004	-0.0002	0.0011	0.40041798467382594	0.5152231411187691
magicc_v5	chimera	0.1	10.0	completeness	80	-0.0004	-0.0022	0.0015	0.0	0.0	0.0	-0.0007	-0.0028	0.001	0.9777339360258261	0.9777339360258261
magicc_v5	chimera	0.1	10.0	contamination	80	0.0019	0.0	0.0044	0.0	0.0	0.0003	0.002	0.0	0.0046	0.1803494674763232	0.2812228984376565
magicc_v5	chimera	0.2	20.0	completeness	80	-0.0013	-0.0032	0.0005	-0.0001	-0.0014	0.0	-0.0004	-0.0023	0.0015	0.06467938205422212	0.11554375046579486
magicc_v5	chimera	0.2	20.0	contamination	80	0.0007	-0.0007	0.0022	0.0	0.0	0.0004	0.0012	-0.0	0.0027	0.4115911524074698	0.5222949796067203
magicc_v5	chimera	0.4	40.0	completeness	80	0.0001	-0.0026	0.0029	0.0	-0.001	0.0006	-0.0001	-0.0028	0.0027	0.9665842031005345	0.9746896691290093
magicc_v5	chimera	0.4	40.0	contamination	80	-0.0009	-0.004	0.0019	0.0	-0.0009	0.0005	0.0031	0.0007	0.0061	0.840631987808855	0.868967897510277
magicc_v5	uneven_coverage	0.05	5.0	completeness	80	0.9754	0.2115	1.7412	0.8804	0.1549	1.6452	3.02	2.4981	3.5946	0.012459154341069905	0.0283022765278625
magicc_v5	uneven_coverage	0.05	5.0	contamination	80	0.2625	-0.1065	0.662	0.046	-0.1076	0.2838	0.5247	0.1434	0.9396	0.6078095168001881	0.6737165728387627
