tool	metric	added_percent_original	duplicate_percent_final	n	mae	mae_ci_lo	mae_ci_hi	signed_bias	delta_mae_vs_control	delta_ci_lo	delta_ci_hi
magicc_v5	completeness	0.0	0.0	80	4.397745846650198	3.1257360901751228	5.994717889426427	-0.5893305445341928	0.0	0.0	0.0
magicc_v5	contamination	0.0	0.0	80	2.7213376252704924	2.007526859532776	3.5970805613376804	1.0265659328549737	0.0	0.0	0.0
magicc_v5	completeness	5.0	4.761904761904762	80	5.373125338768871	4.107242133648002	6.923529763730387	2.4307174429658067	0.9753794921186729	0.21149404661430363	1.741184355387109
magicc_v5	contamination	5.0	4.761904761904762	80	2.9838707118441077	2.251188805042781	3.917386267168594	1.5512539542299735	0.2625330865736154	-0.1065054749500875	0.6619531152470045
magicc_v5	completeness	10.0	9.090909090909092	80	7.670244138640953	6.214093628824391	9.228338478275122	5.200382455465807	3.272498291990753	1.922462422816511	4.631316714215453
magicc_v5	contamination	10.0	9.090909090909092	80	4.280115650262303	3.2521660367873526	5.4211863983636	2.712808839904974	1.5587780249918108	0.795009648781812	2.416062396915828
magicc_v5	completeness	20.0	16.666666666666668	80	12.167034784703878	10.621002431002697	13.818421227028585	8.455924530465808	7.76928893805368	5.825787421129978	9.618438107529466
magicc_v5	contamination	20.0	16.666666666666668	80	7.913360469213815	5.738482998896256	10.284667842600356	6.666835416479974	5.192022843943322	3.156306269218547	7.608679048642749
magicc_v5	completeness	40.0	28.571428571428577	80	15.985403298633102	14.07068071529592	17.900179432600062	11.287166967965808	11.587657451982903	8.78815999438026	14.099986294580177
magicc_v5	contamination	40.0	28.571428571428577	80	19.329862416178624	15.372639425109032	23.529090377447343	18.497977737354972	16.608524790908135	12.540219994312663	20.65957708987815
checkm2	completeness	0.0	0.0	80	5.107522974600526	4.000994448449645	6.442770848652101	2.661093880465807	0.0	0.0	0.0
checkm2	contamination	0.0	0.0	80	4.328716433512051	3.224156044825166	5.51726031915814	-3.4967135471450264	0.0	0.0	0.0
checkm2	completeness	5.0	4.761904761904762	80	5.2671243677615935	4.092493286645419	6.5325255313689885	2.6347188804658073	0.1596013931610673	-0.1377351661554769	0.46570696908242243
checkm2	contamination	5.0	4.761904761904762	80	4.9293542752993975	4.052401781924783	5.877087191770914	0.6270364528549737	0.6006378417873457	-0.2629745311440968	1.447647461334439
checkm2	completeness	10.0	9.090909090909092	80	5.115181504837963	3.937727661850759	6.360358496158075	2.659843880465807	0.007658530237436701	-0.3850281691675355	0.43845296034348924
checkm2	contamination	10.0	9.090909090909092	80	6.856922997357879	5.972619122442555	7.851664179268737	4.6324114528549725	2.528206563845828	1.1287044600176357	3.945990377024246
checkm2	completeness	20.0	16.666666666666668	80	5.196040839304475	3.9975310592658118	6.384578165494253	2.0748438804658074	0.08851786470394858	-0.459280925303122	0.6474078966203719
checkm2	contamination	20.0	16.666666666666668	80	12.016780497435745	10.653051495622515	13.41610258718141	11.071786452854974	7.688064063923693	5.489368063989659	9.872372018270788
checkm2	completeness	40.0	28.571428571428577	80	5.51969562330119	4.350071101548461	6.796847429427706	1.4913438804658063	0.4121726487006631	-0.43735675945401226	1.2525239530190773
checkm2	contamination	40.0	28.571428571428577	80	22.82666099610716	20.769601461316643	24.97244095130484	22.780161452854973	18.497944562595116	15.682265309273923	21.36169867605422
cocopye	completeness	0.0	0.0	80	4.232653211603155	3.2707383256890776	5.418582980428204	-0.4277639171361872	0.0	0.0	0.0
cocopye	contamination	0.0	0.0	80	2.7206977263863776	2.132419917078783	3.397507812340863	0.8514783756187615	0.0	0.0	0.0
cocopye	completeness	5.0	4.761904761904762	80	4.352766948736893	3.3612513758354265	5.592113348399489	-0.35994469333231177	0.12011373713373796	-0.0904556085572688	0.31775616093095194
cocopye	contamination	5.0	4.761904761904762	80	5.001428816100984	4.236817707172155	5.788149921072674	4.127065916253008	2.280731089714606	1.5668702465861235	2.9658037533851784
cocopye	completeness	10.0	9.090909090909092	80	4.531428875830594	3.5065205858933366	5.693054839971109	-0.6878029741064737	0.29877566422743806	-0.05075476049048551	0.6506443885356974
cocopye	contamination	10.0	9.090909090909092	80	8.345595440094273	7.141811780468761	9.570703637806131	7.7193114378003145	5.624897713707894	4.443463310275851	6.831557282964155
cocopye	completeness	20.0	16.666666666666668	80	4.850359269276732	3.8413374573609174	6.01338444438061	-0.6690981850840504	0.6177060576735768	0.11784895887400976	1.1185114079049665
cocopye	contamination	20.0	16.666666666666668	80	12.288153335907646	10.638349487586783	13.867894349591785	12.215084132403279	9.567455609521266	7.932631859009286	11.332433941385899
cocopye	completeness	40.0	28.571428571428577	80	4.889440085935439	3.855086250817149	6.00292053329095	-0.7457457771490863	0.6567868743322844	-0.04789422264948435	1.3703951964808327
cocopye	contamination	40.0	28.571428571428577	80	19.135346831599723	17.408044407808692	20.697648347890112	18.919003575220948	16.414649105213343	14.655765997847965	18.180264192824072
deepcheck	completeness	0.0	0.0	80	5.90715981971122	4.704262019377102	7.309138467393031	1.4846396873505736	0.0	0.0	0.0
deepcheck	contamination	0.0	0.0	80	5.177947928556979	3.943467615325322	6.540290277566502	-4.887655757245618	0.0	0.0	0.0
deepcheck	completeness	5.0	4.761904761904762	80	5.835979300731252	4.653955575857693	7.1449047774203285	1.4878997276337764	-0.07118051897996658	-0.19629944243101471	0.04414270649534129
deepcheck	contamination	5.0	4.761904761904762	80	5.035818523788666	4.145407926264725	6.016249794770102	-1.0098909384282408	-0.142129404768314	-0.9167072568990504	0.6644374817906724
deepcheck	completeness	10.0	9.090909090909092	80	6.073642665141653	4.887870319937477	7.3878380989226216	1.3160891960175658	0.16648284543043435	-0.020503714268610383	0.3636041096504951
deepcheck	contamination	10.0	9.090909090909092	80	6.401835701682794	5.542817694552225	7.2345444556847385	2.907272154773575	1.223887773125813	-0.23452464747975757	2.6146113094473113
