lineage	superseded_set	clean_set	n_superseded	n_clean	leaked_comp_mae	clean_comp_mae	delta_comp_mae	delta_comp_mae_pct	leaked_cont_mae	clean_cont_mae	delta_cont_mae	delta_cont_mae_pct	leaked_comp_bias	clean_comp_bias	leaked_cont_bias	clean_cont_bias	leaked_comp_r2	clean_comp_r2	leaked_cont_r2	clean_cont_r2	leaked_subset_n	leaked_subset_comp_mae	leaked_subset_cont_mae	delta_comp_mae_vs_leaked_subset	delta_cont_mae_vs_leaked_subset	clean_comp_mae_ci	clean_cont_mae_ci
Patescibacteriota (CPR)	set_C	set_C_clean	1000	1000	3.1539	6.8216	3.6677	116.3	7.9741	9.0801	1.106	13.9	0.9695	-2.3197	-6.9977	-3.5536	0.901	0.6564	0.9293	0.7916	859	2.3794	6.0521	4.4422	3.028	[5.8383, 7.856]	[8.1483, 10.1046]
Archaea	set_D	set_D_clean	1000	1000	5.1759	5.633	0.4571	8.8	8.058	6.5229	-1.5351	-19.1	1.4318	-0.2624	-6.1109	-3.8341	0.7124	0.7124	0.8619	0.8787	787	3.6871	4.8546	1.9459	1.6683	[5.0049, 6.4004]	[5.9657, 7.1373]
