campaign	tool	tool_label	threads	repeat	input_set	input_set_canon	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	max_rss_kb	pct_cpu	user_s	sys_s	fs_inputs	fs_outputs	major_faults	minor_faults	loadavg_1min_before	loadavg_5min_before	loadavg_15min_before	loadavg_1min_after	sum_pcpu_all_processes_before	nproc	mem_available_kb_before	mem_available_kb_after	vmstat_before	vmstat_after	code_root	model	t_start_utc	t_end_utc	return_code	cell_median_s	dev_from_cell_median_pct	flag_load	flag_deviation	flagged	cell_file
WS11.T	magicc_dir	MAGICC v0.3.0 (V5), directory input	1	13	set_E_full_dir	set_E_full	warm	1000	1000	49.42	0.6473	678776	99.0	47.09	2.3	0	72	0	795300	0.96	1.44	3.17	0.98	11.7	48.0	911250916.0	911227672.0	0 0 0 716959988 1349288 198339588 0 0 0 0 813 930 0 0 100 0 0 0	0 0 0 716934040 1349356 198339632 0 0 0 0 547 827 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:36:46Z	2026-08-26T17:37:35Z	0	49.93	1.0214	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_dir__t1__set_E_full_dir__warm__r13.json
WS11.T	magicc_v3code	MAGICC V3 code tree (git 471eb28) + magicc_v3.onnx	1	11	set_E_full_dir	set_E_full	warm	1000	1000	73.81	0.6617	693800	99.0	71.0	2.77	0	128	0	819430	1.07	2.69	7.42	1.43	9.5	48.0	911031976.0	911188252.0	0 0 0 727143084 1339608 187946512 0 0 0 0 969 1141 0 0 100 0 0 0	0 0 0 727312716 1339780 187947508 0 0 0 12 1005 1524 0 0 100 0 0 0	/path/to/magicc/results/revision/speed_v3/v3_code	/path/to/magicc/models/magicc_v3.onnx	2026-08-26T17:11:55Z	2026-08-26T17:13:09Z	0	72.18	2.2582	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v3code__t1__set_E_full_dir__warm__r11.json
WS11.T	magicc_v3code	MAGICC V3 code tree (git 471eb28) + magicc_v3.onnx	1	12	set_E_full_dir	set_E_full	warm	1000	1000	71.17	0.6556	687448	99.0	68.67	2.47	0	72	0	883192	0.63	1.68	3.49	0.89	11.9	48.0	911288124.0	911237444.0	0 0 0 717004616 1349104 198339504 0 0 0 0 730 865 0 0 100 0 0 0	0 0 0 716953168 1349200 198339540 0 0 0 0 695 931 0 0 100 0 0 0	/path/to/magicc/results/revision/speed_v3/v3_code	/path/to/magicc/models/magicc_v3.onnx	2026-08-26T17:34:41Z	2026-08-26T17:35:52Z	0	72.18	1.3993	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v3code__t1__set_E_full_dir__warm__r12.json
WS11.T	magicc_v3code	MAGICC V3 code tree (git 471eb28) + magicc_v3.onnx	1	13	set_E_full_dir	set_E_full	warm	1000	1000	72.18	0.656	687840	99.0	69.57	2.58	0	80	0	875609	1.0	1.26	2.84	0.98	11.4	48.0	911309504.0	911240248.0	0 0 0 717015600 1349556 198339724 0 0 0 0 722 943 0 0 100 0 0 0	0 0 0 716947464 1349668 198339772 0 0 0 0 717 842 0 0 100 0 0 0	/path/to/magicc/results/revision/speed_v3/v3_code	/path/to/magicc/models/magicc_v3.onnx	2026-08-26T17:39:20Z	2026-08-26T17:40:33Z	0	72.18	0.0	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v3code__t1__set_E_full_dir__warm__r13.json
WS11.T	magicc_v3code_coldjit	magicc_v3code_coldjit	1	1	set_E_full_dir	set_E_full	warm	1000	1000	72.64	0.674	706780	99.0	69.72	2.88	0	576	0	891393	1.79	24.42	29.68	1.32	6.4	48.0	911258888.0	911149144.0	1 0 0 713695576 3192656 199766388 0 0 0 0 842 1126 0 0 100 0 0 0	0 0 0 713599104 3192756 199767004 0 0 0 0 741 1293 0 0 100 0 0 0	/path/to/magicc/results/revision/speed_v3/magicc_v3code_coldjit_tree	/path/to/magicc/models/magicc_v3.onnx	2026-08-26T22:06:20Z	2026-08-26T22:07:32Z	0	72.64	0.0	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v3code_coldjit__t1__set_E_full_dir__warm__r1.json
WS11.T	magicc_v3code_nostats	MAGICC V3 code tree, 19 assembly statistics disabled	1	11	set_E_full_dir	set_E_full	warm	1000	1000	49.8	0.6559	687716	99.0	47.32	2.46	0	72	0	687844	1.35	3.38	8.21	1.62	230.6	48.0	911151848.0	911268836.0	2 0 0 727108272 1338888 187937408 0 0 0 4 2067 1241 1 1 98 0 0 0	0 0 0 727390160 1339080 187937296 0 0 0 0 893 1106 0 0 100 0 0 0	/path/to/magicc/results/revision/speed_v3/v3_code_nostats	/path/to/magicc/models/magicc_v3.onnx	2026-08-26T17:10:03Z	2026-08-26T17:10:53Z	0	49.8	0.0	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v3code_nostats__t1__set_E_full_dir__warm__r11.json
WS11.T	magicc_v3code_nostats	MAGICC V3 code tree, 19 assembly statistics disabled	1	12	set_E_full_dir	set_E_full	warm	1000	1000	50.04	0.6556	687436	99.0	47.66	2.37	0	72	0	732975	1.48	1.96	4.04	2.1	211.7	48.0	908970952.0	909430812.0	2 0 0 714478592 1347424 198075248 0 0 0 48 3075 1612 4 1 95 0 0 0	3 0 0 715543912 1347556 198089556 0 0 4 536 4034 1232 6 1 93 0 0 0	/path/to/magicc/results/revision/speed_v3/v3_code_nostats	/path/to/magicc/models/magicc_v3.onnx	2026-08-26T17:30:49Z	2026-08-26T17:31:39Z	0	49.8	0.4819	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v3code_nostats__t1__set_E_full_dir__warm__r12.json
WS11.T	magicc_v3code_nostats	MAGICC V3 code tree, 19 assembly statistics disabled	1	13	set_E_full_dir	set_E_full	warm	1000	1000	49.59	0.6555	687360	99.0	47.27	2.29	0	72	0	737050	0.99	1.31	2.94	1.0	11.5	48.0	911244236.0	911301512.0	0 0 0 716950348 1349424 198339684 0 0 0 0 663 645 0 0 100 0 0 0	0 0 0 717007964 1349556 198339720 0 0 0 0 561 772 0 0 100 0 0 0	/path/to/magicc/results/revision/speed_v3/v3_code_nostats	/path/to/magicc/models/magicc_v3.onnx	2026-08-26T17:38:29Z	2026-08-26T17:39:18Z	0	49.8	0.4217	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v3code_nostats__t1__set_E_full_dir__warm__r13.json
WS11.T	magicc_v5code	MAGICC V5 code tree via code-root launcher	1	11	set_E_full_dir	set_E_full	warm	1000	1000	50.52	0.6477	679176	99.0	48.0	2.5	0	72	0	814587	1.4	4.24	9.09	1.95	109.2	48.0	909938036.0	910187956.0	1 0 0 726277360 1338392 187930528 0 0 0 0 1749 1202 2 0 98 0 0 0	2 0 0 726324152 1338608 187933768 0 0 0 52 2621 1177 4 0 96 0 0 0	/path/to/magicc	/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:08:11Z	2026-08-26T17:09:01Z	0	49.4	2.2672	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v5code__t1__set_E_full_dir__warm__r11.json
WS11.T	magicc_v5code	MAGICC V5 code tree via code-root launcher	1	12	set_E_full_dir	set_E_full	warm	1000	1000	49.4	0.6484	679908	99.0	47.05	2.34	0	72	0	814595	1.48	2.22	4.53	2.01	132.5	48.0	907140600.0	906600792.0	2 0 0 712595152 1347004 198073992 0 0 0 0 3986 2454 2 1 97 0 0 0	2 0 0 712045424 1347140 198074244 0 0 0 0 3885 2329 2 1 97 0 0 0	/path/to/magicc	/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:27:57Z	2026-08-26T17:28:47Z	0	49.4	0.0	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_v5code__t1__set_E_full_dir__warm__r12.json
