campaign	tool	tool_label	threads	repeat	input_set	input_set_canon	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	max_rss_kb	pct_cpu	user_s	sys_s	fs_inputs	fs_outputs	major_faults	minor_faults	loadavg_1min_before	loadavg_5min_before	loadavg_15min_before	loadavg_1min_after	sum_pcpu_all_processes_before	nproc	mem_available_kb_before	mem_available_kb_after	vmstat_before	vmstat_after	code_root	model	t_start_utc	t_end_utc	return_code	cell_median_s	dev_from_cell_median_pct	flag_load	flag_deviation	flagged	cell_file
WS8	cocopye	CoCoPyE 0.5.0	32	1	set_E_100	set_E_100	warm	100	100	495.09	15.8877	16659448	1427.0	6960.92	104.62	33380200	152	110	8956753	0.81	7.61	8.17	40.77	202.4								2026-07-31T02:18:02Z	2026-07-31T02:26:17Z	0	346.67	42.813	False	True	True	/path/to/magicc/results/revision/speed/runs/cocopye__t32__set_E_100__warm__r1.json
WS8	deepcheck	DeepCheck (inference only)	32	1	set_E_full	set_E_full	warm	1000	1000	39.84	1.2117	1270528	1958.0	767.3	13.13	2001888	104	1055	2425895	0.84	2.26	1.15	8.29	22.1								2026-07-31T00:28:29Z	2026-07-31T00:29:08Z	0	29.48	35.1425	False	True	True	/path/to/magicc/results/revision/speed/runs/deepcheck__t32__set_E_full__warm__r1.json
WS8	magicc	MAGICC v0.3.0 (V5)	32	1	set_E_100	set_E_100	warm	100	100	13.25	0.3566	373908	642.0	39.98	45.22	1882256	16	1226	935388	0.29	0.17	0.07	2.89	39.2								2026-07-31T00:23:30Z	2026-07-31T00:23:43Z	0	2.21	499.5475	False	True	True	/path/to/magicc/results/revision/speed/runs/magicc__t32__set_E_100__warm__r1.json
WS8	magicc	MAGICC v0.3.0 (V5)	32	1	set_E_full	set_E_full	warm	1000	1000	39.06	0.4968	520952	341.0	112.86	20.57	8570352	72	5	1703691	0.83	0.58	0.24	13.15	138.3								2026-07-31T00:25:04Z	2026-07-31T00:25:43Z	0	5.98	553.1773	False	True	True	/path/to/magicc/results/revision/speed/runs/magicc__t32__set_E_full__warm__r1.json
WS11.T	checkm2	CheckM2 1.0.1	32	4	set_E_100	set_E_100	warm	100	100	597.56	10.6313	11147700	2154.0	12677.52	199.29	21200	23103448	0	49200521	39.96	22.56	9.66	27.01	108.1	48.0	909958620.0	907999312.0	0 0 0 726213876 1322676 187872672 0 0 0 828 953 1279 0 0 100 0 0 0	3 0 0 723809932 1336648 187912060 0 0 0 8 2518 785 4 1 96 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T16:47:20Z	2026-08-26T16:57:18Z	0	559.66	6.772	True	False	True	/path/to/magicc/results/revision/speed_v3/runs/checkm2__t32__set_E_100__warm__r4.json
