competitor	distance	arm	n_reference_pairs	mean_advantage_redundant	mean_advantage_arm	hl_diff_arm_minus_redundant	diff_ci_lo	diff_ci_hi	rank_biserial	p_wilcoxon_paired_by_reference	q_bh	verdict
cocopye	order	single	100	5.3288	2.1953	-2.4995	-3.6197	-1.4952	-0.5442	2.3095667599907267e-06	3.4643501399860902e-06	MAGICC advantage LARGER on redundant
cocopye	class	NON_REDUNDANT(replaced+single)	100	6.4953	4.6108	-1.2063	-2.2795	-0.1446	-0.2622	0.022835774122669367	0.027666418648618653	MAGICC advantage LARGER on redundant
cocopye	class	replaced	100	6.4953	6.7448	0.547	-0.6759	1.6169	0.118	0.3055421446183436	0.3318819846716491	uniform (no type specificity)
cocopye	class	single	100	6.4953	2.4768	-3.0517	-4.485	-2.0006	-0.5842	3.946318137010482e-07	6.215451065791509e-07	MAGICC advantage LARGER on redundant
cocopye	phylum	NON_REDUNDANT(replaced+single)	100	8.895	4.4133	-3.1731	-4.5435	-1.9812	-0.6075	1.3319815646801613e-07	2.3309677381902822e-07	MAGICC advantage LARGER on redundant
cocopye	phylum	replaced	100	8.895	6.4151	-1.5772	-3.1457	-0.3154	-0.2594	0.024315778141523827	0.02890366080973587	MAGICC advantage LARGER on redundant
cocopye	phylum	single	100	8.895	2.4115	-4.9684	-6.3762	-3.8783	-0.8693	4.4497819455800645e-14	2.336135521429534e-13	MAGICC advantage LARGER on redundant
deepcheck	ALL	NON_REDUNDANT(replaced+single)	100	-2.0254	3.0482	4.6961	3.617	6.0398	0.8745	3.154399659417182e-14	1.8066107140298405e-13	MAGICC advantage LARGER on this non-redundant arm
deepcheck	ALL	replaced	100	-2.0254	3.2776	4.9421	3.8665	6.2056	0.8919	9.701591089505214e-15	6.791113762653649e-14	MAGICC advantage LARGER on this non-redundant arm
deepcheck	ALL	single	100	-2.0254	2.8187	4.394	3.377	5.7279	0.8459	2.0689769896103186e-13	8.689703356363339e-13	MAGICC advantage LARGER on this non-redundant arm
deepcheck	species	NON_REDUNDANT(replaced+single)	100	-6.2535	0.1011	5.9417	4.9801	6.9787	0.9564	1.0104199612316775e-16	3.4653789963881145e-15	MAGICC advantage LARGER on this non-redundant arm
deepcheck	species	replaced	100	-6.2535	-0.132	5.8243	4.9418	6.8824	0.9497	1.6501804744705308e-16	3.4653789963881145e-15	MAGICC advantage LARGER on this non-redundant arm
deepcheck	species	single	100	-6.2535	0.3342	6.0267	5.0283	7.1877	0.9533	1.273307953842098e-16	3.4653789963881145e-15	MAGICC advantage LARGER on this non-redundant arm
deepcheck	genus	NON_REDUNDANT(replaced+single)	100	-5.7116	0.6116	5.9475	4.6235	7.3852	0.9362	4.3571215496604904e-16	6.862466440715272e-15	MAGICC advantage LARGER on this non-redundant arm
deepcheck	genus	replaced	100	-5.7116	0.4791	5.9185	4.5055	7.2004	0.9259	9.071993454725491e-16	1.143071175295412e-14	MAGICC advantage LARGER on this non-redundant arm
deepcheck	genus	single	100	-5.7116	0.7441	6.0622	4.7133	7.406	0.9232	1.1037454355187327e-15	1.1589327072946693e-14	MAGICC advantage LARGER on this non-redundant arm
