tool	contamination_type	distance	n	n_clusters	detection_slope	detection_slope_ci_lo	detection_slope_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	cont_r2	comp_r2	true_cont_mean	true_comp_mean
checkm2	single	phylum	100	100	0.1291	0.0819	0.1789	7.1693	6.0956	8.2333	-7.0215	-8.1072	-5.8833	3.3144	2.7241	3.9667	1.539	0.6788	2.387	-1.0395	0.7095	9.35	85.135
cocopye	redundant	species	100	100	1.1132	0.7658	1.5386	5.412	3.556	7.7791	3.1686	1.1285	5.7318	3.1111	2.5088	3.8268	-0.3565	-1.2855	0.5168	-2.6571	0.7072	9.35	85.135
cocopye	redundant	genus	100	100	1.3353	0.989	1.7586	6.4452	4.5897	8.8005	5.5277	3.5358	7.9204	3.3333	2.7214	4.0668	-0.4405	-1.3748	0.4411	-2.9073	0.6944	9.35	85.135
cocopye	redundant	family	100	100	1.5321	1.2484	1.8789	8.6215	6.4718	11.0959	8.5641	6.4087	11.0341	3.6665	2.812	4.7493	0.022	-1.2615	1.2125	-4.2791	0.4801	9.35	85.135
cocopye	redundant	order	100	100	1.5744	1.2699	1.8965	9.4609	7.3688	11.9119	9.4226	7.3258	11.8901	3.4482	2.7146	4.3096	0.1708	-0.8742	1.1563	-4.5934	0.6149	9.35	85.135
cocopye	redundant	class	100	100	1.5333	1.2137	1.9128	9.2885	7.2755	11.5777	9.2235	7.1906	11.5359	3.568	2.8544	4.3549	0.3233	-0.7218	1.3097	-4.15	0.6363	9.349	85.135
cocopye	redundant	phylum	100	100	1.7213	1.4258	2.0445	11.6267	9.5051	14.1284	11.5856	9.4492	14.1076	3.8544	2.9367	4.8806	0.5099	-0.7266	1.7894	-5.5755	0.4452	9.35	85.135
cocopye	replaced	species	100	100	0.0344	-0.2141	0.3259	9.7016	8.043	11.3368	-5.8408	-7.9709	-3.4673	9.8263	8.6364	11.0179	8.6043	7.0066	10.1101	-2.9533	-0.8686	9.35	77.799
cocopye	replaced	genus	100	100	0.0491	-0.2242	0.3471	9.6575	8.016	11.3275	-5.8171	-7.8629	-3.3404	10.368	9.1314	11.6344	9.3007	7.7366	10.8244	-3.147	-1.0166	9.35	78.009
cocopye	replaced	family	100	100	0.0674	-0.2183	0.3994	9.6411	8.1036	11.3517	-5.4334	-7.5027	-3.1506	10.3762	9.0536	11.6822	9.2679	7.6755	10.7884	-2.947	-1.1761	9.35	78.221
