stratum	level	tool_a	tool_b	n_pairs	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	mae_a	mae_b	bias_a	bias_b	q_bh	winner	p_wilcoxon_sample_level_historical	q_bh_sample_level_historical	winner_sample_level_historical	p_wilcoxon_reference_mean	n_paired_references	reference_mean_difference	q_bh_reference_mean	supported_reference_test_and_hl_interval	inference_definition	support_decision_changed
cell	replaced|genus	magicc_v5	cocopye	100	-0.1591	-0.4491	0.2498	-0.0752	-0.1432	-0.013	0.4270481369484205	8.3174	9.6575	-8.2568	-5.8171	0.4763229219809305	unresolved	0.4270481369484205	0.4702935179052225	tie	0.4270481369484205	100	-1.3401427436408722	0.4763229219809305	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|genus	magicc_v5	deepcheck	100	-0.2072	-0.3869	-0.0238	-0.0506	-0.1092	-0.0062	0.03750842722040098	8.3174	8.7965	-8.2568	-8.7318	0.04661761668821265	magicc_v5	0.0375084272204009	0.0459610305376744	magicc_v5	0.03750842722040098	100	-0.4790658623990691	0.04661761668821265	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|family	magicc_v5	checkm2	100	-0.9335	-2.0481	-0.4761	-0.215	-0.3028	-0.1348	8.347617546453232e-06	6.1804	8.4623	-5.9374	-8.3765	1.3204413209844204e-05	magicc_v5	8.347617546453232e-06	1.3204413209844204e-05	magicc_v5	8.347617546453232e-06	100	-2.2818543686330717	1.3204413209844204e-05	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|family	magicc_v5	cocopye	100	-1.7503	-3.2084	-0.9025	-0.2816	-0.376	-0.1996	3.5400885394897876e-07	6.1804	9.6411	-5.9374	-5.4334	5.922840441069453e-07	magicc_v5	3.540088539489788e-07	6.038974567364932e-07	magicc_v5	3.5400885394897876e-07	100	-3.46064286289797	5.922840441069453e-07	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|family	magicc_v5	deepcheck	100	-1.2173	-2.2684	-0.7445	-0.2436	-0.3304	-0.1638	8.571186883883589e-10	6.1804	8.7796	-5.9374	-8.7367	1.8642331472446805e-09	magicc_v5	8.571186883883588e-10	1.621072301951896e-09	magicc_v5	8.571186883883589e-10	100	-2.5991562224606057	1.8642331472446805e-09	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|order	magicc_v5	checkm2	100	-4.1521	-5.2732	-2.1571	-0.4392	-0.5458	-0.3388	6.747817107930336e-12	4.0213	8.5004	-3.3128	-8.3646	1.7789699648179977e-11	magicc_v5	6.747817107930336e-12	1.4318538741218027e-11	magicc_v5	6.747817107930336e-12	100	-4.479049215849005	1.7789699648179977e-11	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|order	magicc_v5	cocopye	100	-4.5469	-6.0249	-3.1627	-0.507	-0.6046	-0.4094	2.8141706530704256e-13	4.0213	9.6544	-3.3128	-5.3844	9.067883215449149e-13	magicc_v5	2.814170653070426e-13	6.800912411586862e-13	magicc_v5	2.8141706530704256e-13	100	-5.633041198267123	9.067883215449149e-13	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|order	magicc_v5	deepcheck	100	-4.4637	-5.5909	-2.2584	-0.473	-0.5742	-0.3856	1.043664781540866e-15	4.0213	8.7684	-3.3128	-8.6833	1.297126228486505e-14	magicc_v5	1.043664781540866e-15	3.783284833085639e-15	magicc_v5	1.043664781540866e-15	100	-4.747073112876782	1.297126228486505e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|class	magicc_v5	checkm2	100	-5.3658	-6.9535	-3.9781	-0.5942	-0.6936	-0.4932	1.237033592256768e-14	2.4991	8.3573	-1.0386	-8.2565	6.503588413933024e-14	magicc_v5	1.237033592256768e-14	3.3631850789480886e-14	magicc_v5	1.237033592256768e-14	100	-5.858131537207798	6.503588413933024e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|class	magicc_v5	cocopye	100	-5.8294	-7.3508	-4.4155	-0.655	-0.7542	-0.5588	8.472927436574743e-15	2.4991	9.244	-1.0386	-5.715	5.265319192728591e-14	magicc_v5	8.472927436574743e-15	2.5418782309724234e-14	magicc_v5	8.472927436574743e-15	100	-6.74482647290133	5.265319192728591e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|class	magicc_v5	deepcheck	100	-5.7527	-7.1657	-4.4348	-0.61	-0.71	-0.515	1.822758080253685e-15	2.4991	8.5961	-1.0386	-8.5374	1.585799529820706e-14	magicc_v5	1.822758080253685e-15	6.099228960848871e-15	magicc_v5	1.822758080253685e-15	100	-6.096965816061986	1.585799529820706e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|phylum	magicc_v5	checkm2	100	-5.1186	-6.5707	-3.5418	-0.5436	-0.6508	-0.4384	4.220912101095269e-14	2.529	7.945	-0.3033	-7.6086	1.8360967639764418e-13	magicc_v5	4.2209121010952694e-14	1.11278591756148e-13	magicc_v5	4.220912101095269e-14	100	-5.416002448032414	1.8360967639764418e-13	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|phylum	magicc_v5	cocopye	100	-5.5785	-7.0718	-4.3733	-0.6394	-0.7342	-0.5498	1.7242622413327714e-15	2.529	8.9442	-0.3033	-5.0846	1.585799529820706e-14	magicc_v5	1.7242622413327716e-15	6.0004325998380436e-15	magicc_v5	1.7242622413327714e-15	100	-6.415144213221892	1.585799529820706e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	replaced|phylum	magicc_v5	deepcheck	100	-5.5297	-6.8887	-4.1236	-0.6076	-0.7026	-0.514	5.312355559705196e-16	2.529	8.4046	-0.3033	-8.2086	7.923792523765834e-15	magicc_v5	5.312355559705196e-16	2.0094562334537044e-15	magicc_v5	5.312355559705196e-16	100	-5.875585837960013	7.923792523765834e-15	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|species	magicc_v5	checkm2	100	-0.0046	-0.1672	0.1723	-0.0134	-0.0726	0.038	0.956127949633218	6.462	6.616	-6.3797	-6.5288	0.9561279496332181	unresolved	0.956127949633218	0.956127949633218	tie	0.956127949633218	100	-0.15400780499125408	0.9561279496332181	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|species	magicc_v5	cocopye	100	-0.3123	-0.6139	0.0285	-0.0968	-0.1752	-0.0274	0.0658411207762095	6.462	8.1832	-6.3797	-3.8881	0.0795580209379198	unresolved	0.0658411207762095	0.0784681850346606	tie	0.0658411207762095	100	-1.7212233786173412	0.0795580209379198	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|species	magicc_v5	deepcheck	100	-0.1499	-0.3743	0.0788	-0.0186	-0.0762	0.0318	0.20576253719593485	6.462	6.7962	-6.3797	-6.6951	0.23868454314728443	unresolved	0.2057625371959348	0.2355439570532412	tie	0.20576253719593485	100	-0.3342407889419929	0.23868454314728443	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|genus	magicc_v5	checkm2	100	-0.0877	-0.3603	0.1597	-0.0512	-0.1138	0.0068	0.5247177003787094	7.7545	8.3299	-7.68	-8.2227	0.5635856781845396	unresolved	0.5247177003787094	0.5567126821091184	tie	0.5247177003787094	100	-0.5754622540244861	0.5635856781845396	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|genus	magicc_v5	cocopye	100	-0.1456	-0.5255	0.304	-0.0668	-0.1358	0.0014	0.4660476227591346	7.7545	9.2115	-7.68	-4.9715	0.5132423187347431	unresolved	0.4660476227591346	0.5068267897505588	tie	0.4660476227591346	100	-1.4570080440593234	0.5132423187347431	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|genus	magicc_v5	deepcheck	100	-0.1835	-0.4389	0.0854	-0.0658	-0.126	-0.009	0.21579136199294846	7.7545	8.4985	-7.68	-8.4688	0.24702432228140153	unresolved	0.2157913619929484	0.2438162141998248	tie	0.21579136199294846	100	-0.7440524946186603	0.24702432228140153	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|family	magicc_v5	checkm2	100	-0.4666	-1.0895	-0.1406	-0.1414	-0.2258	-0.063	0.007320678801450492	6.4802	8.0734	-6.345	-7.957	0.009798447011172197	magicc_v5	0.0073206788014504	0.0096499856928211	magicc_v5	0.007320678801450492	100	-1.5932771446092493	0.009798447011172197	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|family	magicc_v5	cocopye	100	-0.0248	-0.8126	0.5558	-0.0718	-0.1734	0.0224	0.9424389080177923	6.4802	8.3072	-6.345	-3.7395	0.9561279496332181	unresolved	0.9424389080177924	0.956127949633218	tie	0.9424389080177923	100	-1.8270355406461687	0.9561279496332181	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|family	magicc_v5	deepcheck	100	-0.6997	-1.2638	-0.3309	-0.1688	-0.259	-0.0918	0.00013723330210865516	6.4802	8.3146	-6.345	-8.2774	0.00020584995316298273	magicc_v5	0.0001372333021086	0.0002023609709059	magicc_v5	0.00013723330210865516	100	-1.8344336228914875	0.00020584995316298273	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|order	magicc_v5	checkm2	100	-2.5531	-4.2642	-1.2843	-0.3438	-0.446	-0.2502	1.056669149321793e-08	4.5631	8.0063	-4.1786	-7.8867	1.9984829563259997e-08	magicc_v5	1.056669149321793e-08	1.9559620423616168e-08	magicc_v5	1.056669149321793e-08	100	-3.44316779777484	1.9984829563259997e-08	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|order	magicc_v5	cocopye	100	-0.8181	-1.7829	-0.0395	-0.1458	-0.2682	-0.0244	0.04428110904184587	4.5631	6.7584	-4.1786	-2.427	0.054259950516064664	unresolved	0.0442811090418458	0.0535063400922304	tie	0.04428110904184587	100	-2.195347882845221	0.054259950516064664	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|order	magicc_v5	deepcheck	100	-2.7573	-4.6753	-1.3334	-0.3772	-0.4752	-0.2866	1.30808185424902e-10	4.5631	8.3151	-4.1786	-8.2764	3.075760035666614e-10	magicc_v5	1.30808185424902e-10	2.5864345754469256e-10	magicc_v5	1.30808185424902e-10	100	-3.752033145397581	3.075760035666614e-10	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|class	magicc_v5	checkm2	100	-4.1354	-5.5919	-2.4868	-0.4616	-0.5636	-0.3616	1.342808921407084e-12	3.4636	8.0246	-2.8094	-7.9207	3.894145872080543e-12	magicc_v5	1.342808921407084e-12	3.07432568848464e-12	magicc_v5	1.342808921407084e-12	100	-4.560983677423632	3.894145872080543e-12	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|class	magicc_v5	cocopye	100	-1.3776	-2.3505	-0.5619	-0.25	-0.3818	-0.1242	0.0005779359977929994	3.4636	5.9404	-2.8094	-2.0384	0.0008242693739014909	magicc_v5	0.0005779359977929	0.0007981020921903	magicc_v5	0.0005779359977929994	100	-2.4768156620181	0.0008242693739014909	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|class	magicc_v5	deepcheck	100	-4.6395	-6.3494	-2.7744	-0.495	-0.5956	-0.4036	5.790211239472268e-15	3.4636	8.5059	-2.8094	-8.4636	4.0921435606071816e-14	magicc_v5	5.790211239472268e-15	1.8657347327188423e-14	magicc_v5	5.790211239472268e-15	100	-5.0422540138409415	4.0921435606071816e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|phylum	magicc_v5	checkm2	100	-3.8765	-5.6069	-2.4232	-0.4478	-0.561	-0.3311	1.0143962707277705e-11	2.7742	7.1693	-1.7907	-7.0215	2.5956610456857653e-11	magicc_v5	1.0143962707277705e-11	2.101249417936096e-11	magicc_v5	1.0143962707277705e-11	100	-4.395069533080861	2.5956610456857653e-11	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|phylum	magicc_v5	cocopye	100	-1.3822	-2.3186	-0.554	-0.2262	-0.3632	-0.0926	0.0004832018361438229	2.7742	5.1857	-1.7907	-1.0643	0.0007006426624085432	magicc_v5	0.0004832018361438	0.0006780412862018	magicc_v5	0.0004832018361438229	100	-2.4115034939306823	0.0007006426624085432	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
cell	single|phylum	magicc_v5	deepcheck	100	-4.5711	-6.4631	-3.0885	-0.511	-0.6142	-0.407	8.35509864372985e-14	2.7742	7.9792	-1.7907	-7.9476	3.160406878280421e-13	magicc_v5	8.35509864372985e-14	2.1379223000132267e-13	magicc_v5	8.35509864372985e-14	100	-5.204999293390211	3.160406878280421e-13	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
pooled	ALL	magicc_v5	checkm2	1800	-0.8077	-1.1964	-0.5136	-0.1605	-0.2106	-0.1133	2.802530849858032e-10	5.3565	6.8878	-4.6436	-4.1718	6.416320629938126e-10	magicc_v5	1.6753557753747273e-28	1.0411139461257236e-27	magicc_v5	2.802530849858032e-10	100	-1.531374644412243	6.416320629938126e-10	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
pooled	ALL	magicc_v5	cocopye	1800	-1.41	-2.161	-0.8472	-0.222	-0.2795	-0.1675	8.691463376884239e-11	5.3565	8.4047	-4.6436	-0.2173	2.1004369827470242e-10	magicc_v5	7.916370098360547e-39	1.1478736642622794e-37	magicc_v5	8.691463376884239e-11	100	-3.0481970463382115	2.1004369827470242e-10	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
pooled	ALL	magicc_v5	deepcheck	1800	-0.6568	-0.9705	-0.4143	-0.1234	-0.166	-0.0824	1.490247569483896e-07	5.3565	6.7134	-4.6436	-4.9611	2.5930307709019794e-07	magicc_v5	1.1280468321264484e-23	5.772945552647119e-23	magicc_v5	1.490247569483896e-07	100	-1.3569840458466518	2.5930307709019794e-07	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
pooled	NON_REDUNDANT	magicc_v5	checkm2	1200	-1.3071	-2.2347	-0.8144	-0.27	-0.3315	-0.2124	6.836767705041719e-13	5.334	8.064	-4.7447	-7.94	2.0510303115125154e-12	magicc_v5	1.9781125695100052e-57	8.604789677368522e-56	magicc_v5	6.836767705041719e-13	100	-2.730006617025592	2.0510303115125154e-12	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
pooled	NON_REDUNDANT	magicc_v5	cocopye	1200	-1.3719	-2.2226	-0.7679	-0.2515	-0.322	-0.1884	1.6312801379458462e-09	5.334	8.3691	-4.7447	-4.2837	3.46149687808021e-09	magicc_v5	3.4906450304140124e-39	6.073722352920381e-38	magicc_v5	1.6312801379458462e-09	100	-3.035065270532674	3.46149687808021e-09	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
pooled	NON_REDUNDANT	magicc_v5	deepcheck	1200	-1.572	-2.5121	-1.032	-0.3	-0.3593	-0.2455	1.270816126860476e-14	5.334	8.3822	-4.7447	-8.3173	6.503588413933024e-14	magicc_v5	8.003526193526064e-84	6.963067788367674e-82	magicc_v5	1.270816126860476e-14	100	-3.0481535278217944	6.503588413933024e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
