stratum	level	tool_a	tool_b	n_pairs	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	mae_a	mae_b	bias_a	bias_b	q_bh	winner	p_wilcoxon_sample_level_historical	q_bh_sample_level_historical	winner_sample_level_historical	p_wilcoxon_reference_mean	n_paired_references	reference_mean_difference	q_bh_reference_mean	supported_reference_test_and_hl_interval	inference_definition	support_decision_changed
distance	genus	magicc_v5	checkm2	300	0.5362	0.314	0.833	0.1658	0.1174	0.2132	3.008928865084491e-09	7.9843	6.466	-7.7329	-5.1293	6.2327812205321606e-09	checkm2	5.610672383193283e-07	9.387086487265684e-07	checkm2	3.008928865084491e-09	100	1.5182875461771674	6.2327812205321606e-09	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	genus	magicc_v5	cocopye	300	0.4867	-0.0529	1.0248	0.0486	-0.0266	0.1181	0.0018820155995474795	7.9843	8.4381	-7.7329	-1.7536	0.0026408928574295277	unresolved	0.0155794651487131	0.0199325509990889	cocopye	0.0018820155995474795	100	-0.4537978049375752	0.0026408928574295277	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	True
distance	genus	magicc_v5	deepcheck	300	0.5099	0.2429	0.7847	0.1664	0.1176	0.2128	9.743997296518106e-09	7.9843	6.4881	-7.7329	-5.5403	1.9266540109024438e-08	deepcheck	2.779019919731468e-05	4.168529879597202e-05	deepcheck	9.743997296518106e-09	100	1.4961553888812427	1.9266540109024438e-08	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	family	magicc_v5	checkm2	300	-0.1843	-0.5277	0.1126	-0.0433	-0.1168	0.0224	0.9314997084840357	6.3094	6.7934	-5.9771	-4.3153	0.9561279496332181	unresolved	0.1744830547969169	0.2024003435644236	tie	0.9314997084840357	100	-0.48405303109060105	0.9561279496332181	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	family	magicc_v5	cocopye	300	-0.7637	-1.7545	-0.1086	-0.1347	-0.2256	-0.047	0.08940730920445931	6.3094	8.8566	-5.9771	-0.2029	0.10655391644915015	unresolved	0.0016886093928113	0.0022954533933529	magicc_v5	0.08940730920445931	100	-2.5472187861731364	0.10655391644915015	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	True
distance	family	magicc_v5	deepcheck	300	-0.1732	-0.4729	0.0964	0.0101	-0.0558	0.0702	0.41908693342222414	6.3094	6.6365	-5.9771	-4.9083	0.47351380789264286	unresolved	0.2289790547995255	0.2553997149687015	tie	0.41908693342222414	100	-0.3271138580089392	0.47351380789264286	False	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	order	magicc_v5	checkm2	300	-2.0532	-3.2451	-1.2158	-0.3229	-0.4057	-0.2331	1.124661148245775e-07	4.2388	7.1921	-3.6005	-3.8177	1.996847344844539e-07	magicc_v5	1.8066414370577042e-18	8.272516053895801e-18	magicc_v5	1.124661148245775e-07	100	-2.9532469582578766	1.996847344844539e-07	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	order	magicc_v5	cocopye	300	-2.8491	-4.0277	-1.7474	-0.3508	-0.4398	-0.2574	4.563786971596854e-09	4.2388	8.6246	-3.6005	0.5371	9.233708523928519e-09	magicc_v5	4.591894517481528e-19	2.2194156834494048e-18	magicc_v5	4.563786971596854e-09	100	-4.385737473847599	9.233708523928519e-09	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	order	magicc_v5	deepcheck	300	-1.6442	-2.8266	-0.9258	-0.2566	-0.3437	-0.1762	3.880722386529559e-06	4.2388	6.8233	-3.6005	-4.7661	6.370242408076823e-06	magicc_v5	1.199941223856048e-14	3.3631850789480886e-14	magicc_v5	3.880722386529559e-06	100	-2.5844671383071085	6.370242408076823e-06	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	class	magicc_v5	checkm2	300	-3.9224	-5.0149	-2.7334	-0.493	-0.5777	-0.4048	1.8019328432324396e-14	2.9186	7.3221	-1.8942	-4.0321	8.709342075623458e-14	magicc_v5	2.8920953397312228e-31	2.28738449596924e-30	magicc_v5	1.8019328432324396e-14	100	-4.403416962156852	8.709342075623458e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	class	magicc_v5	cocopye	300	-3.7788	-4.8015	-2.7914	-0.4963	-0.5835	-0.408	3.63574062749329e-15	2.9186	8.1576	-1.8942	0.49	2.8755403144719653e-14	magicc_v5	1.2661956712839554e-27	7.343934893446942e-27	magicc_v5	3.63574062749329e-15	100	-5.2389923871165465	2.8755403144719653e-14	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	class	magicc_v5	deepcheck	300	-3.3712	-4.7877	-2.1634	-0.4401	-0.5247	-0.3602	1.0292226093423223e-13	2.9186	7.0937	-1.8942	-4.912	3.730931958865918e-13	magicc_v5	4.427986814648642e-29	2.963345022111014e-28	magicc_v5	1.0292226093423223e-13	100	-4.175094340348175	3.730931958865918e-13	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
distance	phylum	magicc_v5	checkm2	300	-4.3598	-5.4636	-3.2879	-0.5079	-0.6006	-0.4196	2.1365801836383434e-16	2.6783	7.7076	-0.8989	-2.6763	4.6470618994133966e-15	magicc_v5	4.664613520675751e-36	5.072767203734879e-35	magicc_v5	2.1365801836383434e-16	100	-5.029321653218048	4.6470618994133966e-15	True	Two-sided Wilcoxon on100 per-reference mean paired absolute-error differences; BH across87 comparisons. Support also requires concordant reference-cluster HL95% interval excluding0; unresolved is not equivalence.	False
