set	set_label	status	tier	subset	tool	tool_label	tool_role	metric	n	n_clusters	clustered_bootstrap	true_value_variance	true_value_constant	mae	mae_ci_lo	mae_ci_hi	bias	bias_ci_lo	bias_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_omitted_reason
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	100	True	660.7142278823452	False	32.09405212894907	30.633051604602517	33.6243674549132	-31.29163141923218	-32.90385106142439	-29.71247455357142	38.99237565538663	37.53610624018693	40.467006208916175	-1.3011542586631415	-1.4701867574403529	-1.1442283189573166	0.2047303494619996	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	in_domain	deepcheck	DeepCheck	competitor	contamination	1000	100	True	660.7142278823452	False	41.66830845208366	40.071558881084	43.276901863211954	-41.66639765674872	-43.27528192496425	-40.06874556900566	48.06265775479215	46.50670556307034	49.55119370796	-2.4962453856308238	-2.743977534004146	-2.274262963239737	0.2369301853938466	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	100	True	234.85001367674172	False	5.633003436999999	5.000844305875001	6.300814299874999	-0.2623504989999999	-1.3596564955249988	0.7188441973749999	8.319821319672362	7.292125356965676	9.412488225084113	0.7052611336588996	0.6252549686294622	0.7732700252533057	0.7124093302479346	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	checkm2	CheckM2 1.0.1	competitor	completeness	1000	100	True	234.85001367674172	False	9.171165078999998	8.48821845215	9.8752704594	7.742888903	6.80010464665	8.680005918925	12.678777562190676	11.839010000347027	13.516384870541774	0.3155146216309135	0.2018931137258208	0.4106528231205505	0.5787935433358665	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	100	True	234.85001367674172	False	6.328933547884035	5.567662089299453	7.273777224063939	0.3172937584862882	-0.9999410776211162	1.4020326723433871	9.486998636051185	7.903333025057132	11.372270006497502	0.6167633047519365	0.4539860758142149	0.7319934641862349	0.6450255725108607	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	deepcheck	DeepCheck	competitor	completeness	1000	100	True	234.85001367674172	False	8.781975051932617	8.034311889999158	9.619081036242674	4.727755402328614	3.3969258812417733	5.934108620495167	12.060072514946178	10.976191510954802	13.172860206129776	0.3806883517326176	0.2511368625590607	0.4921672839705541	0.5317535284357644	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	100	True	609.7318663296475	False	6.52290456265	5.97204590522475	7.10439147927175	-3.83411574455	-4.69110370875575	-2.9784808864745016	9.438963943806064	8.5721178203602	10.325632313983618	0.8538799671587071	0.8236647459361011	0.8807651871151896	0.8786566897707568	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	checkm2	CheckM2 1.0.1	competitor	contamination	1000	100	True	609.7318663296475	False	34.697951454000005	33.201562995075	36.1710927081	-34.661047227999994	-36.142011022575	-33.149570299925	40.26243200938013	38.88215495452851	41.55570751020706	-1.6586496800112145	-1.907326775080437	-1.4459998753334775	0.3508417699558475	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	100	True	609.7318663296475	False	21.246160949803592	20.02277734309465	22.573451081976955	-20.18579595129864	-21.637846462117725	-18.701520793560206	26.83109417602802	25.59012043633426	28.142414435314627	-0.1806954079937681	-0.3152535925557004	-0.0660235451921772	0.501139484096572	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	all	deepcheck	DeepCheck	competitor	contamination	1000	100	True	609.7318663296475	False	38.95713440537838	37.47469108118469	40.446330163543	-38.83864837836428	-40.32639040668422	-37.34043378164473	44.93384978693789	43.60002160062404	46.231700368516144	-2.311374996404587	-2.59830963454669	-2.058211350298207	0.1686130768547235	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	100	True	234.85001367674172	False	5.633003436999999	5.019067670725	6.406484482874999	-0.2623504989999999	-1.4280716129249995	0.7512928722499976	8.319821319672362	7.269689348449771	9.502992009488658	0.7052611336588996	0.6159988721633828	0.7740098349336879	0.7124093302479346	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	checkm2	CheckM2 1.0.1	competitor	completeness	1000	100	True	234.85001367674172	False	9.171165078999998	8.48225498875	9.885642803725	7.742888903	6.777645645275	8.611866288574998	12.678777562190676	11.808233334171636	13.524336268113196	0.3155146216309135	0.2070210124970886	0.4167063142254282	0.5787935433358665	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	100	True	234.85001367674172	False	6.328933547884035	5.5171809884155705	7.283112729360181	0.3172937584862882	-0.9792556579144464	1.4482717301302883	9.486998636051185	7.8744641504755695	11.340755642613772	0.6167633047519365	0.450475558672241	0.7325693442546186	0.6450255725108607	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	deepcheck	DeepCheck	competitor	completeness	1000	100	True	234.85001367674172	False	8.781975051932617	8.047258702117395	9.612200095685168	4.727755402328614	3.290171020001002	5.980903670452967	12.060072514946178	10.968195079103475	13.193265027602628	0.3806883517326176	0.2518899492495382	0.4938303328798717	0.5317535284357644	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	100	True	609.7318663296475	False	6.52290456265	5.979556298186751	7.138668355420249	-3.83411574455	-4.686112708342501	-2.973418341438751	9.438963943806064	8.537883524862682	10.366639841717548	0.8538799671587071	0.8209599900743927	0.8813782927388151	0.8786566897707568	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	checkm2	CheckM2 1.0.1	competitor	contamination	1000	100	True	609.7318663296475	False	34.697951454000005	33.1880468047	36.203034627625	-34.661047227999994	-36.1702264924	-33.144287132200006	40.26243200938013	38.82615638803344	41.61559178488064	-1.6586496800112145	-1.9078638910242471	-1.4463831725645413	0.3508417699558475	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	100	True	609.7318663296475	False	21.246160949803592	19.882267830346795	22.59250370283829	-20.18579595129864	-21.752796181973043	-18.56096341024561	26.83109417602802	25.38779342340245	28.169936098553187	-0.1806954079937681	-0.3174967526708197	-0.0618771052007851	0.501139484096572	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	in_domain	deepcheck	DeepCheck	competitor	contamination	1000	100	True	609.7318663296475	False	38.95713440537838	37.43580990715292	40.49822320573653	-38.83864837836428	-40.38025543075185	-37.310115091104734	44.93384978693789	43.60142037157792	46.28515513958448	-2.311374996404587	-2.6028136124925974	-2.067022047945416	0.1686130768547235	
set_E	Set E (realistic mixture)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	785	True	270.5628362589624	False	5.485888223766055	5.053698811644934	5.92857082624097	1.127684293070554	0.5323321835136728	1.6897455542958324	8.904759997143103	8.153384879336407	9.649784028221152	0.7069266729196131	0.6579484771470304	0.7529734966502512	0.7119267535335532	
