set	set_label	status	tier	stratum_kind	stratum	tool	tool_label	tool_role	metric	n	n_clusters	small_n_flag	mean_signed_error	mean_ci_lo	mean_ci_hi	median_signed_error	median_ci_lo	median_ci_hi	hodges_lehmann_signed_error	sd_signed_error	iqr_signed_error	q05	q25	q75	q95	min	max	mae	frac_within_1pp	frac_within_5pp	frac_within_10pp	frac_overestimated	frac_underestimated	bias_direction	mean_ci_excludes_zero	p_wilcoxon_zero_bias_two_sided	p_cluster_bootstrap_zero_mean_bias	note
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	mimag_class_true	high	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	276	259	False	-1.207232656865398	-1.947519254260306	-0.5987708599349031	-0.09865500000000083	-0.1122057000000014	-0.08545300000000111	-0.1195354999999978	4.957503705021686	0.17470875000000063	-8.878034999999997	-0.22976625000000084	-0.055057500000000203	0.6679525043139698	-30.491429999999994	8.501321076850076	1.5852949892069588	0.822463768115942	0.9239130434782609	0.9492753623188406	0.06159420289855073	0.9384057971014492	under	True	1.0130575267270892e-29	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	mimag_class_true	high	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	276	259	False	-2.952807743821919	-3.7742599724850634	-2.2458779076452666	-0.9860000000000042	-1.3456924175330016	-0.6893000000000029	-1.4578500000000005	5.724801904369201	2.446764439318361	-14.847674999999995	-2.7976394393183632	-0.35087500000000205	0.03495872385451548	-33.4447	8.359081076850075	3.2609025316102502	0.463768115942029	0.8297101449275363	0.8985507246376812	0.050724637681159424	0.9492753623188406	under	True	4.010448721597461e-36	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	mimag_class_true	high	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	276	259	False	-0.8855500373001801	-1.228607847407632	-0.5918815984929738	-0.10421000000000191	-0.15761000000000536	-0.07908999999999367	-0.23045624999999959	2.710314049426587	0.48886500000000055	-5.115505000000002	-0.502320000000001	-0.013455000000000439	-0.00030950000000373734	-18.36184	4.677898740887642	1.1007116115633584	0.782608695652174	0.9492753623188406	0.9782608695652174	0.03985507246376811	0.9601449275362319	under	True	2.5131355159159673e-35	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	mimag_class_true	high	checkm2	CheckM2 1.0.1	competitor	completeness	276	259	False	-0.08377151193786184	-0.21109828662640126	0.04684634058104622	0.0	-0.010000000000005116	0.0	-0.015000000000000568	1.0721458565208748	0.0625	-1.1990052674629688	-0.0625	0.0	0.07314268070236096	-5.311053455408981	9.113515164934	0.3500632851997761	0.8985507246376812	0.9855072463768116	1.0	0.050724637681159424	0.4601449275362319	under	False	1.1331871990228978e-11	0.20789605197401298	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	mimag_class_true	high	cocopye	CoCoPyE 0.5.0	competitor	completeness	276	259	False	-0.8168071558028399	-1.3533450990902296	-0.4207796177203702	0.0	0.0	0.0	-0.07966658657181824	3.0950372576233063	0.2812118430048116	-4.752436024759888	-0.2812118430048116	0.0	0.0	-28.09968676775587	4.037018637979742	0.9886366382011065	0.8405797101449275	0.9492753623188406	0.9710144927536232	0.043478260869565216	0.40942028985507245	under	True	2.998073781779259e-13	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	mimag_class_true	high	deepcheck	DeepCheck	competitor	completeness	276	259	False	-0.8277332685473494	-1.141494734287983	-0.5153275823194853	-0.8392257690429688	-0.879066467285156	-0.7908859252929545	-0.8711795806884766	2.3837724056586507	0.4903526306152237	-3.502107620239247	-1.124809265136708	-0.6344566345214844	2.0085110129937256	-11.207847595214844	13.016197204589844	1.5558555682793949	0.6014492753623188	0.9347826086956522	0.9855072463768116	0.07246376811594203	0.927536231884058	under	True	4.082600310740667e-29	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	mimag_class_true	high	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	276	259	False	1.525807855432971	0.9475404477818737	2.2787544480002353	0.46993345	0.41774362	0.53575337	0.5847029425	4.8355124901412365	0.6844483299999999	0.1326166075	0.2784155325	0.9628638625	4.354044200000001	0.007855892	41.742214	1.525807855432971	0.7608695652173914	0.9601449275362319	0.9746376811594203	1.0	0.0	over	True	5.137065355930641e-47	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	mimag_class_true	high	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	276	259	False	3.4412655797101452	2.6507687903094026	4.39456957803541	1.5211000000000001	1.314	1.836	1.9899750000000003	6.3786703504279885	2.561	0.191	0.7516	3.3125999999999998	11.535125	0.0024	49.0122	3.4412655797101452	0.3333333333333333	0.8260869565217391	0.9384057971014492	1.0	0.0	over	True	5.137065355930641e-47	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	mimag_class_true	high	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	276	259	False	0.8086743667043478	0.5603987589259367	1.0918693623720745	0.0651642675	0.04146993	0.095528364	0.18142908600000002	2.296570349698232	0.456906855125	0.00248551365	0.010553002375	0.4674598575	4.0911884999999995	0.001001358	28.002518	0.8086743667043478	0.8115942028985508	0.9565217391304348	0.9891304347826086	1.0	0.0	over	True	5.137179287274313e-47	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	mimag_class_true	high	checkm2	CheckM2 1.0.1	competitor	contamination	276	259	False	0.4030434782608695	0.34477441714783746	0.4680939835765496	0.25	0.2	0.3	0.32	0.4358066438571577	0.4525	0.01	0.09	0.5425	1.2975	0.0	2.2	0.4030434782608695	0.8840579710144928	1.0	1.0	0.9565217391304348	0.0	over	True	4.678224988757874e-45	0.0009995002498750624	
