set	set_label	status	tier	stratum_kind	stratum	tool	tool_label	tool_role	metric	n	n_clusters	small_n_flag	mean_signed_error	mean_ci_lo	mean_ci_hi	median_signed_error	median_ci_lo	median_ci_hi	hodges_lehmann_signed_error	sd_signed_error	iqr_signed_error	q05	q25	q75	q95	min	max	mae	frac_within_1pp	frac_within_5pp	frac_within_10pp	frac_overestimated	frac_underestimated	bias_direction	mean_ci_excludes_zero	p_wilcoxon_zero_bias_two_sided	p_cluster_bootstrap_zero_mean_bias	note
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	cocopye	CoCoPyE 0.5.0	competitor	contamination	33	25	False	0.20461563004674618	0.021926281227142925	0.4665861983560662	0.0	0.0	0.0	0.0	0.5471762995496245	0.0	-5.508020354448102e-09	0.0	0.0	1.3246222334160798	-5.386235577759028e-08	2.48717908189449	0.2046156341456799	0.9090909090909091	1.0	1.0	0.18181818181818182	0.06060606060606061	over	True	0.03569190011680441	0.008995502248875561	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Archaea	deepcheck	DeepCheck	competitor	contamination	33	25	False	0.26969239025404956	0.12400993629413493	0.4328633205758949	0.1678049564361572	0.0470884144306182	0.3365471959114074	0.22441446781158442	0.4026559155633631	0.4439659416675568	-0.2089785039424896	0.0182189047336578	0.4621848464012146	0.9053489446640013	-0.4175767302513122	1.4459834098815918	0.33419450485345087	0.9696969696969697	1.0	1.0	0.7575757575757576	0.24242424242424243	over	True	0.0002060714177787304	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	967	773	False	0.1996580778371906	-0.060834048334947176	0.47051475627399025	-0.05334499999999309	-0.06585270000000347	-0.03445733721593529	0.16434468695849347	3.977441291537785	2.0916180245379685	-4.176878029021046	-0.7202581975818632	1.3713598269561054	4.962801984017137	-30.491429999999994	23.098055971138933	2.0871611095299394	0.48293691830403307	0.9120992761116856	0.9638055842812823	0.44570837642192346	0.5542916235780765	over	False	0.018049749593532706	0.15092453773113443	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	967	773	False	-0.24461180013592207	-0.5371579860862693	0.03789985808525152	-0.17664658797156108	-0.2653041506595195	-0.0686319456458225	-0.05839670644684425	4.327196924315282	2.752306550646356	-6.408879999999997	-1.3778114185750887	1.3744951320712673	5.132012797143933	-28.124799999999993	22.47246597113893	2.500955449701132	0.4012409513960703	0.8769389865563598	0.9576008273009308	0.4550155118924509	0.5449844881075491	under	False	0.4622118843061891	0.09695152423788106	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	967	773	False	-0.011314815647814383	-0.2389015288177205	0.21105424185396873	-0.0422800000000052	-0.08529927999385475	-0.013589000000003775	-0.033189131408510875	3.4500766644763137	1.9727852510471884	-4.358056110583168	-0.9748695881231129	0.9979156629240755	4.905858234028049	-26.260261807643943	20.256051292138046	1.9726595850764468	0.5087900723888314	0.9089968976215098	0.9782833505687694	0.40641158221303	0.59358841778697	under	False	0.34633732273450224	0.9455272363818091	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	checkm2	CheckM2 1.0.1	competitor	completeness	967	773	False	1.2121768244762805	0.9944813722076714	1.4361133748524695	0.0399635498599622	0.0	0.43175157528736463	0.9824510356833454	3.5754272627628816	3.3642319708581674	-3.9306673727647574	-0.2591513523116298	3.1050806185465376	7.633684968128813	-13.256345601001904	21.353021691742654	2.5159340203995426	0.3960703205791106	0.8366080661840745	0.9762150982419855	0.5046535677352637	0.3557394002068252	over	True	1.668018729312061e-23	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	cocopye	CoCoPyE 0.5.0	competitor	completeness	967	773	False	0.08210669544990092	-0.28929280461849244	0.45429748047448393	0.0	0.0	0.0	0.0	5.63235493975233	4.502320890946557	-9.342094029039249	-1.9865356024485337	2.515785288498023	8.746612096385268	-28.09968676775587	27.98222423902041	3.572853887100633	0.3536711478800414	0.7580144777662875	0.9152016546018614	0.40330920372285417	0.4467425025853154	over	False	0.46435056583696677	0.6846576711644178	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	deepcheck	DeepCheck	competitor	completeness	967	773	False	1.4552768524502016	1.0798395427005987	1.8428547579994259	-0.2624907296933259	-0.5381944456388936	0.25574193662907163	1.031750564965531	5.979443625597125	5.729159254905625	-7.209551465644936	-1.2957066877764873	4.433452567129137	12.536715938615309	-22.478719942488034	27.955848255492036	4.221787967331284	0.26370217166494314	0.688728024819028	0.9007238883143743	0.48293691830403307	0.5170630816959669	over	True	1.0837735327359193e-08	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	967	773	False	0.7108835252349535	0.5726244947091911	0.8704958147816066	0.27498603	0.25216043	0.3088504	0.33958852400000006	2.1897499448746895	0.4472315429999999	0.0262394544	0.111787022	0.5590185649999999	2.363856799999999	0.0006735325	41.32014	0.7108835252349535	0.8717683557394003	0.9824198552223371	0.9917269906928645	1.0	0.0	over	True	8.008687306738502e-160	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	967	773	False	1.332702998965874	1.138684382535075	1.5623241138633412	0.3988	0.35124875	0.44540375	0.6223	3.2066064192301713	1.0468000000000002	0.02435	0.13190000000000002	1.1787	5.467979999999998	0.0005	49.0122	1.332702998965874	0.704239917269907	0.9431230610134437	0.9803516028955532	1.0	0.0	over	True	8.008537911742313e-160	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	967	773	False	0.4535872526073423	0.3351573537998209	0.6032991157390818	0.05402863	0.04760325	0.061571598	0.0893957905	2.0154087073484988	0.160661339	0.00333040953	0.018039346	0.178700685	1.8868261499999994	0.001001358	39.139942	0.4535872526073423	0.9162357807652534	0.9824198552223371	0.9927611168562565	1.0	0.0	over	True	8.008648752926421e-160	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	checkm2	CheckM2 1.0.1	competitor	contamination	967	773	False	0.27260599793174767	0.2492615375261443	0.30064708507896953	0.14	0.12	0.16	0.2	0.3471550045579934	0.34	0.0	0.04	0.38	1.0339999999999987	0.0	2.25	0.27260599793174767	0.9462254395036195	1.0	1.0	0.9048603929679421	0.0	over	True	7.618532831195401e-145	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	cocopye	CoCoPyE 0.5.0	competitor	contamination	967	773	False	1.0029577035489408	0.7044998732736789	1.3411097654496862	0.0	0.0	0.0	0.107353724143355	4.773177463593627	0.32402258203645	-9.121169045006575e-09	0.0	0.32402258203645	3.2954264472846875	-8.189508296193622e-08	57.42574257425742	1.0029577067672588	0.8728024819027922	0.9669079627714581	0.9803516028955532	0.3557394002068252	0.05377456049638056	over	True	3.579709304535072e-62	0.0009995002498750624	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	dominant_domain	Bacteria	deepcheck	DeepCheck	competitor	contamination	967	773	False	0.2871290249162524	0.2505834049540933	0.32468516424492	0.1289848238229751	0.1110054552555084	0.1493588089942932	0.1764321736991405	0.5678593258134815	0.45745559036731714	-0.34926265478134155	-0.03067329525947565	0.4267822951078415	1.589204955101012	-1.4433003664016724	2.547562837600708	0.4064193340066547	0.8645294725956567	1.0	1.0	0.718717683557394	0.281282316442606	over	True	1.5992778461218395e-49	0.0009995002498750624	
