source	quantity	set	tool	metric	published	recomputed	recomputed_ci_lo	recomputed_ci_hi	difference	agrees_within_tolerance	published_inside_recomputed_ci	note	recomputed_pearson_r2
S1a	MAE	motivating_v2_set_A	checkm2	completeness	2.54	2.54128597273546	2.3665246861169797	2.715042062491712	0.0012859727354599393	True	True		
S1a	MAE	motivating_v2_set_A	cocopye	completeness	3.47	3.4357902958932924	3.176797468488421	3.696053949070592	-0.03420970410670776	True	True		
S1a	MAE	motivating_v2_set_A	deepcheck	completeness	4.15	4.146984623154294	3.883937593492553	4.418118301431845	-0.003015376845706186	True	True		
S1a	MAE	motivating_v2_set_A	checkm2	contamination	0.28	0.27553	0.2518109572734942	0.299457569059177	-0.0044700000000000295	True	True		
S1a	MAE	motivating_v2_set_A	cocopye	contamination	0.73	0.8914843793069294	0.5730718801880531	1.2686170491052196	0.16148437930692938	False	True		
S1a	MAE	motivating_v2_set_A	deepcheck	contamination	0.43	0.4292344869077206	0.3941309368897671	0.4623773531704869	-0.0007655130922794018	True	True		
S1b	MAE	motivating_v2_set_B	checkm2	completeness	0.42	0.4162700000000001	0.3068985222772278	0.539429033069397	-0.0037299999999999	True	True		
S1b	MAE	motivating_v2_set_B	cocopye	completeness	2.57	0.6536444983827614	0.4622765423911496	0.8567374133518095	-1.9163555016172384	False	False		
S1b	MAE	motivating_v2_set_B	deepcheck	completeness	6.74	6.742961944580078	6.174224974049671	7.339001171663751	0.0029619445800781463	True	True		
S1b	MAE	motivating_v2_set_B	checkm2	contamination	17.08	17.075827207007393	16.04486094282545	18.158864345882773	-0.004172792992605423	True	True		
S1b	MAE	motivating_v2_set_B	cocopye	contamination	19.14	12.032987948634547	11.20457428721845	12.91231562764526	-7.107012051365453	False	False		
S1b	MAE	motivating_v2_set_B	deepcheck	contamination	25.7	25.696727528930182	24.35649761436405	27.05159110786432	-0.0032724710698168735	True	True		
S1c	MAE	motivating_v2_set_C	checkm2	completeness	9.13	9.130375762952918	8.44785155717517	9.82769323126546	0.00037576295291685824	True	True		
S1c	MAE	motivating_v2_set_C	cocopye	completeness	4.99	5.924490226696596	5.471703582364254	6.40514119591186	0.934490226696596	False	False		
S1c	MAE	motivating_v2_set_C	deepcheck	completeness	11.96	11.956266793537427	11.163713479137886	12.773781124660882	-0.0037332064625736905	True	True		
S1c	MAE	motivating_v2_set_C	checkm2	contamination	18.13	18.132379488013772	16.907823368101024	19.430342594885484	0.002379488013772857	True	True		
S1c	MAE	motivating_v2_set_C	cocopye	contamination	20.32	13.466992037826133	12.42861363869457	14.531459888521123	-6.8530079621738675	False	False		
S1c	MAE	motivating_v2_set_C	deepcheck	contamination	24.37	24.371482690105005	22.85007992837845	26.00653496781981	0.0014826901050035701	True	True		
S2a	MAE	set_A_v2	magicc_v4	completeness	2.59	2.591358171535378	2.331690526613714	2.870320956935453	0.0013581715353780943	True	True		
S2a	MAE	set_B_v2	magicc_v4	completeness	3.12	3.1238226	2.7744222138535077	3.4590567742551848	0.0038225999999998983	True	True		
S2a	MAE	set_C	magicc_v4	completeness	3.36	3.364785254805672	3.1002880505293726	3.639760736953016	0.004785254805672157	True	True		
S2a	MAE	set_D	magicc_v4	completeness	5.2	5.203892952530291	4.816460265684378	5.61212731422888	0.00389295253029065	True	True		
S2a	MAE	set_E	magicc_v4	completeness	5.71	5.710083053087339	5.276492823189539	6.172687579718153	8.30530873390245e-05	True	True		
S2a	MAE	set_A_v2	checkm2	completeness	2.54	2.5423106509718054	2.361873803762624	2.71386793577417	0.0023106509718053836	True	True		
S2a	MAE	set_B_v2	checkm2	completeness	0.45	0.4511200000000002	0.3190901682152185	0.6001370518252777	0.0011200000000001764	True	True		
S2a	MAE	set_C	checkm2	completeness	7.99	7.993850021155766	7.640436571252238	8.364727093954041	0.003850021155765937	True	True		
S2a	MAE	set_D	checkm2	completeness	9.89	9.887259516262748	9.278286258020458	10.536252429208597	-0.0027404837372522195	True	True		
S2a	MAE	set_E	checkm2	completeness	9.14	9.139516691419486	8.481942023872813	9.800010382216392	-0.00048330858051492953	True	True		
S2a	MAE	set_A_v2	cocopye	completeness	3.63	3.6395110323866655	3.3393725511623296	3.954556045940136	0.009511032386665619	True	True		
S2a	MAE	set_B_v2	cocopye	completeness	2.61	0.6405279238173239	0.4467794929876648	0.8523234616001921	-1.9694720761826758	False	False		
S2a	MAE	set_C	cocopye	completeness	15.73	17.794703671814332	17.186695849280483	18.44795572270671	2.064703671814332	False	False		
S2a	MAE	set_D	cocopye	completeness	6.14	7.405980408259354	6.873120312125979	7.96096238387188	1.2659804082593542	False	False		
