scope	tool	tool_label	metric	error_kind	covariate	n	n_clusters	spearman_rho	rho_ci_lo	rho_ci_hi	p_cluster_bootstrap
set_B_v2	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	completeness	signed	log10_dominant_genome_size_mbp	1000	803	0.23653593487028832	0.1734872324534218	0.2965316558936546	0.0009995002498750624
set_B_v2	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	contamination	abs	log10_dominant_genome_size_mbp	1000	803	0.09687732086039579	0.03311747057938413	0.16144032587038715	0.00399800099950025
set_B_v2	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	contamination	signed	log10_dominant_genome_size_mbp	1000	803	0.11637194944387266	0.04639228203213107	0.1826225470905443	0.001999000499750125
set_B_v2	checkm2	CheckM2 1.0.1	completeness	abs	log10_dominant_genome_size_mbp	1000	803	-0.4534226273015834	-0.5119098462138327	-0.3960458367010998	0.0009995002498750624
set_B_v2	checkm2	CheckM2 1.0.1	completeness	signed	log10_dominant_genome_size_mbp	1000	803	0.4534226273015834	0.3960458367010997	0.5119098462138327	0.0009995002498750624
set_B_v2	checkm2	CheckM2 1.0.1	contamination	abs	log10_dominant_genome_size_mbp	1000	803	-0.33609234922074127	-0.3915394233599028	-0.2744421648479338	0.0009995002498750624
set_B_v2	checkm2	CheckM2 1.0.1	contamination	signed	log10_dominant_genome_size_mbp	1000	803	0.5525783211591253	0.5050201799361773	0.596939852079543	0.0009995002498750624
set_B_v2	cocopye	CoCoPyE 0.5.0	completeness	abs	log10_dominant_genome_size_mbp	1000	803	-0.18991623396028048	-0.25841310773742127	-0.12319009449228527	0.0009995002498750624
set_B_v2	cocopye	CoCoPyE 0.5.0	completeness	signed	log10_dominant_genome_size_mbp	1000	803	0.18991623396028048	0.12319009449228517	0.2584131077374212	0.0009995002498750624
set_B_v2	cocopye	CoCoPyE 0.5.0	contamination	abs	log10_dominant_genome_size_mbp	1000	803	-0.1215889846154256	-0.18288942528849889	-0.05315803462720238	0.0009995002498750624
