dataset	binset	cohort	tool	metric	n	n_clusters	mae	mae_lo	mae_hi	bias	bias_lo	bias_hi	rmse	r2	r2_lo	r2_hi	r2_omitted_reason	slope	slope_lo	slope_hi	denominator
marine	gold	all_in_domain_scoreable_common_subset	CoCoPyE	completeness	552	328	11.86559146832586	10.967424278017479	12.833186554779939	11.567961068291904	10.594240939971284	12.605857296612074	14.667631151571339	0.2515005450513421	0.14715742464399018	0.33271143476064186		0.5183952212610733	0.49346674737858603	0.5419258044717102	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	all_in_domain_scoreable_common_subset	CoCoPyE	contamination	552	328	22.143119454989098	20.61812185987291	23.6908317857188	22.143119454989098	20.61812185987291	23.6908317857188	25.96479968427918				true value has (near-)zero variance (R1-m19)				completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	all_in_domain_scoreable_common_subset	DeepCheck	completeness	552	328	19.121956969202188	17.805556997396366	20.376403677088625	-19.121956969202188	-20.376403677088625	-17.805556997396366	22.31514463573152	-0.7324908125323972	-0.9690782724038985	-0.5213730097872316		1.5215917215895898	1.475618026407232	1.5625700649023295	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	all_in_domain_scoreable_common_subset	DeepCheck	contamination	552	328	3.070952769395882	2.8747474244298674	3.272024864548609	3.0383048812062414	2.838243262613597	3.250675634810463	3.664075281801396				true value has (near-)zero variance (R1-m19)				completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	leaked_only	MAGICC_V5	completeness	213	132	2.263316075959536	1.9211424220526603	2.637330049303067	0.6502577931409034	0.19061226540360524	1.150730518130168	3.114835551049867	0.9630547621776726	0.949738576710382	0.9735204031124434		1.0034983652569687	0.9827642948126666	1.024975749566205	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	leaked_only	MAGICC_V5	contamination	213	132	0.7434033017680751	0.5476799827682568	1.0006662449137487	0.7434033017680751	0.5476799827682568	1.0006662449137487	1.3409209693436066				true value has (near-)zero variance (R1-m19)				completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	leaked_only	CheckM2	completeness	213	132	17.60062762329919	15.531169148398517	19.646991600343384	-17.55815160122529	-19.60586596674936	-15.46900887221038	21.065302797672665	-0.6897545834396195	-1.159532311168825	-0.33589927287509397		1.4941424766341014	1.409741090839658	1.5772116221793302	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	leaked_only	CheckM2	contamination	213	132	2.7799061032863843	2.4896835301507534	3.0733970710341674	2.7799061032863843	2.4896835301507534	3.0733970710341674	3.4939308882179096				true value has (near-)zero variance (R1-m19)				completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	leaked_only	CoCoPyE	completeness	213	132	12.435047292583251	10.990623524670161	13.83661925225128	11.8260027393601	10.218743521705717	13.349465131058935	14.833335861706379	0.16215075742120078	-0.05205845310713989	0.3176592142145322		0.5245545220493296	0.47621289809844974	0.5676621374053265	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	leaked_only	CoCoPyE	contamination	213	132	23.24464122621306	20.670078999716544	25.701858426133217	23.24464122621306	20.670078999716544	25.701858426133217	26.746436623742134				true value has (near-)zero variance (R1-m19)				completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	leaked_only	DeepCheck	completeness	213	132	21.56016945107136	19.2548038512484	23.80190087196779	-21.56016945107136	-23.80190087196779	-19.2548038512484	24.499831460811254	-1.285674664376633	-1.9134120138673314	-0.8316065809526636		1.5124229428314249	1.4185343514455475	1.590110905542518	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	leaked_only	DeepCheck	contamination	213	132	3.377046144764188	3.0529436443547278	3.704789191521729	3.356203295955076	3.0254992700779018	3.6939850942871586	3.922221461559213				true value has (near-)zero variance (R1-m19)				completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	MAGICC_full_coverage_not_tool_comparable	MAGICC_V5	completeness	2247	440	14.590118871216903	12.45587151429723	16.69381700338456	-12.029475259683906	-14.34350418016848	-9.650840168647823	23.27780607380891	-0.9495543287329493	-1.380944770515311	-0.5524540890418888		0.49342473824153893	0.39914277542013776	0.5913698015355098	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	MAGICC_full_coverage_not_tool_comparable	MAGICC_V5	contamination	2247	440	0.8543473042763142	0.5803534999826531	1.2112412258450755	0.8543473042763142	0.5803534999826531	1.2112412258450755	2.7889096505291873				true value has (near-)zero variance (R1-m19)				completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	below_floor_probe_NOT_POOLED	MAGICC_V5	completeness	1189	578	12.840838237743911	12.537305780433197	13.106699434264465	12.840838237743911	12.537305780433197	13.106699434264465	14.049554169208628	-4.1860109582154	-4.526972900499897	-3.844310675425221		0.08335875927712655	0.07361134693518019	0.0956828841954537	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	below_floor_probe_NOT_POOLED	MAGICC_V5	contamination	1189	578	0.3727432198077897	0.3125225958874338	0.44044505192970707	0.3727432198077897	0.3125225958874338	0.44044505192970707	0.8826623683319692				true value has (near-)zero variance (R1-m19)				completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	below_floor_probe_NOT_POOLED	CheckM2	completeness	100	92	13.449077556443052	11.94203523782241	14.882005863271276	-13.317553247707128	-14.777879857485493	-11.75793552519105	15.231155341888842	-4.93567798429147	-6.80714455203418	-3.580562496588063		0.4680338381989794	0.26621236271712956	0.6595810102396679	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	below_floor_probe_NOT_POOLED	CheckM2	contamination	100	92	1.9684	1.7354962113558297	2.2242024999999996	1.9684	1.7354962113558297	2.2242024999999996	2.311015793974589				true value has (near-)zero variance (R1-m19)				completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
