dataset	tool	distance_rank	n	n_clusters	cont_bias	cont_bias_lo	cont_bias_hi	cont_mae	cont_mae_lo	cont_mae_hi	comp_bias	comp_bias_lo	comp_bias_hi	comp_mae	comp_mae_lo	comp_mae_hi	slope	slope_lo	slope_hi	cont_r2	denominator
marine	CheckM2	species	73	34	-3.193061379348625	-4.592535390729425	-1.8548060043691743	4.535330151794007	3.5153026045599622	5.678764375339294	-3.4853881214808577	-6.30044413702756	-1.317994671512821	6.443202798641264	4.853167468846173	8.472894852908398	0.8206335761002481	0.2913018630265293	0.8954145237317529	0.7644939026164462	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CheckM2	genus	146	75	-4.442796020341306	-5.452951422700103	-3.499340539574359	5.261323254138971	4.439596528040951	6.111450914049773	-4.391060315988388	-6.252648764561113	-2.753139705937462	7.211830484753515	5.9806049620979	8.656311926728108	0.6733515708811031	0.32291117787249773	0.770574165234018	0.58373504306679	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CheckM2	family	168	85	-4.995426910951586	-5.943546926073993	-4.104504747204421	5.787590952047465	5.046811505696641	6.61866744402566	-4.966512892783802	-6.760170857044326	-3.458381393702172	7.461634038528026	6.285419087117303	8.871041328083848	0.7051992383176667	0.2520320600293627	0.8779364907364966	0.4301724563257665	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CheckM2	order	146	69	-4.313780402889957	-5.339637895063497	-3.2454854902472117	5.670218813636839	4.702359069131911	6.682258685945115	-1.7994296433528265	-3.4869351263589707	-0.08620322313566542	6.0672663733186445	4.993184395852455	7.319878983769808	0.8084119893474047	0.3414242679754369	1.0276078326297842	0.21865506689168868	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CheckM2	class	161	90	-5.934567090211123	-6.818648252847202	-5.063897122370824	6.918765377307279	6.104216832792627	7.711422967568748	-3.3920187853484474	-5.343261834998085	-1.6331764054743951	8.087487759815438	6.856000881673684	9.44112850805876	0.5492101704925706	0.23955099747698	0.8327636947246422	-0.1542614519455956	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CheckM2	phylum	170	96	-5.63642079879767	-6.548295890353726	-4.7647474758723565	6.400019732871094	5.639196852403256	7.247676928845482	-3.4373365205641346	-5.25278821080233	-1.8822793768922568	7.411426199536965	6.302998912996738	8.635332377872238	0.37354725427261914	0.22607104741811185	0.4884091690233062	-0.12286236642874848	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	species	73	34	17.74831089395603	13.705535716759094	22.826995725604835	18.30031554370133	14.632725313416126	23.089153752677422	7.678057306957028	5.3176900356973205	10.570755856280298	8.523583754607248	6.544794912247186	11.11016607417514	0.8466383790736197	0.7043792133377258	1.8495302543308352	-2.3144034921315177	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	genus	146	75	18.488315735534055	15.866569254051043	21.355972143169463	18.592435974999376	16.1045037305726	21.40765256471344	8.28633376852394	6.808895831795987	10.06736130444014	8.795480647006384	7.437075012885493	10.389828969441378	1.1096560903122896	0.9687551014234904	1.7637189825689314	-3.214552581761189	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	family	168	85	18.713329847981907	15.735982816401192	21.89009916599961	19.340614873291656	16.561319972170843	22.339405566299458	8.967362183251577	7.330056077781033	10.904816137569176	9.460630387341578	7.928816921494869	11.274008773835787	1.226655953622752	1.027799468371004	1.6750259274700114	-5.162723606319466	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	CoCoPyE	order	146	69	14.120214397602009	11.675633131420426	16.977820911288056	14.595937158051576	12.22795462223012	17.348995399999232	6.020252052444649	4.658711467788807	7.729962881223911	6.591576169258708	5.309714459872292	8.130860894790255	1.381437618076463	1.1202871618834125	1.791926930362016	-3.5978927689527316	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
