tool	tool_label	threads	repeat	input_set	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	max_rss_kb	pct_cpu	user_s	sys_s	major_faults	minor_faults	loadavg_1min_before	loadavg_1min_after	sum_pcpu_all_processes_before	t_start_utc	t_end_utc	return_code	cell_file
cocopye	CoCoPyE 0.5.0	8	2	set_E_100	warm	100	100	299.09000000000003	15.8577	16628036	1094.0	3241.34	31.87	0	8557709	0.83	11.88	2.1	2026-07-31T03:21:58Z	2026-07-31T03:26:57Z	0	cocopye__t8__set_E_100__warm__r2.json
cocopye	CoCoPyE 0.5.0	8	3	set_E_100	warm	100	100	296.98	15.8577	16627988	1099.0	3234.71	29.27	0	8177175	0.83	12.02	2.0	2026-07-31T05:02:31Z	2026-07-31T05:07:28Z	0	cocopye__t8__set_E_100__warm__r3.json
cocopye	CoCoPyE 0.5.0	16	1	set_E_100	warm	100	100	213.4	15.869	16639852	2130.0	4497.14	49.0	0	8426736	0.95	28.34	2.3	2026-07-31T02:30:02Z	2026-07-31T02:33:35Z	0	cocopye__t16__set_E_100__warm__r1.json
cocopye	CoCoPyE 0.5.0	16	2	set_E_100	warm	100	100	216.41	15.8679	16638720	2119.0	4537.57	48.98	0	8603343	0.91	37.22	102.0	2026-07-31T03:51:22Z	2026-07-31T03:54:59Z	0	cocopye__t16__set_E_100__warm__r2.json
cocopye	CoCoPyE 0.5.0	16	3	set_E_100	warm	100	100	216.09	15.8694	16640312	2131.0	4556.32	49.22	0	8401021	0.95	26.22	2.0	2026-07-31T04:11:23Z	2026-07-31T04:14:59Z	0	cocopye__t16__set_E_100__warm__r3.json
cocopye	CoCoPyE 0.5.0	32	1	set_E_100	warm	100	100	495.09	15.8877	16659448	1427.0	6960.92	104.62	110	8956753	0.81	40.77	202.4	2026-07-31T02:18:02Z	2026-07-31T02:26:17Z	0	cocopye__t32__set_E_100__warm__r1.json
cocopye	CoCoPyE 0.5.0	32	2	set_E_100	warm	100	100	353.9	15.8891	16660896	2004.0	6994.17	98.36	0	8922524	0.8	58.99	2.2	2026-07-31T03:11:49Z	2026-07-31T03:17:43Z	0	cocopye__t32__set_E_100__warm__r2.json
cocopye	CoCoPyE 0.5.0	32	3	set_E_100	warm	100	100	339.44	15.888	16659760	2059.0	6892.66	96.83	0	9078305	0.93	35.55	1.8	2026-07-31T04:53:06Z	2026-07-31T04:58:46Z	0	cocopye__t32__set_E_100__warm__r3.json
deepcheck	DeepCheck (inference only)	1	1	set_E_100	warm	100	100	55.6	0.6687	701232	100.0	54.81	0.81	0	365109	0.8	0.93	12.7	2026-07-31T00:34:13Z	2026-07-31T00:35:09Z	0	deepcheck__t1__set_E_100__warm__r1.json
deepcheck	DeepCheck (inference only)	1	2	set_E_100	warm	100	100	55.26	0.6682	700684	100.0	54.62	0.66	0	287987	0.9	0.96	103.8	2026-07-31T01:10:44Z	2026-07-31T01:11:39Z	0	deepcheck__t1__set_E_100__warm__r2.json
deepcheck	DeepCheck (inference only)	1	3	set_E_100	warm	100	100	55.54	0.6687	701176	100.0	54.85	0.71	0	321638	0.98	1.08	2.8	2026-07-31T01:39:17Z	2026-07-31T01:40:13Z	0	deepcheck__t1__set_E_100__warm__r3.json
deepcheck	DeepCheck (inference only)	8	1	set_E_100	warm	100	100	9.78	0.6672	699612	640.0	61.7	1.0	0	371645	0.85	1.43	9.7	2026-07-31T00:38:53Z	2026-07-31T00:39:03Z	0	deepcheck__t8__set_E_100__warm__r1.json
deepcheck	DeepCheck (inference only)	8	2	set_E_100	warm	100	100	9.82	0.6673	699684	641.0	61.95	1.06	0	387413	0.88	1.46	4.8	2026-07-31T00:59:29Z	2026-07-31T00:59:39Z	0	deepcheck__t8__set_E_100__warm__r2.json
deepcheck	DeepCheck (inference only)	8	3	set_E_100	warm	100	100	9.71	0.6667	699076	639.0	61.21	0.87	0	315283	0.77	1.35	3.0	2026-07-31T01:27:09Z	2026-07-31T01:27:19Z	0	deepcheck__t8__set_E_100__warm__r3.json
deepcheck	DeepCheck (inference only)	16	1	set_E_100	warm	100	100	6.53	0.7053	739596	1052.0	67.62	1.12	0	325188	0.97	2.17	114.0	2026-07-31T00:33:04Z	2026-07-31T00:33:11Z	0	deepcheck__t16__set_E_100__warm__r1.json
deepcheck	DeepCheck (inference only)	16	2	set_E_100	warm	100	100	6.39	0.6664	698732	1080.0	67.66	1.36	0	384383	0.99	2.2	5.2	2026-07-31T00:55:16Z	2026-07-31T00:55:22Z	0	deepcheck__t16__set_E_100__warm__r2.json
deepcheck	DeepCheck (inference only)	16	3	set_E_100	warm	100	100	6.37	0.6675	699944	1082.0	67.69	1.32	0	379476	0.86	2.08	3.1	2026-07-31T01:23:56Z	2026-07-31T01:24:02Z	0	deepcheck__t16__set_E_100__warm__r3.json
deepcheck	DeepCheck (inference only)	32	1	set_E_100	warm	100	100	4.98	0.6672	699592	1714.0	83.7	1.67	0	375249	0.93	0.93	11.9	2026-07-31T00:35:09Z	2026-07-31T00:35:14Z	0	deepcheck__t32__set_E_100__warm__r1.json
deepcheck	DeepCheck (inference only)	32	2	set_E_100	warm	100	100	4.98	0.6667	699132	1716.0	83.63	1.96	0	375747	0.78	0.8	103.8	2026-07-31T01:10:08Z	2026-07-31T01:10:13Z	0	deepcheck__t32__set_E_100__warm__r2.json
deepcheck	DeepCheck (inference only)	32	3	set_E_100	warm	100	100	4.95	0.6673	699700	1709.0	83.37	1.34	0	328896	0.98	0.98	2.8	2026-07-31T01:39:04Z	2026-07-31T01:39:09Z	0	deepcheck__t32__set_E_100__warm__r3.json
magicc	MAGICC v0.3.0 (V5)	1	1	set_E_100	warm	100	100	5.9	0.3852	403940	99.0	5.27	0.6	1	247258	0.89	0.83	39.3	2026-07-31T00:24:58Z	2026-07-31T00:25:04Z	0	magicc__t1__set_E_100__warm__r1.json
magicc	MAGICC v0.3.0 (V5)	1	2	set_E_100	warm	100	100	5.95	0.3851	403804	99.0	5.32	0.62	0	249070	0.8	0.83	3.8	2026-07-31T01:10:13Z	2026-07-31T01:10:19Z	0	magicc__t1__set_E_100__warm__r2.json
