tool	n	n_clusters	mae	mae_ci_lo	mae_ci_hi	seed	n_resamples
checkm2	597	532	25.76022305215307	24.374131821851808	27.204263394436435	20260908	2000
cocopye	597	532	18.179365225185972	17.015414379575073	19.381826035619873	20260908	2000
deepcheck	597	532	38.64230870088553	37.004829564898884	40.30612472395529	20260908	2000
magicc_v5	597	532	5.483404582982961	5.052806293035318	5.905138715325718	20260908	2000
